Source,t0,u0,te,rho,s,q,alpha,piEN,piEE,t0_err,u0_err,te_err,rho_err,s_err,q_err,alpha_err,piEN_err,piEE_err,chi2,dof,cov_piEE_piEN,piE_err_MC,mass_MC_te,mass_MC_rho,piE,piE_err
23655,2462640.4173881994,0.26602946030421193,358.9895228514881,5.452330555299989e-06,0.6933028729275513,6.304310200380502e-05,2.424566515877764,7.59464969595083e-43,1.1781629467115756e-39,24.829457295331398,0.7145034758796518,445.47160013699767,0.0026046771406831575,1035.4801922329166,0.5765317395263057,412.7920067068506,0.0803196597503885,0.14191656474743988,5130765.264840117,42398,,0.08543417731923904,4.47588528244173e+31 kg / m,7.254678738200284e+36 kg / m,1.1781631914939217e-39,
23659,2462674.9832920833,1.3079726020663014,111.41279999199854,0.000862370822303764,0.5598818206928843,0.0009553649159533784,1.1279598744009929,0.05276307659711605,-0.05266696664952974,2.10851784936679,0.3378621087452467,20.95523636622557,4.438210148591664,21.044989279446455,0.12652581016545622,21.36810715268399,0.009169897395909274,0.0189879019100481,42297.42335590795,42398,,0.018330774401366906,1.484576985675705e+30 kg / m,1.9839641662137895e+34 kg / m,0.07455032949662807,
23662,2462081.45568629,0.39193073006099344,53.27005070915352,3.569099563161568e-07,7.474696194298479e-05,9.961344702194179e-08,0.000940273508481082,0.014190643886312783,-0.015250809427288493,16.43945710644067,0.07088216139654191,3.8085107592104532,0.1306730275409629,0.14049062338646284,2.5227247758290514,0.0026859397392346896,0.0021576514713769527,0.0021110239541826136,41954.63573993727,42023,,0.002160023215703767,1.0919004735735867e+30 kg / m,3.526099822362203e+35 kg / m,0.020831744096345316,
23665,2463293.0422522714,0.02397663391143061,150.5711055359873,0.00039750289368347075,0.8283228008057392,0.0001534943213486094,2.2465476527839456,0.003586344503561867,8.340186679192767e-19,667.1113484908966,117.78539289834654,1212.1593298280588,54567.290806300196,16494.520454276,8.921032834420336,21476.50583680455,4.466446900980936,0.3190298427833847,41690.99519292564,41710,,2.6787435747524713,4.8672377980089494e+30 kg / m,5.444734055288686e+27 kg / m,0.003586344503561867,
23666,2461942.0923875044,0.5663376148871195,129.0726475415584,6.746860049642662e-05,0.2958027685805428,4.189290744169974e-06,1.7609342850755985,5.2779821872216705e-27,9.619581934047576e-11,130.8891848722345,3.953184860054903,573.877721571902,242.51574185266085,248.2460701948314,26.145997118751986,436.5361781033751,1.9318825758801963,0.5470958887321397,41863.39977458107,41630,,1.1056683903407787,1.8381102996630073e+30 kg / m,2.0422713462343885e+30 kg / m,9.619581934047576e-11,
23668,2462995.310049249,0.28986589933520823,1183.3564744420999,0.00033245934729267477,0.0010031742287477038,5.314131891482813e-06,2.1146927347955815,7.983865584127168e-39,0.0016234728209669998,4.322755388570172,0.012667136473305737,41.229569102864446,19.095123123256663,31.530705986717397,32.65647745896084,68.3267609361002,0.0006100634173952115,0.000818212208156966,61559.95681435265,42014,,0.0007081260125950082,4.2952694537362736e+32 kg / m,9.332784843466701e+34 kg / m,0.0016234728209669998,
23671,2462865.506692318,0.9758687449304914,71.87465125223076,4.751656243919955e-05,2.17346558560186,2.7140462756943548e-05,0.5566369941131127,0.0029511082889331296,-1.3550649819186655e-10,0.5201444019637536,0.08934454141684797,4.534621696381761,2.1080883821753544e-05,0.11662150842810289,5.308772461876401e-05,0.035023654127141556,0.012130654548025088,0.021938280111089108,121911.01187766436,42357,,0.012404258447038154,1.9505315126908913e+31 kg / m,4.115938113653874e+38 kg / m,0.0029511082889331327,
23674,2462878.463521269,1.2848008263433814,32.940812158597126,0.0008241479268495203,1.7769328601325363,8.294969390833561e-06,0.5185458485464876,0.0023935582872927352,9.418376710681767e-06,5.256062650808632,2.679577173453617,44.55637217407762,86.73348320264303,218.711563103081,0.062432525810289484,124.95255859112538,0.18349942653505674,0.22979920756146174,42430.42111318325,42337,,0.14063844560432032,1.4382723536827601e+30 kg / m,1.0399407003977765e+32 kg / m,0.002393576817335846,
23681,2462016.821084122,0.3670743730180154,16.941075578475928,8.521184968827313e-05,0.028411760915253215,0.00011232489901713318,3.1398311248135253,1.3728584204532644e-06,0.0006010830850947045,13.656001191765945,1.3991848491395225,20.62950666285068,1.2991194636957701,1.5933151431981971,1.6456835731904833,4.450908065010396,1.4106928271104868,1.4237483559624455,41975.95329055229,42364,,0.9319250152287342,7.234704396907575e+28 kg / m,3.0974560642140917e+32 kg / m,0.0006010846528794512,
23683,2461565.8111882224,1.5870977586274724,90.81570905808042,2.557642622994261e-07,2.3192713066224155,2.5531076945444702e-05,1.3594579994345526,0.0009029487802979067,0.013027451381968248,2.4849625859843245,0.04916015997200139,2.577432964613607,0.03236902776465211,0.07956772375136265,0.001309833786328148,0.04796578253214032,0.020603612141093314,0.015469167444241526,42028.86949736287,41815,,0.013192510653401617,3.3792131806106124e+31 kg / m,1.1145565059211186e+36 kg / m,0.013058706138411565,
23684,2462254.528468458,1.95084556280953,259.2003489862449,0.00027097903987164155,0.046877532022739574,1.6667222003267503e-06,0.5062304100160195,9.450612305583812e-05,-2.670365931138841e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42537.39829303837,42398,,0.9580769184902377,8.48603914390751e+31 kg / m,1.1442105257948263e+35 kg / m,9.450612305621538e-05,
23687,2462676.6194970063,2.9316782461625612,2163.1740717318353,2.0143138416548558e-05,0.2901862306800903,0.00013781052252440245,2.9619767703979436,0.006738241615688346,-1.2042483530660492e-37,209.8646451685308,10.862600395223797,272.0536952295234,20.318390403327175,4768.926502242385,1.6770875933368272,884.683744492113,0.04552113722000095,0.0602830842045882,41489.59898767386,41697,,0.04151135313161678,2.2078097781595317e+32 kg / m,2.8744139512948143e+33 kg / m,0.006738241615688346,
23688,2462225.637071986,0.7969512120189737,74.5994706040338,0.00012699532167565996,1.5198229384639008,0.00011277706840918182,2.0131028028507854,0.004401098392653794,0.0005648345432990974,6.001737987842466,1.1998650667896855,58.04140545925849,2.972360317857858,1.7898219890164608,0.004293604596831937,1.7830759346057807,0.37673922284136013,0.08573268454187603,42301.6623970724,42363,,0.21832462972827207,3.70247331488872e+30 kg / m,3.0704493882112065e+33 kg / m,0.004437195637237974,
