Source,t0,u0,te,rho,piEN,piEE,t0_err,u0_err,te_err,rho_err,piEN_err,piEE_err,chi2,cov_piEE_piEN,piE,piE_err
10310,2461651.215101363,1.9018627933473742,3.566085020869912,0.014418895287654838,0.0011354958289617135,-0.00020645104555135096,0.6249281794735949,0.9120298050791691,1.746097944214884,294.57844131966425,201.59732128933342,6.258656022292968,0.9915270997883103,-1258.3093852495313,0.0011541112649128312,198.34878234951245
10311,2462640.1003856664,0.06425461674317524,1.0148971541114873,0.014470316718829538,5.219874014358419e-08,-1.8356714114591352e-05,607.8645934429973,421.95752215484566,24.81253903095755,19.63546347576283,363.4124854045326,354.51827067960386,1.005851557307503,49210.42593224548,1.835678833002413e-05,354.5183434991802
10312,2462801.1767374957,1.4452644657904232,0.29833315306689717,0.7674591204163931,7.987962865705134e-05,-0.0007704698338956911,0.014934309824660812,3.1196175019225163,0.002095590980295418,0.08171461627408787,322.1794247382036,10.267237301765977,1.0040072172538417,-2929.047329414341,0.0007745995868948306,34.75849502390512
10314,2463076.374874984,1.1077438335199288,6.595184017207842,0.06844041552221387,6.780519136225537e-07,-1.0707278076661284e-30,1.1488491889236283,0.5819201093747596,1.0979057301078468,4.083387852480863,75.5235285289669,13.97495916465308,0.9967729601886534,326.4995398534605,6.780519136225537e-07,75.5235285289669
10315,2462738.566339478,0.190154950709184,1.8155487539344792,0.14873813622052331,0.0004086875578654104,-1.871923295709197e-09,0.03523751112497566,0.025731999272943114,0.030262113412933306,0.022042870808543884,148.55291857269503,5.337007204124794,1.0024570324035882,-792.255518699256,0.0004086875578696974,148.55291857113878
10316,2462063.9049787065,0.1201449181730837,8.535646731698174,0.054650491836894806,3.1508448223370655e-06,0.0016648038920562263,2854.5635550883117,2307.1740367535717,400.3427065395099,602.6668059489307,3466.573011710166,264.7203936032989,1.0082966156084596,367522.956898642,0.0016648068737330026,264.8012107220515
10317,2462488.867578001,0.05044957257162001,6.151082138405367,0.014340297632300226,0.0010570766310624635,4.630976771976709e-05,61.72106314199566,302.85336614835904,12.338029655014003,110.33971905164935,269.71727212006203,21.559727700798458,0.9940899903761505,-2867.4518219124147,0.0010580905436325505,269.46046842962255
10318,2463178.550913055,3.3000607358336205,4.900081847713535,0.1291661198341429,2.793223633419374e-06,-6.995469593336712e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9990399571264968,1827871.0015823592,7.001043908872549e-05,0.0
10319,2462770.9714875766,2.1268022147988144,2.27476841334186,0.09499216709991133,6.86414884951494e-06,2.2001956604831167e-15,0.4697172331670885,1.8813731710804644,0.49439331738989595,0.10184428643670655,216.34593484872406,5.230688593521396,0.9873023956772772,1110.5391677433126,6.86414884951494e-06,216.34593484872406
10320,2462523.9929113197,0.2689111844246274,1.347296314369284,0.01445817793370873,7.017369685592902e-05,-0.0001634868807715663,76.2400085259211,415.825402232892,5.127277791932961,13.325977332822792,392.1559407164305,380.55688882574077,0.9971523120089392,54175.76738093199,0.00017791095501639058,382.3845376368445
10321,2463137.181113126,3.01411566575153,2.4060751551606603,0.014450525653493624,1.4182536744601731e-05,-7.109367988892328e-05,49.40677558225275,111.7207173942777,68.08578140767705,381.53501312644426,386.44646469811795,383.3569246471179,1.0012640351300812,55209.480333739135,7.24945216458504e-05,383.47563007131765
