Source,t0,u0,te,rho,piEN,piEE,categories,piE
5000,2461713.238573166,2.381089780934623,0.5505562228767694,0.0068962940483977,0.0002011733742248,-0.0001697428159004,C,0.00026321730575094886
5002,2462471.437105586,1.213555178443145,0.4204466436130991,0.0100225073832218,0.0021761421116189,0.0002763032819022,C,0.0021936129999503315
5004,2463296.890613386,0.1397782564307398,6.741692462854235,0.0009776587936016,0.0016905063806523,0.00046715347421,C,0.0017538654998296229
5006,2462433.0224459395,1.0108748616866796,0.3581209695425982,0.0153842657217067,9.305381054655596e-05,4.190536232894676e-05,C,0.0001020542554191379
5007,2462180.444632983,2.607778181128848,2.204102428896904,0.0034228131274393,0.0002163083838286,-0.0037023900883726,C,0.003708703504379153
5009,2463306.5648828656,1.995708221763336,2.264511740135448,0.0034025820000948,0.0003299282415097,-0.0001313237088141,C,0.0003551035919874276
5010,2463269.37690861,1.0385959218713547,0.8912122123099849,0.012648185905568,0.0007590640071123,0.0006079030994281,C,0.0009724835963591736
5011,2462767.385777367,0.2661055404342124,1.7746708478629172,0.0071641415698099,0.0003021834095739,9.550054837599432e-05,D,0.0003169150797324467
5018,2462417.5429851785,1.4214525357673966,0.9541196417853726,0.0032546852572246,0.0004316097458258,-0.0001198189201352,C,0.00044793252428705947
5020,2461802.881983858,0.7660857509835731,1.7981946098951151,0.0040816842653146,0.0007487435889845,0.0004625267694255,C,0.000880084072393416
5023,2462608.4500814565,0.4668388594863056,0.6364316232446242,0.0110596303444876,0.0008466010779513,0.000530814147212,A,0.0009992482394624
5026,2462909.2307768296,2.8751777651281456,3.729887198276562,0.003387699823224,0.0009971505371419,0.0034175545433101,D,0.00356005452910793
5030,2462816.8502282454,0.8998111032305385,5.380804359492907,0.0012521192640495,0.000451999502045,0.0008805337360219,C,0.0009897692711544508
5040,2462703.841213214,2.601200324203535,0.1709489974506168,0.0586326247036772,0.0007303658084885,0.0039327834036447,B,0.004000027439179917
5043,2462560.2101649824,0.2990187816979812,0.3543493125305947,0.0124344698816889,0.0001146206750916,-7.540212126247626e-05,A,0.00013719832014035487
5044,2462412.127245428,2.872156546929152,0.4031998353910906,0.0200301261612379,2.3057553502728338e-05,0.0001302060668506,B,0.00013223188200367603
5054,2461840.042750935,2.857189303410001,2.8661128904731235,0.0046705748666586,5.633598481795164e-05,-0.0003046214878334,A,0.00030978701398742125
5059,2461526.4672152624,2.335935586249166,4.09348068545352,0.0022536645837876,0.0007932652258415,-0.0008252472344666,B,0.001144684548914738
5063,2462265.1770848227,2.29626152022933,19.56125995784677,0.0006955603547578,0.003560681038064,-0.0008730050465296,B,0.003666140650069862
5068,2462276.987243565,0.522668808900324,2.326150262934534,0.0026437790785593,0.0005412691260211,-0.000262368088501,B,0.0006015058442337147
5069,2461905.860104393,1.3169202803635511,2.164346070760033,0.0044396009177233,5.942467307654868e-05,0.0003020748532471,B,0.0003078644323960007
5070,2461959.4621306164,2.7199013283897737,2.4996991636906123,0.0046158425973502,0.0002367142453984,0.0005501176125168,B,0.0005988848149483489
5071,2463312.8977169828,0.6406225543392536,3.689174611911285,0.0026802698508158,0.0022459946502582,0.0004786545119857,C,0.002296432474694765
5072,2462709.3547320487,0.5681712118136736,5.748133880175722,0.0014776186414649,0.0007339036592716,-0.0004262476664167,B,0.0008487058702624409
5074,2463127.2770859576,0.1505927653648384,3.107930370631041,0.0038361997444049,2.482804321186722e-05,0.0003133798124905,B,0.0003143617957168321
5079,2463260.377431315,2.712669241991105,1.4109444829733286,0.0026662121097162,0.0016545621437175,-0.0019966572087633,C,0.002593109310601753
5081,2462989.232235876,2.227064153608527,2.1827574293748877,0.0054005728649551,0.0001375201842398,-0.0002057301790885,B,0.0002474605173782978
5086,2462605.4740414214,1.3524884642107124,2.2617727043754767,0.0034978262670291,0.0003232919612261,-0.0002167678050706,A,0.0003892376825392729
5092,2462297.083398349,2.2209250203792936,1.5389600623690158,0.0082082686040661,0.0002293516302177,8.711995930365671e-07,B,0.00022935328485166177
5094,2461906.738487432,0.3049477820637127,1.2703143919061453,0.0051152992563703,0.0001062685226379,-0.0004266730186217,B,0.0004397077025972998
5095,2461540.5285433545,1.9227800173525635,3.825805805487798,0.0008483330308057,0.0025551639746531,0.0005090523467176,B,0.0026053785193448807
5097,2462715.146331645,2.482525603219133,1.0832876446516322,0.0067925502646152,0.000224967003772,-8.416795693212372e-05,B,0.00024019658149165843
5106,2462932.782714918,1.1976189829843813,5.7835357448230456,0.0019497026945377,0.0014643726817088,0.00074408039122,A,0.001642572062204009
5108,2462113.6661825287,2.845026601004789,1.0772232298717204,0.0044170048856702,0.0011086923099017,-0.0009121057818098,C,0.0014356655582850881
5115,2462093.427078142,1.4226122345559444,1.5040064125489054,0.0074556788577866,0.0001691037825381,0.0002123993979265,C,0.0002714951077058898
5122,2463259.453622481,2.954690434447599,2.1119054092963765,0.0011172941236104,0.0074485671885229,0.006616503624692,C,0.009962894829190074
5125,2462093.801280236,2.2853890735620443,2.335607964079479,0.0038622669692974,0.0015690036744111,-0.0003804544561232,C,0.001614471468778415
5127,2463064.957315884,0.1858817245892754,2.4808025054499714,0.0137617817887738,0.0046214070967239,-0.0042062966103811,B,0.006249026702467637
5142,2461950.043394688,2.3631943488930998,0.9632853552095828,0.0046823975032318,0.0005120502855554,0.0004040704807406,B,0.0006522794250498066
5143,2462186.762877397,1.2881860687489657,1.1715796169896602,0.005105985559171,0.0004079216555419,-0.0004133416463899,C,0.0005807334962789366
5149,2463275.788348899,1.682355006240896,3.2209081100059005,0.0016052550665325,0.0003010947250253,-0.0010641299703982,C,0.0011059071513186516
5164,2462944.278706972,2.423873845593614,2.502596283066156,0.0062756064611941,0.0015139469034814,-0.0006992017087686,A,0.0016676085440252004
5165,2463276.477193637,0.0752797154040048,2.1056068288873284,0.0031267989328235,0.0019098305792843,0.0020016031096141,C,0.002766562460886477
5179,2462913.226191986,0.1689477969038368,1.1938065614432924,0.0047526008022121,0.0048015837173691,0.0015301806763889,D,0.005039509807242968
5185,2463215.737464391,1.342558289821555,1.838334219261622,0.0032602609956955,0.0005986053963015,-0.0001883334048374,C,0.0006275331798868677
5186,2462988.8327596504,2.541804892853807,6.958275896155724,0.0020489759231874,0.00024413865491,-0.0010453557608599,B,0.001073486073307076
5199,2462711.7926023765,2.940735021853542,3.6710884595862328,0.0013576412060026,0.0008480152437275,3.769400869268697e-05,B,0.0008488525737049607
5200,2463197.471297156,2.068779649218809,14.177394365716566,0.001815863622091,0.0024111885205408,0.0006542633330427,C,0.002498377591668616
5203,2462578.510548348,2.1307248183848304,1.6286624042154418,0.0051843879498051,0.0003649332681112,5.4665217273829685e-05,A,0.0003690048457051966
5210,2463319.785661409,2.069674190817812,1.1578616474026615,0.0085053758491391,0.0001324520039102,0.0004937473065771,C,0.0005112043975671262
5215,2462780.775855139,0.7229660453377348,4.223574488164216,0.0044010282693064,0.0003142938995001,0.0004217740336581,D,0.0005259980900452044
5220,2463166.982856406,2.4082616446394693,2.407854033792801,0.0051982406717055,0.0003988202984588,-4.410241400446596e-05,C,0.00040125135935444213
5221,2463147.1103011854,2.967059953579859,0.4592546891442093,0.0327241800908469,0.0010401965826034,0.0010384521808973,C,0.0014698271539436707
5230,2463327.3750936342,0.0685569411886336,1.9557426158395024,0.0070981284115048,0.0002496009194637,-0.0011897663318277,C,0.0012156662960483295
5233,2463283.626500624,2.357345798391392,4.526948786732933,0.0068772123944062,6.245294618446696e-06,0.0026765122928196,C,0.0026765195791025524
5238,2462476.568651464,1.7464105295558698,1.546528420606088,0.0148947135312573,0.0017185642026739,-0.0029517784500091,C,0.0034156198466237866
5255,2461515.9818988144,2.549923132017656,6.041064733118993,0.0014913107981996,0.0004094235390076,-0.0008998994379759,A,0.0009886590073239854
5257,2462447.541819958,0.3847147186645188,2.6578488163687566,0.011450914010666,0.0021064672728328,-0.0046559582474267,C,0.005110298579662088
5259,2463150.5203810898,0.5083757173809128,0.802262547985583,0.0163425348907096,0.0038202953958216,-0.0030298907385829,C,0.004875950655932251
5266,2461528.9897631668,1.3284701419846368,0.3776774003928599,0.0364546756883085,0.001227105979159,-0.0005277977118561,B,0.0013357992022487149
5267,2461553.794278617,2.021219323509949,0.6191774752266225,0.0089922691030656,0.0001202339003442,0.0007150786212508,B,0.0007251162840275511
5270,2461950.781637235,2.148557895203404,3.4185394807339256,0.0031478358587836,0.000566042329603,3.6773499697358085e-05,B,0.0005672355852574685
5274,2462589.743394287,1.8899092825767776,7.748187013095413,0.0039651918064206,0.0014782704226322,-0.0001360715161904,A,0.001484519753976867
5277,2461510.04015206,0.6961681270445826,1.7305137409519264,0.0041460379633384,0.0014802791522888,0.0028481018842485,A,0.003209814747265129
5282,2462685.5951907225,1.6752755696980994,9.74731870671416,0.0021400230626249,0.0013203486101474,-1.3446934476463502e-05,B,0.0013204170827299175
5283,2461771.394262617,0.4659878960886907,0.2370462961258521,0.0314164935347535,0.0006519188268167,3.4471212857029985e-05,C,0.0006528295499392603
5284,2462663.5894371406,1.8894129911258448,0.957808187574536,0.0075077877263078,0.0006774681992937,0.0005246400391051,B,0.0008568607422950647
5292,2463092.328842216,0.7486917474805287,3.69645040426624,0.0021709916367986,0.001182242749934,0.0003453077312983,B,0.001231639293407727
5298,2463089.6834209347,1.1247155899711436,4.236914883137923,0.0018060176052971,0.0009937182447393,-0.0002304554748238,B,0.001020091013490472
5299,2463238.087835377,1.421811037951135,4.256709666626565,0.0028998867780216,0.0004620718674469,-0.0054891081001831,C,0.00550852231965902
5300,2462492.4577383846,0.846479951646052,3.3550377531706728,0.0006397542299518,0.0017537506530072,0.0025476335821276,C,0.003092907729258584
5302,2461696.1381049617,1.2944302719990308,1.2321177377728851,0.0124916864770121,0.0001743166093656,0.0003610069350874,D,0.000400889370627256
5317,2462521.512913678,1.4899105255783114,5.390354427428606,0.0042306583402954,0.0002653363905357,0.0006717206807642,C,0.0007222271617080279
5318,2462953.227336643,0.3703913418960847,2.0781802303114483,0.0019423618916126,0.0006215376085469,0.0010575850822394,A,0.0012267009435936364
5319,2461993.991402193,1.314798290277392,0.5997899728334323,0.0152289311631893,8.51133283872056e-05,-9.991844607918756e-05,B,0.0001312553790746414
5320,2463100.208931444,2.3102085514169346,6.068254285533602,0.00259763144137,0.0011634500539455,0.0029472951473217,B,0.003168621894996597
5323,2461745.9794388744,2.12304801779503,1.1048039229907478,0.0125699365064625,0.0002945107701318,0.0004007022472622,C,0.0004972915489776628
5337,2462260.1334480746,0.3823133468630952,1.2788929663992514,0.0075489648547824,0.0005363900047169,0.0001875615830477,B,0.000568237260829977
5338,2462893.3173949188,2.497082046386975,0.7009122868945917,0.0144109727126653,0.0011010690404593,-5.535181341258247e-05,C,0.0011024594573525255
5339,2463155.2323632385,1.3074871953767846,0.2019818602819214,0.0271489466285982,0.000938570675956,0.0001508638489791,C,0.0009506181224305011
5340,2462509.6237887503,2.0599104464246887,5.693170792060903,0.0008250542357848,0.0013011321688241,0.0013259469156617,C,0.001857708304309824
5342,2462284.116868608,1.9189717876893653,1.0547819463110015,0.0076927702675198,0.0001417671356519,0.0001862300428346,B,0.00023405031425982142
5354,2462566.3998148097,1.6065065321641527,3.752607373405412,0.0030380647729755,0.0015770897808262,-0.0001059085029103,A,0.0015806418910604427
5365,2462806.9050684324,1.2077760481461446,2.807918919986596,0.0028375379002642,0.0001011098140424,-0.0004308239257477,C,0.00044252960295594737
5366,2462773.7295450894,1.949529487968126,2.9934524136947958,0.0048763903444776,0.001229757904634,0.0001895413827662,D,0.0012442790843660153
5367,2462682.353201889,1.589716352128442,1.159164322049368,0.0055659142760081,0.0003188509477501,0.0005442099986499,B,0.0006307380197131462
5368,2461645.904289522,2.4367718510808256,1.118025807926705,0.0117817452180038,0.000102300771395,0.0001894305046575,A,0.00021528902415777533
5369,2461682.3210562225,1.0544543297359763,12.448109323511137,0.0090648049913516,0.0006786308919419,0.0006538930191225,A,0.0009423990492116367
5370,2463230.02078934,1.93775872797895,2.5282865292391965,0.0006571728259824,3.436491256829008e-05,0.0042266715322004,C,0.004226811231688624
5374,2462667.334620214,0.869917985994757,0.7978469642138794,0.0094740311622149,6.528180052110881e-05,0.0002756706568323,B,0.000283294942626284
5377,2461512.126291972,2.573987043307053,1.0613322390077295,0.0128085121000804,1.0453635736012823e-05,0.0002130204324492,A,0.0002132767759062046
5397,2461785.1830723155,0.2644247619404589,10.912901196783553,0.0038501932048901,0.003791726384955,0.0016150540607742,C,0.004121357615833301
5398,2462089.1977530643,0.8485445722700953,3.447693574994468,0.0096851949138738,0.0005704542487815,-0.0003052765492202,C,0.0006470021804110545
