Source,t0,u0,te,rho,piEN,piEE,piE
5000,0.00023843956625238467,96.92628215837736,32.708448471048,820463225492.9265,403184364453211.4,3.236585920601637e+17,403184059680097.5
5002,0.07534236603993462,3725.9091281658334,3679.1001699388726,50897.3758219906,853498.6738437318,6598627.4699723255,846447.6626552494
5004,4.615069722551977e-09,156141.54318239546,30943.34796623061,181116.59734851064,2212775.8376342882,43437484.47735322,2209911.6885712245
5006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5007,0.0707721964708138,305472.3021154629,2123.3378254119957,11282.358146213517,47997748388.607254,5667884888175.526,47996061553.139946
5009,5.8040366799973795e-08,4537807.696889954,456621.11646376573,192585351.75592247,57367561946.81217,27803766840.49346,25021856251.443375
5010,3.6951484182855645e-06,11881.450896461121,4047.2816976007957,205768.0069419814,45944672491.821465,3905382.267233927,3905382.253138126
5011,2.622279274330946e-08,7.096501921241105,0.029155024980735595,24.040577177071583,1132639.9923526286,27514.18876382443,822562.312050598
5018,1.8054225608568384e-05,13473500.973737195,1124.2484800751608,7.960659196415596e+21,9.89996000866808e+20,2.93104407246838e+21,9.385431885193659e+20
5020,0.0002796107479365139,243.11191746854783,18.429374066115187,2482.918367200663,4133291.97150067,1163806.730730064,3008518.8821605043
5023,2.0969652985148012e-08,10.539390422927557,0.03581908516488467,32.95867777092597,392142.28250290937,92314.76562443981,390625.26526829926
5026,2.4057447743492476e-05,14.269705920514582,28.151346077367617,12823.805171231408,1506482.634659699,10838917207.806335,1506482.634566898
5030,5.07944730842906e-05,2187791.14789904,37.799900617473234,7.372213245142229e+21,111015703655819.95,206544.2908625095,206544.29086251234
5040,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5043,1.6337219981412865e-09,0.8452673599353351,0.017268414741963386,188139927.6136765,405283905.87288016,715861.798752154,715861.3547504306
5044,7.204504758739445e-09,5.975372283996022e-06,1478571878.6301029,8636309.77251765,0.0,0.0,0.0
5054,1.1286368756472913e-05,5.708281590826216,11.769280165350382,8561.67496565152,18880166.584971637,31446.58473977396,625117.1414938637
5059,3.8644873161695425e-05,663043740183661.2,19.339597792119807,1866.891468943201,1.668343811317448e+23,155201.32328760164,155201.32328760164
5063,0.011649504180298467,3794.949375606888,3476.915015839794,251981.93679735568,44490.76818945246,32351.456168528104,42008.06141438806
5068,0.06286145479648263,4183.28534424444,1137.3418863538973,7324.1610118613735,8800479272960056.0,6719939.803949583,6719939.803949582
5069,5.459135871396453e-06,5532.197544723509,491528.6335349482,82436938.67925428,1978960850.8713236,101825965588130.61,1978960850.5104368
5070,0.016182641391209993,1704.356165812602,327.26219551936236,3519.6847499201845,10215115.629552657,7.184694227246477e+17,10215115.629552659
5071,6.263524501838555e-10,0.0,33761974.28717039,1558110.4638187303,0.0,0.0,0.0
5072,2.0149588483839797e-05,1413695.936397726,11.501111183724273,8.649758660073982e+32,5.905693156906413e+17,58659.28868123828,58659.28868123828
5074,2.668772637960404e-07,4.047516171508217,353505.46235896775,2425987.242284466,252423222206.87463,2241131272.226925,2241043698.7932024
5079,3.658537810429246e-05,4217.858382734453,2624.225401000726,6576.614163965902,1264119.1896742978,2410276434.201442,1264119.0159286007
5081,0.00024743517338729297,43.335755839243774,23.59151070621782,1900.9724776463318,13541907.590802282,1263385.0994631918,4272351.015127998
5086,4.0814474894562545e-06,24.75779935242162,3.601025027815428,645.7314426662281,4.8895311902789555e+17,1.3854355427999838e+34,4.889531190278955e+17
5092,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5094,3.2949359099988274e-08,1561154.324347596,151538.91900296268,15049785.306786109,8747730738.045122,2236854322.3449235,2169042376.955092
5095,0.0001193505027074527,22.487721723492477,22.664578595138547,6.52025662369081e+37,1256326.709428242,1030341.1010948671,1209005.9825145926
