Source,t0,u0,te,rho,piEN,piEE,piE
5000,0.0008699348825718435,0.005163524446132758,0.015273948708292769,0.0013028573317160758,3.213109575165117e-08,2.941706142207844e-08,4.298623095322282e-08
5002,5.590171059671078e-05,0.00014124929971780461,0.00014554865372526694,1.5243015136770634e-05,6.149586723069829e-07,7.853014274115803e-08,6.199001069673627e-07
5004,6329.410155327401,10304.183983537714,0.000696903913818204,5.290706354156756e-08,0.0022981077059334998,0.00014991968776184147,0.0021356085803593454
5006,16.951347137258946,3.324676003995909e-05,2.3109739027151492e-05,6.841863750368846e-05,4.6968903916391824e-08,2.1401142282697342e-08,5.157524574172772e-08
5007,5.754943346064691e-05,0.00042239009127724843,0.0002458043657554404,4.488082789265351e-05,3.75714185083571e-08,7.161450123454259e-07,7.173462314767489e-07
5009,701.0164771197311,0.00013545977279454552,2.7765363249562888e-05,1.806892267111406e-07,2.0211308959185878e-09,8.159587656803432e-10,2.179519819481552e-09
5010,4.717244737663949,0.0001577562218378268,0.00011672054285305285,8.193378236169605e-07,1.484381657617185e-07,1.1870911744639625e-07,4.6276017958602366e-08
5011,0.006928763435871283,0.0009304227539227388,0.12448364020312308,0.006840382971065862,1.5023906145570056e-08,6.074501788149991e-06,3.8778294462900587e-08
5018,0.22434495824296466,0.00013690931292878824,0.0004421301068829276,0.0001300149558885667,4.191077066951936e-08,6.422356897143154e-09,4.054243973662078e-08
5020,0.014593102686168792,0.0020325657132740133,0.027399999199710055,0.0001874590186302994,1.0633133803116017e-07,3.7397011473864105e-07,1.4605013466873095e-07
5023,0.04414700034114,5.736714423509356e-05,0.03900643444051013,0.02002106195235517,4.558527321789136e-07,5.3426258098842245e-05,4.6361676961808243e-07
5026,0.004557004215382901,0.11903773402312448,0.01766783501729057,3.891786421754607e-05,3.3011837454571794e-07,2.004225730472183e-05,5.185589159454977e-07
5030,0.002005851259447881,0.00010280300154095246,0.003762685549533825,0.00015063521870230232,1.2855758348179004e-07,2.3668969881945336e-06,2.0732688975419866e-06
5040,0.002811698931581403,1.8623559991627123e-05,5.8468592992920084e-05,3.2553316889737577e-06,2.8841847839096287e-08,1.56717753416747e-07,1.5934927365604517e-07
5043,0.12497708696088906,0.005583844081028165,0.10957241378948332,0.025863981454256994,2.2569550227361862e-06,6.932561427382528e-07,1.1895148315404681e-07
5044,22640.052943955478,inf,3.936228199609977e-06,0.0011353905126511175,inf,inf,inf
5054,0.009082969000544342,0.27325365433349735,0.044318186006912855,6.057791185874934e-05,2.764117483323236e-08,1.6567404227039742e-05,8.348242256026451e-07
5059,0.09528745834350567,0.0004494116485855086,0.0038737976945636653,0.000261230829416626,3.303402224411125e-07,3.2421237961929657e-06,1.9871601013025714e-06
5063,0.001239508460909167,0.01764044936870758,0.011865725142709806,6.698022772279262e-07,1.6221770686662874e-05,6.830037873442932e-06,1.702427331588069e-05
5068,0.022883619931695992,0.00012102074277744607,0.0063031841336628775,0.00018616873765507836,1.3309263068907511e-07,7.814234132981844e-08,1.5259847037965445e-07
5069,0.1393096858686271,1.567664931162719e-05,0.00010225999003535819,9.206308005779405e-06,2.419802215422274e-09,1.3647123784102683e-08,1.384769417712419e-08
5070,0.0002528648649723352,0.000295279217809566,0.0015413010725293054,0.00014230175933384678,4.895897388710583e-08,1.699144504659499e-07,2.5947795799019863e-08
5071,inf,inf,inf,inf,inf,inf,inf
5072,0.9640638137049806,0.4251803405698808,0.025447166178326826,0.0005506204090244733,2.764444277620593e-06,1.4591110319584583e-05,3.517377427847618e-06
5074,5383.0507835815215,5.462499521677721e-06,0.00024788356129391403,9.593035135170143e-06,9.268286493574228e-10,1.1296791582534118e-08,1.1334537126353688e-08
5079,0.10945535724174967,0.00011844281446866072,0.00019038673176079854,7.557906144674064e-05,3.9452263849343513e-07,4.845991149550538e-07,6.214764681284124e-07
5081,0.014940713788904453,0.07066444178959438,0.01160639261162174,0.0001701477268205058,2.3700896924885256e-08,3.588676623043539e-07,1.0026394057397308e-07
5086,0.002684137188741509,0.0028126555396551264,0.01498367970315485,0.0007745388914907399,7.890102822521127e-08,7.322499373156029e-07,9.499541300650782e-08
5092,0.0001791811571109345,1.8120978798030497e-05,0.0002760846004275092,4.28271080880637e-06,2.034469656316533e-09,8.69833582222598e-12,2.0344515949698488e-09
5094,375.7991803787768,0.0005112141923983174,1.5085122593384294e-05,6.156555473584343e-07,8.13504037791358e-10,3.51647789597422e-09,3.61744431737307e-09
5095,0.027704525506438333,0.0089564606023199,0.013427183112651737,0.00010631140466470373,3.1639043539695705e-07,4.330569905410401e-07,3.288338871123529e-07
5097,0.06719766107638248,0.009820608345742825,0.001830590430081698,0.0005546669951221102,2.146814208367381e-08,5.260406148719346e-09,2.3558976495008144e-08
5106,7.588261095286813e-05,0.007382684234886763,0.0004696057136127227,0.0005286343060559182,7.443772621925468e-06,0.00019666933581724878,8.349604645661442e-06
5108,inf,inf,inf,inf,inf,inf,inf
5115,0.0001923229313351776,8.07388957877577e-06,0.00017191827757947068,3.279796988315535e-06,1.4449093879588786e-09,1.0597599335907211e-09,1.5572389462514722e-09
5122,1216.5269631378656,0.06860099847126493,0.004686005635095212,1.884789155922318e-08,2.8741290791096238e-05,8.68315389855521e-06,1.3678147468652061e-05
5125,1.6683344844141226,0.007697865866686897,0.000546315989615725,3.932170685686251e-07,8.76731079110773e-06,1.0533255818510287e-06,4.554422430996519e-06
5127,0.0014822090494573132,2.1669589193057874e-05,0.005052561984151507,3.9118611280297456e-07,8.637286977916732e-07,1.981426792560335e-06,1.4813088180889485e-06
5142,0.001612372929448618,0.0002101117901438,0.0026556765435566346,4.026327599111465e-06,1.4933718927098901e-09,1.2119886875774645e-09,1.0843998417842147e-09
5143,27.653206168896162,4.247760255673385e-06,2.388907643531555e-05,1.6343372032051653e-06,8.448397059429267e-09,8.706296522747568e-09,1.2131034418512175e-08
5149,inf,inf,inf,inf,inf,inf,inf
5164,0.0043414522652727525,0.26650426873693656,0.15769898182531916,0.0008452034253713729,1.1544037421436976e-06,0.00011013231267679392,1.30684244333103e-06
5165,inf,inf,inf,inf,inf,inf,inf
5179,0.020438991186490417,0.03486912611376994,0.47871178287066996,0.0016104257592778816,0.0004429309104027234,0.00010830933568067672,0.00017252635136619996
5185,0.00020809595297589516,0.0005042243986847655,0.0007734179818837697,0.00021813011430867402,2.767022499564461e-07,8.867562730811838e-08,2.9017353726082625e-07
5186,0.21635510132165559,0.04031097688797037,0.025235369718111113,0.00012699972701166656,1.5003184345748645e-06,5.137448769781768e-05,6.5971142613274586e-06
5199,0.0037144391756330185,0.0017160803842147486,0.0009997684510892212,1.0245945380106251e-05,2.0517292636785233e-07,5.430098014980956e-08,2.0557862611223418e-07
5200,0.17620190578705638,0.0009615161220415418,0.0075056529720119655,4.041137635046819e-05,3.854704614562625e-06,2.911579951676104e-06,3.7153177055965268e-06
5203,0.0009514401210797282,0.006010120339529486,0.012591159333664783,0.00012082530569887028,1.6759961794246036e-08,2.8124621686695526e-07,1.65729701134374e-08
5210,0.046385966598127444,2.7863633011750125e-05,0.00010542779402687887,4.211495034417715e-06,1.80649003218391e-08,6.737030021214406e-08,6.975010095042917e-08
5215,8.601378268086863e-05,0.000997317291127784,0.0030115848702116288,0.000982777747227966,4.94734690850513e-07,1.4097444582298021e-05,1.6143027865034426e-07
5220,0.00775445627410042,5.401877258129544e-06,0.0009866772413673669,4.136359894458272e-06,7.065503327377385e-10,3.004405042300168e-09,7.155671400066228e-10
5221,0.12706465263466588,0.0002985987322497023,0.0069425604295213625,2.9039365516221613e-05,1.1290797975313758e-07,5.2964497846085005e-08,1.1985282081191855e-07
5230,12.104543309090742,8.825668454967315e-06,1.3417387766382184e-05,8.418208763052383e-07,1.675822333299263e-09,1.0379614198123596e-08,1.0455769768250674e-08
5233,0.0007914286805525746,3.323618675718822e-05,0.0013996399532624766,9.47470902617203e-07,1.9525266140996196e-10,2.1910181007581545e-06,2.1869521347923106e-06
5238,0.0019447616005589038,0.0003051431201758695,0.004549629676844348,1.342314172596786e-07,4.4747505642402665e-07,1.0799319001702734e-06,5.599951211694535e-09
5255,0.11490312431308622,1.3492057386044822,0.13933725101558458,5.1173480914067994e-05,2.680620651762074e-06,7.696729772097741e-05,1.5414190651664688e-05
5257,487.26074975769285,1.5678361970264066e-05,1.888843808539206e-05,3.873406189402909e-07,9.341489132435554e-08,1.5794593000644414e-07,1.4064629267237491e-07
