Source,Set,t0,u0,te,rho,s,q,alpha,piEN,piEE,t0_err,u0_err,te_err,rho_err,s_err,q_err,alpha_err,piEN_err,piEE_err,piE,piE_err,piE_err_MC,mass_thetaE,mass_mu,mass_thetaS,err_mass_thetaE_NotMC,mass_err_thetaE,mass_err_mu,mass_err_thetaS,chichi,dof
0,1,2461730.6874652435,2.921879789807331,1397.9439867306544,2.2170793890868236e-05,0.08498975640074051,1.7593606499447204e-05,2.151752133598393,0.021396585753668304,-3.990754982786969e-38,29.76632284459071,1.3413185700296182,42.57564211004363,206.7978396131213,4227.214877901377,6.776125849218275,1052.1922161516165,0.01881013612574625,0.028987710422333446,0.014213187351574596,0.018630381569017345,,,,,,,,,41682.57854776234,41557
3,1,2462710.940496293,0.30494344211835095,432.2402766629617,5.909263309158562e-07,3.5285623086007005,0.0007275092176545998,6.54657081994316e-13,1.4414892328645247e-21,-0.06591053992017659,101.30083095981284,0.06882632087420092,41.154077139375396,0.00028246109603659894,53.6994222138161,0.06703368146539518,14.428652868711533,0.0005604539337755288,0.0068589096669258,0.06591053992017659,0.004238293041542703,,,,,,,,,96101.06537922558,41557
4,1,2462492.5807996592,2.345721409486872,0.02260561046138833,3.342757995670772e-05,0.10695095906490713,0.00020483840144079905,3.1397620235884407,0.05749037294950732,-0.016306685431839097,0.10062864667686634,10976.931427910496,3504.3212541441794,3701.401785172123,3213.1399634102168,4019.930751696164,12072.885773967191,3969.245841713344,4417.498899963502,0.00505085409839869,15.478073180647302,,,,,,,,,42267.56472265601,41557
9,1,2462647.394097185,1.0125850019513125,883.5026460812627,6.25860080238495e-05,0.03076891197334327,4.612886132436133e-05,0.7339122209386153,0.032212540438215864,0.0021969034656614816,2.8026287386644997,0.002193355759319984,4.212102035611348,0.7739469862836658,0.816779246768839,0.8342593815769035,0.8567802908928988,0.00028370293727077373,0.00032488423831543157,0.033625823177872854,0.002542523921243432,,,,,,,,,49662.527809392384,41557
10,1,2462046.3494304908,2.3311737428560053,260.12944309751015,0.00024185769310544793,0.2771036673968704,0.0008011715248508099,3.141587897532788,1.0389557214694235e-33,-4.176596132155242e-38,395.46472101889503,0.046735685399816165,96.75792779304145,0.04467527771357201,119.43036094815652,4.265419933413902,1562.0146061504724,0.02335390076395742,0.043398236193028676,1.706563495470539e-40,0.031190307884688708,,,,,,,,,955232.0633010583,41557
12,1,2462052.5404352644,3.3620075504616067,40.013141023879506,6.60749739084392e-10,5.580361261007006,0.00020962920393086972,0.49183598717554755,0.002718895397809979,-0.000796816855975401,20.47787201668317,0.0004127508849257737,0.004685025101443103,0.00013656951473866788,0.0007183534614429195,0.00011679937737095482,0.00012246977867126424,0.00012089357167156871,0.00012375604514277066,0.0033469027659245015,7.353908425299817,,,,,,,,,41444.71675898945,41557
15,1,2462934.5748526603,2.6081292290136795,66.93024531893955,1.8971422289563462e-07,1.6866465965322097,0.00040478291981697136,1.655711918661839,2.474062163224961e-05,0.00015327069764390985,4.2818814563713765,0.05062123419884424,1.3102414973668168,0.011803428870978966,0.036926619841529014,0.014885385845436753,0.035332097567294204,0.01946921382649337,0.019300902424801588,5.730207755069273e-18,0.13223835059635444,,,,,,,,,41392.680971751615,41557
17,1,2462491.8529766425,2.036678729285589,56.505321845333306,8.459597283401034e-06,3.3039879229590605,8.942091546243707e-06,2.3898254234471623,0.003776512750969756,-0.0024030440101883953,13.688223664564298,0.07711598778630646,10.026891677408045,0.28885873969893633,0.03205002323314392,1.5111957695200007e-05,0.13255112656876203,0.1910094977943669,0.07519097836859123,0.0024030440101771543,0.08874230229132635,,,,,,,,,238235.75811254213,41557
18,1,2462582.4274610984,0.10617024779356223,702.0687182697433,1.95171661834886e-06,2.2957198581887712,0.0009685381694307999,3.1179263588029276,0.011771645359026799,-0.015672561793053878,28.821615451945902,0.009455266972088608,39.37061289255852,0.002970882692866007,5.060529817884822,0.016298287043115558,3.9095927795128214,0.002543693013850714,0.001327558609312546,0.04660342281727008,0.0007144985749454422,,,,,,,,,567014.862895236,41557
20,1,2461561.5977461548,1.6561906353658147,35.17113739246848,0.0006947322525476773,1.3210406387318556,0.0001021560553018927,0.6780238919594614,5.467558995136431e-09,-0.0013118859583237646,1.4931270195340756,4.072444193083352,59.94411754648391,39.66133322257132,54.53258974959767,0.046444689092377936,38.544011641518956,0.12080513888376258,0.14654962478068487,0.0016745527862689577,0.11020443607238242,,,,,,,,,42128.14990304378,41557
25,1,2461841.608324218,0.8755676636469798,159.90371925091378,0.0004050081406975741,0.06729882812603082,0.0002181780411782718,2.2357573973887463,0.006112604504649599,0.0031397706684923995,11.794289755341236,0.1890435142604258,21.80790969712545,136.95595305731197,3451.818529523306,26.0689465077363,895.8830016332683,0.007985750509468726,0.005509277527226535,0.006113005365728812,0.008594430291548522,,,,,,,,,41774.14798769123,41557
26,1,2462548.5962271933,0.4060879149512278,293.3377551202105,4.572349434516421e-09,1.1754804157846659,0.00030186672008594186,2.1609009084125974,0.015577792355502348,-5.601208340792578e-13,0.1839082904676399,0.0001005065806650822,0.028711144238096398,0.00021909242608368596,0.00011489681206972492,2.6244526007342434e-05,0.0002083193501361404,0.0001000915824114849,9.455907028070281e-05,0.015577807905516394,0.004963652040295713,,,,,,,,,42154.58376521635,41557
31,1,2462410.3802245767,3.187227009902282e-12,89.718044993789,3.8556577368337305e-06,0.4837915664321122,0.00015752447160343662,0.11034757629641197,2.0330036567587106e-14,6.228930363800226e-17,2.4144562705281523,0.4906207607054,1.4018178578205411,1.532967566121202e-05,0.007167720827265319,0.00018928858954558688,0.2737854538486359,0.06956071795964791,0.007183561072998575,1.1188991770305906e-08,0.0031822749904006618,,,,,,,,,41726.14808195969,41557
34,1,2462083.970185573,0.004119480256737875,180.82247870164687,0.00010412335003258791,2.0892547903345746,0.00028916116620462734,0.04883263679747543,1.138171640482941e-15,-5.505955403770709e-19,1.3335795308515526,0.2580343564671521,2.4222806092707976,1.0241449436043732,0.036943379489654773,0.0003844775837271851,0.20539563905787325,0.05253838990934525,0.0021785142861704466,1.7706004599006273e-12,0.010531524749269165,,,,,,,,,60720.73578229098,41557
35,1,2463221.2538914345,1.3324867058247167,100.28697339533339,0.00019171655057028343,2.2126660104991176,0.00022194325112382093,0.23332376930441576,0.0005505013104780149,-0.00041599629122422883,19.963073766894418,16.61146534448025,630.8623374207646,11.356250544298437,30.87634623046531,0.0740527907487096,13.196133637504499,0.7282147182268085,0.1944676849177121,1.8181321057428304e-05,0.2634000063081203,,,,,,,,,41648.17624317098,41557
36,1,2461802.7661428866,4.7738228559549984,48.89063209494754,0.0007008801323917317,5.2651637888819085,0.007245887597813383,2.0096739384547573,0.0009371717185561854,3.7157050325360955e-08,15.262267963247282,86.58929444814692,815.4626055437409,38.86035744214331,82.31405551560731,0.047510040549545725,0.4900866510605567,0.5477023487331409,0.6190468564565507,0.02369776360053398,0.5180394803909413,,,,,,,,,42162.073755742014,41557
37,1,2462769.2691641157,1.7094443110915531,146.25182200053598,7.304428852910326e-07,0.7216983558241791,7.196924762155637e-06,1.2980504039297902,0.014786122459834624,0.003633661530282624,5.296932002096193,4.703082051987426,294.0942593413963,14286.359835736954,5356.338861327053,0.27109080405282465,6527.318422650495,0.04411904006973585,0.01553180275942269,0.01772703367435544,0.005618523242297509,,,,,,,,,41446.33044138107,41557
49,1,2463130.9727276987,5.160944364971915,740.006197880804,3.1039450733215066e-06,0.025680627490844567,2.809934363372962e-05,2.900477635522084,0.030465605585636053,-0.06022578564084379,188246.66853658724,424.3467370603282,36909.282997321214,23375.44795948011,9530.612610156211,7321.430568740756,40689.67715958775,1.8563594251197615,5.63596183959409,0.06749295059305686,0.7460581920624169,,,,,,,,,41321.26167564874,41557
51,1,2461561.2336074403,1.7922660731336104,359.2962420578362,7.294546754451771e-07,0.4233644094158599,4.768303634283747e-05,8.517536530970635e-10,7.039627672932501e-41,-0.0033365120202385997,1116.9269603805835,100.31698034421123,15390.72885059121,3.0725004015485324,4439.570909932585,6.6424216048930855,26370.346608869157,0.029762938342483964,0.2344058580268986,0.0033365120202385997,0.23140625859930852,,,,,,,,,1397935.6100793662,41557
52,1,2462019.100463887,0.5230825267160533,2081.0902916513533,5.5966125161312676e-05,0.9201418366051304,0.00015943160569942697,1.1262902469891205,0.010729747687291997,-1.5100666743926822e-41,64.98559783304093,0.13279919462002845,1.0736884284285877,7.077738958292991e-05,4.400821774558245,0.009250930385128232,2.743921959488973,0.0011094989570015847,0.001766142946751851,0.010729747687291999,0.0009243689636127105,,,,,,,,,103840.17968076831,41557
53,1,2463181.5892472886,1.2998364305545909,193.97591334401383,0.0005782915320584347,6.115710541406444,0.000670461376169098,0.11140029203273781,0.006082441345256809,2.636668281593106e-13,581.8681275774414,78.85947919905287,7100.610982493142,369.1416379357833,1947.1355635874488,3.114286118388144,219.42275135272502,1.1877036288298726,0.745050778492056,0.006080198244089049,0.24436210546962275,,,,,,,,,42016.12265980722,41557
57,1,2462924.6641050125,0.10483961793447198,159.97842467399803,0.0009951896205665997,0.864017175251388,0.0031708953258473994,0.8539805927105876,4.571450367624326e-26,3.967680518058653e-32,2.7605656665005984,0.033374392179499085,30.816620588433953,0.04149572210896146,0.07151130103280084,0.0012863855565486589,0.26847349348397737,0.32037089833266374,0.05077606239391335,2.46696235448189e-23,0.4834077663040891,,,,,,,,,420330948.6015684,41557
60,1,2461739.573249847,2.094608152225036,521.5935599587594,9.678096675506916e-06,1.579369122977219,0.0007556757512349705,2.776629196226688,0.03753673517642599,0.013793590808390828,23.760118400403965,1.0515343639024077,220.12126268548317,0.5446512690018704,0.8687053407539571,0.01703354639939682,1.5251339484323085,0.016086522275379347,0.015099796220038323,0.0370730538479619,0.0037279451343521708,,,,,,,,,41567.507517312,41557
