Source,t0,u0,te,piEN,piEE,piE,categories
5000,2462065.8089662385,2.7194372564199734,992.7706614466064,0.0297917425463278,-0.0196316434774339,0.03567841573797456,A
5003,2462397.5812085504,0.1047924480329484,194.92170595592376,0.0333018348201352,0.0191790783679914,0.0384297963751192,A
5004,2463037.091041805,0.1807526301929475,156.66446314806484,0.0022268631794061,-0.0031236082210008,0.0038361240775160585,A
5009,2462823.0723552024,1.7551759145038417,725.1737507012009,0.0201621960134345,-0.0021419780200677,0.020275655795130455,A
5010,2462159.754610449,1.1159256028278814,151.60249543827103,0.0132486809198186,0.0210846403388913,0.024901598429329142,B
5012,2462719.0818162467,2.042694360315193,29.416145483097186,0.00154357836635,-0.0008983054652195,0.0017859414553413999,A
5015,2462615.1033548974,1.8280365455067988,159.0095207375746,0.0029946535102458,-0.0022110260935891,0.0037224435567190764,A
5017,2462526.513858883,0.7128729438003757,116.91510202060871,0.0028409809882111,0.00138146060369,0.003159051499251707,A
5018,2462978.1382639976,2.846636533682536,844.5340073422054,0.0116415471310875,-0.0068952042990295,0.01353031640172123,A
5020,2461976.345166681,2.071915052332426,23.95075683445982,5.571487189853043e-05,-0.0038418802514611,0.0038422842182115413,B
5025,2462723.8640830875,1.0331005108487257,158.31468165781192,0.0030156313949357,0.0013457943647579,0.003302301497794524,A
5026,2463038.4100044128,0.2908449322761877,289.7499468992535,0.0054613370933456,-0.0053815315079157,0.007667273584387216,A
5031,2461687.5339418044,1.6683928570754096,103.38709864115036,0.0013160676254696,0.0014868278204111,0.0019856210520533906,A
5034,2463075.195179135,2.7453757158210244,250.22351055445185,0.0036219090452999,-0.0013380522031264,0.0038611667706428643,A
5035,2462729.946312036,0.9413903223904622,60.81135220835984,0.0009864375270387,-0.0044187239199296,0.004527491587546931,A
5036,2462935.8269022177,2.8329060916705195,154.34461565248054,0.0015458354345961,-0.004091189203662,0.004373492459238203,A
5037,2462866.4394455,2.233848807886314,136.75072567497728,0.0080104799524239,-0.0104342726682457,0.013154536676883927,A
5045,2462347.180992364,1.7663616129511364,706.6818374323263,0.0058957843310077,-0.0088250119308223,0.01061325154968598,A
