Source,t0,u0,te,rho,piEN,piEE,piE
13109,4.582678816565523e-05,426.64052997573515,5.066473061782778,230.74084775072023,173437.32924489488,15369856.253181005,173433.30689823738
13110,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13111,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13112,1.2833283863011332e-07,0.4618387357013651,0.0506372758054238,0.4114986489887898,147664.47687513722,20395.327936715905,134746.1985842455
13113,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13114,1.9285353197096166e-05,1805.4263060384321,78.95396235004073,122.59425880611148,8256304465.475288,3608470.8322007223,3608470.487571258
13115,6.485668382437012e-07,5.287311429300377,2.355624758554281,14876754894680.871,96156.30276397282,14543.712900351953,17951.55966331153
13116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13117,0.0020674019652953523,662419.2819653243,84.68299557715314,94044.56848720898,25509443045467.55,9589750527189196.0,25509430192877.13
13118,2.0181052392498382e-05,454.514327709606,14.06981662760848,17.16323014437637,6922331.383665682,74349.67412967354,87262.78161335672
13119,2.910884580216294e-05,42870.382284026346,4.392509141778195,52956.557624733505,103751.8622300487,104630.7169943336,97652.46636265858
13120,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13121,1.8557669071145868e-08,0.0532445412677871,0.06968627251214853,0.15051691304860135,27590.881302614973,17188.691771552763,15127.346534517663
13122,0.00047701448732135503,1132.083346928668,52.9030750371816,2278.3561713133404,577938265.202964,2638924.658728195,2638897.1638404764
13123,2.3511869036448622e-08,0.014070925214794638,0.01805867603019275,1.42850291159879,1539.7863559347024,147.40552910724094,1517.4926951067475
13124,0.00010952725790123932,7093.789940143967,5.555416164134907,159.1067084946116,296827.6297001122,17951646484634.08,296827.62970011216
13125,4.5669862906818595e-06,13.49656801092192,8.783015963277837,257.60049393384554,1378496.2244668428,11056.342786820072,15309.640957838164
13126,3.55274285500583e-07,1.11465937797964,0.1865178012144725,0.5083649506411012,202745.35974733863,2448199.716368779,202742.93794047902
