Source,t0,u0,te,rho,piEN,piEE,piE
5000,2.072976376874232e-07,0.9999999999999997,0.9999999999238753,0.9999999990655537,0.999999923154022,-0.9999999998960475,0.9999999412676354
5002,4.06095394462065e-06,0.14111922889261877,0.9999993895385552,0.33732972828705426,0.9683079350216964,0.9997952372147024,0.9688114262290682
5004,2.8456760591871784e-06,0.3918326312085887,0.9683892495046554,0.7961628024481027,0.8358147378920424,0.6653545902189548,0.7717387493273431
5006,4.046373261379558e-06,0.8874140367206453,0.9971968877345289,0.9992041121586055,0.84257897237463,0.843762431152269,0.8427778880580512
5007,4.061440738625084e-06,0.9926392971983848,0.9999999997515605,0.9999999966750444,0.9994456218313332,-0.9999997457588,0.9999676651584793
5009,3.7235926606762993e-06,0.9872345775649074,0.9785428635128451,0.99014244214699,0.9979155705795046,-0.989356619075414,0.9956132454155969
5010,4.059634104061095e-06,0.5695233230682204,0.9999951577700441,0.11618020259632235,0.9998664349825983,0.992524927415703,0.24553471939428298
5011,1.8540137108206035e-10,0.006860609820038078,0.0036739805629348466,0.6891629446404794,0.02081727955372043,0.9024471716248167,0.09562542695837353
5018,4.0610496899771845e-06,0.9994089920811586,0.9999999999999998,1.0,0.9999999999999758,-0.9999999999999722,0.9999999999999755
5020,4.06206364965979e-06,0.9999999999999997,0.9999999879570024,0.9999999999999996,0.9995322464869755,0.9999999999999998,0.9996614514645867
5023,7.630620448335879e-10,2.9452058782285492e-05,0.0011559939960090815,0.3336492464186484,0.6772776102147622,0.8332830209654121,0.4238103223394816
5026,1.1019684718558701e-07,0.6306656706091718,0.9999999999994011,0.9999999999999998,0.9999997060231991,0.9999954162964589,0.43981173184279126
5030,1.1489760379214487e-07,0.9955397969719283,0.19333413743994943,1.0,0.9999999312151644,0.9999999999980732,0.7792707082005315
5040,4.059058103669198e-06,0.9987073044639093,0.9999464112370335,0.04984824775552891,0.9813915528765065,0.998524999756838,0.964930946337561
5043,1.9691176130864275e-10,0.003931286043961883,0.0015394511573316502,0.9999993131517279,0.9989015124812878,-0.9981164117038496,0.09813493656000151
5044,4.05363934620294e-06,0.986575918267057,0.9998909425292556,0.15629694212220335,0.9999999998314116,0.9999882484334487,0.9999884284694673
5054,9.822610986922931e-08,0.5993253463750035,0.9999999755918301,0.9999999999999997,0.999990102832371,-0.9999999999999997,0.9999996726930317
5059,3.816406467562307e-06,0.9999999999961784,0.1477976713087059,0.9999999999999997,1.0,-0.9999999999999998,0.44187712719457434
5063,4.061300989267838e-06,0.9999999999947713,0.9999971887479959,0.9999999988678523,0.9999999999999732,-0.999985745243633,0.9999991916980695
5068,4.061281499844691e-06,0.9997767757991773,0.999999959398861,0.9999988801372779,0.9999999991339735,-0.9999997532321657,0.1276292370417782
5069,4.048960996963306e-06,0.991290138464512,0.8509862730770402,0.9676950521846875,0.9999944403107033,0.9999930987640002,0.6139566533759624
5070,4.061805302060588e-06,0.999999995249971,0.9999999999508284,0.9999999999128305,0.9999999999835879,0.9999999999917766,0.20948322786620313
5071,3.99811859968059e-06,0.9999310603945919,0.9999491403946216,0.6950123937004444,0.9859359342164407,0.999999944360803,0.9423177180938054
5072,4.1064159828211957e-07,0.9957527188687318,0.0020486669601402115,1.0,0.9999999999988851,-0.9999999999966824,0.004464989229275841
5074,3.6990631795334603e-06,0.9999999979278843,0.9535847364306279,0.443019131569877,0.9877624961457793,0.895514697748829,0.8958365981377513
5079,4.059659995045459e-06,0.9999999382682272,0.9999999630097497,0.9999931310429101,0.9999999774355295,-0.9991420059272169,0.27612232928597685
5081,4.06010707178628e-06,0.065693734886947,0.8204018556883156,0.9999999999999997,0.9999999999999996,-0.9999999999999998,0.9999999999999996
5086,1.1000698347278138e-08,0.07517888464149068,0.051383368005829204,0.9999999999999998,0.9999999999741848,-1.0,0.9999999999785585
5092,4.0385304526343806e-06,0.9934874316104527,0.9956535799985906,0.9999638153911807,0.9934897645110853,0.9585705551351483,0.9934753889976914
5094,3.834813398238916e-06,0.9273244723860982,0.9414994962923173,0.9973516370141696,0.982513032108708,-0.9843012248781586,0.9841912148581463
5095,4.062496588448193e-06,0.4223767023314254,0.3241777249326117,1.0,0.999999999999999,0.9999999999999996,0.999999999999999
5097,4.060558805215465e-06,0.7786712105755844,0.037784717555813176,0.9999997286641321,0.8795691975740916,-0.28529335563256986,0.7253291593661633
5106,1.1145017528626567e-10,0.003914176395336864,0.0005257245960996338,0.9999999999992559,0.9999999999898715,0.9999999999975987,0.9999999999909049
5108,3.855416943906837e-06,0.9993769488312505,0.9999748649874738,0.9900016596323091,0.999226122223434,-0.9474500322847529,0.9784908031635579
5115,4.044814967969977e-06,0.7381640050968548,0.6129713488927557,0.9582722943909247,0.9794688224294431,0.9818905091842569,0.9809144849680719
5122,4.058454242492579e-06,0.9477122971149853,0.9983357466980133,0.9281033019951649,0.9995791100232976,0.938408314053707,0.49550645228467977
