Source,t0,u0,te,rho,piEN,piEE,piE
5000,0.9994509099416921,0.999038469829501,1.000826273077914,1.0011281410821409,1.0044930422400098,1.0103601947802805,0.9999944097559469
5002,0.9640068035986815,1.6435593566545343,0.9328128099429929,0.5140038083464763,0.9673891510282046,0.9648976362897792,1.0315867936430478
5004,0.10716310430199123,2.32354999076766e-10,1.4667802405662436,30.03129480835382,7.55401302615825e-05,0.00028929266558124596,0.8377797810199741
5006,inf,inf,inf,inf,inf,inf,1.169323832117624
5007,0.9971887273849271,0.9942360115649929,0.9579905238975156,0.987434498316534,1.0002580664455807,0.9689897694880352,1.0000027124244917
5009,0.09140548033585656,0.12662858958861084,3.5824916777930986,2.886459249129946,4.085924801395762,4.089461146953578,0.9918474476408781
5010,0.2328999878059624,1.1081772435588322,1.0584254070859915,0.1312263448495125,1.085500103862719,1.0639444835656293,0.9753972438415722
5011,1.017834385200699,1.0160522347672312,1.0165602375375524,1.0022082657383369,1.0161132664750927,1.0174366053446229,0.42580261758475796
5018,1.0026315363386422,0.9172615766446177,1.005906480346318,1.0013787729818553,0.9934427228935115,0.9615023103502829,0.9317176435704452
5020,0.9955131215205011,1.0118570462326877,0.9901587394766194,1.0742397637662326,1.1379265274705614,1.1488206732704536,1.0003386592603787
5023,0.8241351115808978,0.28237085782840876,0.8200534294513713,1.129343924891716,0.2830480709012022,0.9311245863341958,0.1709868828150836
5026,1.0051344681183019,1.0052620011518245,1.0052809896687573,1.0018532112264713,1.005159466305995,1.004252124998438,1.0001483019852826
5030,1.1268242713002619,0.9877841956681475,1.685502589050352,1.002037294856927,1.0184601144860859,1.022768755319201,1.0000000025829605
5040,inf,inf,inf,inf,inf,inf,0.779119634843383
5043,0.9644427395043302,0.9973759010750594,0.833466670513424,0.2620574966777679,0.9951552411146677,0.9976676319827811,0.9506416578139388
5044,0.02489770977642173,0.0,1.5755125192902275,0.00012087511613271545,,,0.9997093390544852
5054,0.9581416153741372,0.958871736590971,0.9586015535729047,0.964044250901843,0.9580977524085601,0.9597144855049763,1.0000003263685615
5059,1.0362044715041372,0.8754986976248089,1.7333207403820134,1.0252422708294584,0.9967457325449812,0.9936764350830737,1.0
5063,0.12808087339663335,0.0018964184474466058,0.01211943163699642,2.962470095862817,0.6927903696553093,2.2628520216537016,1.000000808269687
5068,0.0028232684592974684,0.9877366608696201,0.06974594855561854,0.36669552526493865,0.985844663219362,0.9521782464181859,7.835195173793195
5069,5.1212618026855266,5.744980671227909,0.12299645684378999,0.03477603693678379,0.10441140325048252,0.10337080760759508,1.6152065433784109
5070,0.9926198709209848,0.9935203451720064,0.9912579509780162,0.9982882700006196,0.9997569001606195,0.9961070512088649,1.0000000004168952
5071,0.0,,0.0,0.0,,,0.9978691819077572
5072,0.03228337906377165,0.0001573640491652019,0.09253824175417512,0.8580367942164187,0.5493693677293122,0.5841775596252761,223.96470547415842
5074,0.0028148116307999765,16825874896182.543,0.23940475575355372,0.029777149263186014,0.24386138515798775,0.25895538087585007,0.7647591836506596
5079,1.0135791417374067,0.9972095724349749,1.0004847283609801,1.0011030533705907,1.0025086395509826,0.9978254753690001,3.6214446178735575
5081,0.1931510305683881,0.22709433727653372,1.5091593314152958,1.5458505949680872,1.1854967513964776,1.1027149676440149,0.9292865049497536
5086,1.0041563307257806,1.0041222175645557,1.0038922614582377,0.9997118514466873,1.0040912082754974,1.0042248498004254,0.9999999997005427
5092,inf,inf,inf,inf,inf,inf,0.7938039893773786
5094,0.3123385128837424,0.017152976404640863,7.19885311448361,40.634459492512676,8.005373041958721,8.04849789319337,1.0099401286809637
5095,1.228626291374072,0.9821282788306892,1.29531992401072,1.3907875843916775,1.2562602836905383,1.1205827311694294,0.9987507819550144
