Source,t0,u0,te,piEN,piEE,t0_err,u0_err,te_err,piEN_err,piEE_err,chi2,dof,cov_piEE_piEN,piE,piE_err
23165,2462940.955221443,0.16329325401652062,452.5134436126904,0.008840489591674477,-0.002059924952013353,0.03851178689858437,0.0021405609454767057,3.9874382750634743,0.0005670786689570013,0.00021846142907603296,41907.051373481234,41557,-6.033595139240797e-08,0.009077309459770113,0.0005545046476577336
23167,2462388.014940253,2.345049023608041,361.64707825381106,0.029240310689747393,0.03273472924702493,31.359233279963714,25.69781029827819,3224.0979169509474,0.2041739181057496,0.28998482176610757,41270.07275927964,41557,0.05918201902932635,0.04389257645785885,0.25548472915303566
23170,2463128.579061961,0.0754161841568073,148.00128633752453,0.028642717118103397,-6.93042782408619e-16,426.37816603084855,3.3041674247794934,288.5813156352556,0.424920980100851,0.060478733428852786,41519.48632222714,41557,-0.023030976098046076,0.028642717118103397,0.42492098010085105
23172,2462937.764125761,0.9222393309031833,383.37184720887774,0.008336080430481355,-0.015290064493313557,1.5758837289082928,0.07984076227097497,22.69582995494023,0.0015175365720514573,0.002353371177852591,41781.235721340956,41557,3.027043599423073e-06,0.01741483014999406,0.002190208693596653
23174,2462064.8766607586,1.5009253149950519,178.37893925498926,0.0034656107268035996,-0.001064712123283297,1.1884181817413488,0.21536398706792825,16.479052497562357,0.005376826955576458,0.003804724732875405,41421.15038670901,41557,1.8136507461666998e-05,0.003625475088206041,0.005259788671086347
23176,2463226.5075897337,1.0978627620498986,1119.4392155594885,0.0011455027573527227,-2.80775152064905e-41,72.77323825047777,0.1946383651718271,14.540053884047511,0.002910109401975305,0.006901245010339261,41789.04418118243,41557,1.8126954427355317e-05,0.0011455027573527227,0.002910109401975305
23178,2462278.010129632,3.1871035272270123,306.1661919993406,0.0148109888480741,7.748221066218381e-43,86.39758713864953,0.04329595781052037,98.06792655491023,0.02655925300506848,0.012755412567800122,41251.643023391945,41557,-4.8915927298537966e-05,0.0148109888480741,0.02655925300506848
23181,2462488.8910017405,1.6019072547282376,37.76701755137714,2.5817326247154265e-18,-3.0757795839247907e-21,465.1263485702929,99.13832404904825,1572.279019220804,2.393868123704302,0.3810726911171652,41926.37001829024,41557,-0.19623284053129048,2.5817344568990926e-18,2.3938664678940262
23184,2462148.4003501325,0.6010591433692888,185.3119132066539,0.0039271604377597155,0.005300502186485999,12.483262546324031,0.49903773361896997,46.41003028268785,0.03791149024821962,0.0066614377053723145,41387.89003701422,41557,0.00015046072851157877,0.006596810784981477,0.023195164734138865
23185,2462329.6738149207,2.316771157349834,1351.733955738685,0.0014797716622340128,1.2199503281262376e-05,201.70536986528944,11.990755777135625,920.8221170524843,0.012157897353908806,0.007651330741471338,41323.73614681225,41557,-2.289613378921577e-05,0.001479821948827332,0.012157647840032459
23186,2461981.8725661626,0.9408295130029692,627.8604668960633,0.017023854472253127,0.008791372101959813,32.62565631077313,1.0064137637945674,456.6287196629891,0.011190937608704623,0.012204144261973325,41881.71130765739,41557,0.00013603207460439123,0.019159849804410527,0.011411733989964187
23187,2463102.3832991146,2.809550217234099,200.03913324501653,0.00019519848594256708,4.580724466865236e-42,298.92862931234424,86.55826510725822,5105.657653272177,0.07814402274986532,0.12646648844005162,41466.41458070712,41557,0.009534579007158263,0.00019519848594256708,0.07814402274986532
23188,2461828.3257749556,0.7114930117050977,148.2219931779505,0.0028098075425687565,0.00164835717052894,0.20160808249653497,0.07552030420914972,9.483772049790852,0.0073668841787624525,0.0029270109326789,41819.463690503864,41557,-1.74483714642261e-05,0.0032576217993975985,0.006524508456105011
23190,2462458.813313996,0.0013977934730320968,32.20674178859375,8.578633842119665e-38,0.0037730781317293995,145.38311446272039,1819.7724438672421,135.15508105500282,2.1183895349145745,0.5823870440403645,41750.38769914834,41557,0.13760813215563888,0.0037730781317293995,0.5823870440403645
23191,2461939.5658356957,1.8470983782536095,1475.5696446059987,0.00023033159028041617,-7.930379260390466e-12,38.68241141601572,0.2513427211593517,60.3207830038828,0.0005891952144696627,0.002977874523305879,41313.99157943895,41557,-5.224359047154495e-07,0.0002303315902804163,0.0005891952144696712
23192,2462494.5117631573,0.0012375307786609284,29.62481075438516,3.230816647831872e-09,0.026233816558822398,406.2845510361093,1178.7807536334644,232.2399107901541,7.169728805201013,2.0343746801171334,41418.85575395853,41557,2.723368778944716,0.026233816558822596,2.0343746801173097
23196,2461867.6897687116,1.1498422040479552,351.44207524048187,0.003628758394716024,0.004288333098611673,2.692723280782096,0.2884483205781496,57.7984534051438,0.0015459985478817066,0.0038374722196602437,41331.89016865424,41557,5.7269813878456005e-06,0.0056176230072754445,0.003094962069925765
23198,2461770.5459259218,1.7184234790240964,162.11029098052634,0.0028187287706403765,-5.458947409392181e-05,1.8765180667670478,1.114725643429943,82.1667200461146,0.004616764328907326,0.012262856069116094,41152.99967472369,41557,4.19067531764844e-05,0.002819257330063657,0.004622001980217786
23199,2463265.6796205305,5.377736788677707,67.62638870233329,0.01917018634453348,1.181407643245633e-06,2904.7511609788926,33.94680554415184,289.4993370457133,14.692874472938216,10.58395947360296,41254.62302569941,41557,153.38603321725017,0.01917018638093699,14.692874459514895
23200,2462481.0798540134,0.7008090491918719,1151.64371116319,0.005869216938970119,0.006585376972605015,22.14292630139547,0.05063914069429906,0.22577684457248182,0.0012411659916224545,0.0027611418735170594,41314.69012290961,41557,-2.0633404295995916e-06,0.00882127526767021,0.0022205522481626634
23201,2461633.8276280994,2.575625819374724,144.51153179950947,0.0008767635066328261,-0.005087754305666105,8.089654144337677,14.202768848394692,659.1241524774373,0.015531756280957409,0.04290833804398475,41589.91557901114,41557,-0.00048467742753942095,0.005162747148697782,0.042367249137739815
23204,2462006.100215356,0.6820432442353184,286.4226657898433,0.002691164731340901,-0.0005743981256544,0.1620334972140143,0.0013774339064695257,0.29589728481308947,0.00020481977059615898,0.00011839655159696179,41916.063872390965,41557,2.2927168254433055e-08,0.0027517813899306082,0.00020182678383740284
23205,2462670.6976765874,1.7570751986826132,198.26934050903043,0.005324220806006627,-1.739983853825042e-14,0.7238372953240148,0.3277563401649224,28.763488579011327,0.0016656603896591246,0.0034273734725481352,41992.09617077759,41557,-4.605874507364154e-06,0.005324220806006627,0.0016656603896591244
