u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,theta_E,theta_s
19.498,17.088,16.214,15.929,15.798,15.72,15.7668,10.855583215614098,7302,4569,4.569478,2462246.6274222354,6.957376494218548,0.05484454456826293,0.07943027238677952,-0.00014048276660200945,0.0009305972811967229,87.0405991185456,6.913658496694558
18.933,16.879,16.082,15.819,15.698,15.626,15.6918,11.019278534282678,7536,7021,1.020994,2461839.059642307,9.741766451196247,2.7542036182505765,0.24971129303694278,0.00010260237453028776,0.0003423920312943117,27.231444479322818,6.799999212195418
19.91,17.388,16.462,16.148,15.998,15.909,15.9138,10.993934896932338,6469,4047,6.211643,2462649.870095109,5.018776941756793,1.4113919858846966,0.09259732568453007,0.0005910016735529766,0.0009086024705824409,85.35208941498972,7.903375221414934
18.836,16.43,15.558,15.274,15.143,15.066,15.1138,10.868088364819378,7879,7078,10.31858,2463102.5902111554,0.33860741276505874,0.9079252482744258,0.6705829071738718,-0.0013275105918509281,0.0007015775886568056,9.565907398245804,6.414733992871719
19.046,16.9,16.081,15.811,15.687,15.614,15.6728,11.712595928379962,3696,2561,6.824382,2461583.979228684,1.9145898713476546,2.864605738108716,0.4119731653571263,-0.0029393747676943333,0.001611227782351186,35.77246449119028,14.737295429061062
19.115,17.013,16.207,15.942,15.821,15.749,15.8148,10.905690311087032,6924,4764,5.598336,2462146.4976714873,4.891989784049441,1.6669111234771816,0.09768736964251618,0.0004230341909315052,0.0007640158752321407,74.98152640568435,7.324748086352174
19.173,16.944,16.054,15.74,15.586,15.494,15.4868,14.114099048750234,5631,2566,6.686511,2461570.4367770865,4.946892439022461,0.9193479035416987,0.12871300168346222,0.002190641069399829,0.0008291932345564861,90.56112446089122,11.656394165190925
19.948,17.402,16.467,16.15,15.997,15.907,15.9068,11.618582894233144,6920,5887,6.661867,2463245.698546149,1.0263527389906881,0.00768719373818616,0.41710104571004375,0.0008627864226856443,0.0010442359456484009,18.719850628998437,7.808069272891069
20.289,17.772,16.848,16.536,16.386,16.298,16.3048,11.006599421123113,7835,7269,7.739164,2462930.6698130807,0.6390591450451744,1.7733608946630806,0.48246506527295424,0.0003851925203707555,0.0006247303492767759,13.540817328417225,6.532971316203966
20.263,17.707,16.769,16.449,16.295,16.204,16.1998,11.699119063383195,7870,4440,2.348451,2461536.1865286953,1.942745754586224,0.5502264133749566,0.5534364675711047,-0.007792863415258474,0.001012086768558588,12.491288734028123,6.91313471237126
20.153,17.514,16.545,16.208,16.043,15.945,15.9198,13.52549477204029,7968,4571,6.188178,2461887.451119047,3.471376036379822,2.9942887656033386,0.13422276861462043,7.597281710963848e-05,0.0015840242517407234,58.81312202067848,7.894060068484965
19.979,17.534,16.648,16.357,16.221,16.141,16.1788,11.957851639996903,7834,6465,5.244157,2462171.774649636,2.457714245874567,0.5581413510376582,0.20116357150679223,-0.0006804816989099905,0.00035173307128819455,35.287171434641564,7.098493434164954
18.776,16.451,15.282,14.757,14.477,14.313,14.1078,39.05288844545005,7900,7597,0.6388929,2462090.2072431757,3.28201231355971,0.649403603210202,4.004466063509661,0.0001202468737369749,0.0008711582911433708,5.740874373294654,22.98913660273074
20.224,17.801,16.921,16.633,16.499,16.42,16.4618,10.96864954833038,5374,3633,2.915574,2463238.7556479084,7.672852172198728,0.0024052937970964194,0.154974917908011,-0.0004034452523126428,0.001398931171612585,61.24782559645759,9.491876743855189
19.989,17.419,16.487,16.174,16.024,15.936,15.9408,14.31044572494311,7871,7799,5.361101,2462957.5096086645,0.415483495004429,0.9299448666626956,1.3864438927043687,-0.00015719315978003398,0.00011081960399074759,6.098422944700176,8.455121246807751
19.578,17.519,16.727,16.468,16.351,16.281,16.3538,11.13404983567705,7812,6516,9.048739,2462642.4745070473,1.2449021646149456,1.825482437901881,0.21490892827293326,-0.0002525841836688029,0.0007859311302114719,30.841327222821842,6.628076579971483
20.309,17.895,17.018,16.732,16.599,16.522,16.5668,10.905690311087032,7865,5347,15.62353,2462191.271813261,1.2856070478889254,2.575101001443429,0.1172610664220536,0.0003293941507554624,0.0010377828358458115,54.99170508118841,6.448385982187216
20.238,17.835,16.964,16.682,16.551,16.474,16.5238,11.044680594750892,7358,3321,2.919784,2462789.961758816,2.868021154133621,2.4600264364577904,0.3044718307668965,-0.007204553770484938,0.00013843009664691325,22.926768726901795,6.9805552478490185
20.237,17.834,16.964,16.681,16.55,16.474,16.5238,11.05740357572932,3010,2662,1.20061,2462697.936351709,17.15127865805103,2.5631823912804452,0.30302260115218005,0.00028777438104665986,0.0007145963322880912,56.37781429060273,17.083751933612987
20.32,17.792,16.875,16.57,16.424,16.339,16.3548,13.478859949928683,7548,3193,3.776335,2462200.2737806574,10.17267596718,2.4374210983666456,0.07895913109770081,0.001704622842609225,0.00021456702940044744,105.17572155652479,8.304583586676918
20.669,18.249,17.369,17.081,16.947,16.868,16.9098,10.731320382101227,6732,3219,7.598486,2462052.7662180937,2.5722979772584815,2.0006738923500254,0.13853117747956464,-0.0023447822794950427,0.0019181213861460674,53.51285466947814,7.413198767655626
20.877,18.281,17.329,17.003,16.844,16.751,16.7378,12.66639889478409,5540,1823,4.136684,2463331.052543969,15.579619220382185,2.636161956068719,0.06025887600052119,-0.0020851929247536886,5.1208788511511214e-05,176.4489022725461,10.632612522469437
16.136,12.731,11.484,10.92,10.625,10.451,10.2358,40.705506294844895,7693,6870,8.648997,2463138.182663917,0.4229939435693831,2.8169974777784335,2.4566560069507335,-0.0011858732260080053,0.001005334607738581,10.016354138123924,24.606736561167974
16.933,14.365,13.435,13.125,12.976,12.889,12.8988,13.93648208521596,7410,6537,2.080309,2462592.8420247184,5.590225695799646,2.2670211359338284,0.2747037440948065,-0.000563428380818236,5.43585408517495e-05,31.839553256682454,8.74644448991666
17.741,14.594,13.448,12.993,12.756,12.617,12.4738,27.488634126337303,7864,2279,6.208723,2462581.190762866,6.547128798116482,0.030149031110861757,0.14606403807090476,-0.00137803587989844,0.0024375266180721683,111.2917430604467,16.25572139535844
17.866,15.44,14.562,14.277,14.145,14.068,14.1148,11.159716471319475,7769,4733,3.922148,2462614.321787024,7.210446488809796,2.203087785264852,0.08627574530497263,-0.001046360081872975,0.00020556322881426492,77.42762019217622,6.680125639270352
18.516,15.963,15.024,14.706,14.553,14.462,14.4608,11.314963591863972,7162,3012,12.62539,2462710.485025467,2.2467429058414137,0.9346401759135103,0.09460355980482284,-0.0024639270563565096,0.000255528109687517,77.66189025593738,7.34709127938316
18.883,16.241,15.273,14.939,14.776,14.679,14.6578,13.248086676911182,7898,4668,4.411368,2462692.432154724,6.203731517294479,1.2790853044088124,0.10411098720163882,0.0006904776795685996,0.0009436398033209678,74.92660560159976,7.800682876850392
18.947,16.242,15.25,14.902,14.729,14.628,14.5898,14.459496179950229,7992,7343,11.40553,2462672.6281183613,0.6258337859229708,1.150442034259059,0.4305365489878942,0.00034770086422775153,0.0004464692029555297,19.5426858873594,8.413840539898139
18.444,16.18,15.329,15.05,14.922,14.845,14.8958,11.699119063383195,7675,6122,8.132166,2462416.2406593203,0.5770664723777045,2.805886608678092,0.5517337042948444,-0.0025646351711983914,0.00020119437700549662,12.848187122272162,7.088777874444537
18.325,16.268,15.475,15.214,15.096,15.026,15.0968,10.893141895951931,7631,7466,5.036509,2462460.119711891,0.7022510167609419,2.562084633463445,0.6855458911279372,-2.619099695439018e-05,0.0002979277924394763,9.683486834156426,6.638474610947414
19.069,16.619,15.729,15.438,15.302,15.222,15.2588,10.99393489693232,6695,6371,4.467704,2462957.9207374034,2.192272999638734,1.563500005105046,0.28478057883051844,-0.0002738466698311483,7.244962316273521e-05,26.81567925962484,7.63658466128949
18.834,16.692,15.805,15.496,15.347,15.258,15.2608,11.301944254587829,7338,3655,4.25955,2463153.0798306805,7.271290464328504,0.45776439161133053,0.08446699718559138,0.0008921934716600805,0.001351449978949218,84.79787897968646,7.162622205121295
19.002,16.579,15.701,15.416,15.284,15.207,15.2538,10.968649548330385,7629,1258,5.73993,2462802.274628875,14.362183913602994,0.24465686561753686,0.02962410798015546,0.001660052314482544,0.002427921240547904,225.70275239208004,6.68624270828127
18.458,16.039,14.534,12.934,12.046,11.428,10.8578,128.57400166874478,7904,7524,6.736231,2462761.7771197376,1.174962089957031,1.9852708790815365,3.4910190539191386,5.354382690494816e-05,0.00028997250401019035,21.669585363979028,75.64893539617808
18.69,16.549,15.726,15.454,15.329,15.254,15.3098,10.99393489693232,7995,7863,7.808706,2463288.5870849336,0.5390465962656156,1.2895215526768884,0.5549017938584986,0.0001678320591403183,7.092107856183017e-05,11.524315922077728,6.394863578152988
19.102,16.679,15.801,15.516,15.384,15.307,15.3538,10.968649548330385,7772,2333,4.228965,2462435.462427524,12.741760031568335,2.613158921621665,0.0444880809563197,0.0013295750267340535,0.0015383360569772848,147.5276035917902,6.563219971883404
18.703,15.554,14.418,13.976,13.746,13.612,13.4778,29.79567035921871,7737,7574,6.801561,2461910.2887283606,0.6740563869307986,1.8609546303031788,1.4267982052695265,-0.0002188096493289143,3.507288401669837e-05,12.552048276932046,17.909239953983096
19.303,16.581,15.584,15.233,15.058,14.956,14.9138,15.01941996125403,7770,7677,5.861357,2462397.540227824,0.39343178130770323,2.9975817910879035,1.423807724837934,0.0001191586626289647,0.00021628919046034638,6.313604723861398,8.98935917740713
18.71,16.537,15.702,15.424,15.295,15.218,15.2658,12.420902732732849,7987,6588,4.061437,2462940.101607764,3.239689815121979,2.078841284870788,0.20075812959227526,0.00013008610033856513,0.0007264982752356198,36.02408236457102,7.232127395789347
19.09,16.802,15.951,15.674,15.547,15.472,15.5278,10.981284944923814,7668,7428,5.434123,2463103.3628112,0.07101060452446963,0.13817525473646952,6.303840242649126,-0.0012346429883927288,0.003792453621888965,1.056482845421833,6.659899076638606
18.914,16.518,15.646,15.362,15.23,15.153,15.2018,10.930830523657926,7306,6279,4.815134,2463052.3118267525,3.5216312047402694,2.300760711055199,0.14986770537448244,0.00019910870732721983,0.000439186072182561,46.4260811756491,6.957770255323985
19.168,16.66,15.75,15.448,15.305,15.221,15.2438,12.901884831885267,7541,5021,7.077513,2462317.178757242,4.122495070803179,0.5669264160342862,0.09960249448473987,-0.0008166395333253165,0.000165115226608311,79.88230651894708,7.956476994481726
18.48,15.605,14.533,14.119,13.904,13.778,13.6698,27.457004877507124,7839,2361,12.0888,2462844.580820274,4.836680275566246,1.2191239245112913,0.10175335557098139,-0.0003242163892372944,0.001820301529794611,160.0812060650657,16.28879988097017
