u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,s,q,alpha
30.802,28.0,26.74,25.796,25.329,25.122,25.0748,0.2806423193277209,7835,3924,13.20024,2461868.522311206,165.28727377077837,2.922324991362033,2.788558321829589e-05,-0.0161396782080468,0.0138928436105094,0.7391940071599324,0.6396616673400091,2.308956600038912
20.144,19.121,19.006,19.051,19.129,19.156,19.6718,1.5351582853585075,7887,7605,9.244699,2461804.08152392,18.693468432662048,2.448076663204953,0.0019131343593285,-0.0040574699553649,0.0090706397031271,6.828752628795602,0.9468701163311856,2.515102651641965
30.524,27.729,26.47,25.506,25.028,24.816,24.7688,0.2945460214098367,7899,7385,8.420053,2462803.0712010143,115.57790835170078,0.9625011540993744,6.508459506272027e-05,0.003132631922376,0.0010598173019306,0.2451744914841839,0.4493623633609919,1.5570717530398892
27.813,24.514,23.111,21.49,20.702,20.353,20.2298,0.3569876244564643,7378,3380,9.841475,2462790.255866061,331.1055406348582,0.9978560830822392,2.5221719075206475e-05,0.0176618830488954,0.0033140859579805,0.7672142699747324,0.7442750027644113,0.0757078772696591
24.613,22.075,20.904,20.028,19.601,19.394,19.3698,0.3691077473438424,4787,3953,5.150851,2462459.818149983,400.3566878020469,2.171117090446724,6.351122282146733e-05,0.0036288362484278,0.0069114677031072,0.1371964950072104,0.0312345613347891,2.750261780072193
29.717,26.632,25.236,23.181,22.108,21.578,21.3658,0.2466909178647102,6694,1672,8.879237,2463060.798772688,385.190213978476,1.1791794358912375,1.830220331883377e-05,0.0110742433731049,0.046620241939994,1.6428563545516657,0.4459299953332835,0.6778085005519305
13.546,12.875,13.161,13.418,13.59,13.655,14.3738,1.9982653642918724,7916,5084,7.717345,2463307.765357257,184.4127446782068,2.5305125389537,0.0003012834973091,0.0172028656684195,0.0054971204533931,1.3999289815886262,0.8432753413379357,1.3115692127086105
27.974,24.992,23.672,22.447,21.846,21.584,21.5148,0.303496132291995,7952,7445,7.830667,2461759.512788361,73.30101384554231,1.787595058365606,0.0001129418423753,0.0036654112605626,0.0040324530566625,0.9666263435434476,0.916390201676544,1.461178603977997
30.273,26.842,25.419,23.64,22.777,22.389,22.2408,0.2848742277366738,7190,4051,8.09609,2462593.249897041,179.19583069479896,0.973190592348254,4.638823602820749e-05,-0.0221309304094852,0.015696673174391,0.8585091290086286,0.2847904178409177,0.9239336443846514
25.315,22.836,21.692,20.959,20.597,20.411,20.3728,0.434663488144918,7685,7563,6.447042,2462703.7204547194,53.58544728627631,0.2936521389308564,0.0002780921599422,0.0004228166549741,0.0021785918618139,0.583531940290673,0.6459803089521345,0.3388834188532152
28.874,25.613,24.214,22.642,21.877,21.538,21.4198,0.3794487800342181,7935,7475,13.90177,2462722.0874699824,36.33508252793233,1.678654115472956,0.0001608039807995,0.0003390731721859,0.0055975546896664,2.7001490495764244,0.6587532009565595,1.1334327882460349
30.084,26.773,25.365,23.732,22.938,22.586,22.4588,0.3541222058991058,7888,7123,7.194851,2462495.2375108204,100.19042465721336,1.455121925019899,0.0001057852344789,-0.0066119679834894,0.0019685966482769,1.138337374033972,0.9725037400341032,2.436574381778118
29.174,26.014,24.639,23.189,22.48,22.169,22.0688,0.4541017346220355,7296,3859,6.646304,2461948.2886363785,433.9878909067237,1.0266966614320512,3.665197127522529e-05,-0.0008966479486366,0.0154319384920047,0.638612325369824,0.7357933653921835,2.82074930825377
29.192,25.96,24.568,23.026,22.273,21.94,21.8258,0.4237923968353893,7988,6604,7.126298,2462546.478718503,220.6008234374949,1.2803552466124049,5.732325091481679e-05,-0.0060903713979216,0.00025024946118,0.7383648657397825,0.3190969609086573,2.9933781214072805
29.513,26.326,24.944,23.461,22.736,22.418,22.3128,0.4296879363400379,7503,7046,5.366383,2462455.857335053,149.25661397906097,1.5299579999797608,0.0001214478358208,0.0025001852455956,0.0030476582576485,0.6825855638188899,0.0975169019351094,2.090472252408102
30.573,27.249,25.839,24.19,23.389,23.033,22.9028,0.3500686025283024,7780,7144,6.73751,2463141.72662132,107.328209368277,2.44709861756617,0.0001056932063981,-0.0055652362202712,0.0015602120260874,1.181343309888745,0.1747007692054273,0.8753322011225327
30.308,26.951,25.536,23.847,23.026,22.659,22.5238,0.3289676260926328,7968,7744,12.2272,2462093.611658629,19.60712485634517,0.8520230897952585,0.000292516063931,-0.0005587254802639,0.0055024382115352,3.259310926831912,0.6383467746967589,0.3153773386213397
29.403,26.425,25.105,23.889,23.291,23.031,22.9618,0.2962464541483473,7889,6621,6.663352,2461801.9292964824,163.8303789865904,2.87081594207093,5.842931956480363e-05,0.0078035546958547,0.0022529086754757,1.0052111770293466,0.7946433534037083,1.881345636835075
26.404,23.882,22.716,21.861,21.443,21.238,21.2098,0.3959616824074619,7712,4452,5.404492,2462428.629755608,518.9018481812398,1.4426153012688037,3.109802870098333e-05,0.0013476203475341,0.012292817481114,0.6835915917881386,0.0091003299936474,1.6369997275774548
29.696,26.799,25.508,24.45,23.929,23.701,23.6468,0.2299604558441284,7882,7797,9.320452,2461841.312438777,44.39177048100856,1.0878295143806656,0.0001197744280505,0.0012159894064281,0.0001101937644909,0.7809194744723061,0.8748069976778182,0.6564386540363357
24.514,22.138,21.156,20.803,20.64,20.534,20.5358,0.6355550309352371,7894,4740,7.836447,2461643.8819511607,187.31008346192905,1.913671307893532,9.316708266355167e-05,0.0118811022279288,0.0172851996376397,1.3768694465380626,0.3227381470979569,1.829845598321999
25.919,23.439,22.296,21.579,21.224,21.04,20.9988,0.4577761484702464,7001,3518,2.893749,2462021.220910508,1357.0691834613835,0.7863321933838904,2.828245157930992e-05,0.0084550633901135,0.0100753862023608,0.2522804746856659,0.3396853980468267,0.907873183588806
25.104,22.631,21.539,21.013,20.749,20.6,20.5578,0.5541829509220096,7555,4260,4.689011,2462018.956390066,543.8301337271985,0.7450003008137854,4.886084667643863e-05,0.011491172007374,0.0091099078540941,0.7935801054239198,0.2652059356137085,2.3009538896475994
29.544,26.41,25.041,23.623,22.929,22.625,22.5288,0.4787989186140158,7976,4499,4.172219,2463233.5666397023,587.9464170584382,0.7469003713120048,4.156712494233619e-05,-0.0132383479846332,0.0057355764495281,0.383082253306472,0.2089440395865412,0.1459601425516749
27.821,25.089,23.851,22.929,22.473,22.267,22.2248,0.3203709734676507,7970,6434,4.076929,2462877.444816649,161.6521638348796,1.9715051417952885,0.0001036017245684,0.0035150772687598,0.0162243252341081,1.6360833620094304,0.1385492364919526,0.9897706983448632
29.749,26.747,25.42,24.172,23.559,23.292,23.2188,0.321479408707195,7824,7672,8.697234,2463163.57006212,30.33018572676777,0.2472046967766243,0.000264578719545,0.0027590046117405,0.0021636839521573,3.49203963487892,0.9611124474127172,0.9017812587184711
29.178,26.242,24.938,23.8,23.24,22.996,22.9338,0.2708028064756135,7480,7163,7.168976,2462418.853883672,69.57665644419383,2.283722640375202,0.0001232871172534,2.7036124818025875e-06,0.0043324361623187,1.0326847776874002,0.3948595309153533,1.6579433684061582
30.373,27.075,25.669,24.049,23.26,22.909,22.7838,0.3755373703549232,7540,6934,10.22937,2462843.479705828,105.07300725396878,0.6808842624300607,7.870975874311023e-05,0.0039372340805305,0.0001122347124647,0.931554092660092,0.2776810701933671,0.5219363039730346
29.999,27.061,25.755,24.592,24.019,23.77,23.7068,0.2583171026410173,7649,6901,5.218974,2462385.4192100936,201.5415475766689,2.176491607937522,5.453629039426557e-05,-0.0049177795602447,0.0001690208741038,0.4316299614438791,0.3528140235971961,1.260495236605803
30.138,27.228,25.932,24.857,24.328,24.097,24.0408,0.2218978840047314,7447,4552,5.005515,2463171.269316565,283.77135192118584,2.759678498306997,3.56320908136659e-05,-0.0009003281767202,0.0219418161886922,0.6490565809388856,0.8659470453409017,1.4792937065356733
25.246,22.82,21.789,21.385,21.192,21.073,21.0508,0.5945017821698437,7495,5876,5.419198,2461585.7400902305,310.63912466807966,1.819936789258353,8.003448722836951e-05,0.007305762906364,0.0032007111881576,0.918522962855075,0.9795782577086304,1.4735634490485725
32.206,28.884,27.464,25.521,24.549,24.09,23.9088,0.2652486369634331,4330,1530,8.238204,2463174.962224121,346.66592939595563,1.7629181455633536,3.643412780558053e-05,0.0531948947276783,0.0095970282749525,0.2252856191228524,0.1530532060225872,2.39667515834538
30.775,27.591,26.21,24.732,24.01,23.693,23.5878,0.4351642011573258,7503,4938,10.30151,2463235.148816289,102.1992654668941,2.719534053128969,9.357425270185248e-05,-0.0233365829200995,0.0056819289843736,1.2280861345421812,0.6634605105257814,1.9524021654421535
32.057,28.724,27.311,25.652,24.845,24.486,24.3548,0.3278333720796104,7559,4279,1.803055,2463300.832067522,311.8090866622379,0.0077346042712352,0.0001310321568456,0.0047611895110457,0.0657086560844157,2.062923704506736,0.4803137550897367,0.5957844817079908
17.725,16.701,16.728,16.845,16.957,16.985,17.5668,1.675533675473786,7961,7625,3.601275,2461972.9563911646,140.47199910571217,1.459600058698573,0.0007066857005124,0.003803852547715,0.0012257389038389,1.4911070433717395,0.8269115160338804,1.95897816671886
31.476,28.139,26.727,25.064,24.256,23.896,23.7638,0.3218497386924626,7913,6573,7.918591,2462453.119867969,174.05008394486433,2.2827269050522365,5.012757113972973e-05,-0.002213143583556,0.0064589564610822,1.0092850694749171,0.8513077825176777,2.039760035005592
13.832,13.812,14.208,14.531,14.772,14.916,15.6938,3.304860716630585,7773,4367,11.23882,2461994.312633522,142.411599594593,0.3614143312682872,0.0004512167664125,0.0122653668450928,0.0193359167559914,1.353534808190115,0.344094929198547,0.785477587296816
23.604,21.493,20.685,20.427,20.32,20.25,20.3538,0.750158718105134,7596,6340,17.25861,2462414.5367103857,91.6907856110213,1.422631146405533,0.0001060043071955,0.0011003007517507,0.0059182774856865,0.2571650212745189,0.7435452034616736,1.9937849231676503
28.315,25.809,24.649,23.81,23.4,23.197,23.1678,0.3959616824074616,7919,7520,8.51363,2462803.8851482314,30.38935209312892,1.6542407962598753,0.0003282716824113,0.0069420723219195,0.0064247672345037,1.6664415676410775,0.087601820929233,3.0275718804984475
