u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
31.754,28.307,26.88,24.963,24.022,23.589,23.4178,0.2421883011753912,7911,6522,11.08028,2462017.9079446974,0.3835765924517735,1.7309545004148346,0.0122350503338182,2.0823699087183187,1.0080743562140506
25.939,23.382,22.205,21.318,20.884,20.675,20.6458,0.3678350934093645,7593,7313,5.973732,2463219.421725153,1.1840414516997793,0.3901176469914941,0.0116335948559638,0.2110645261544048,0.1524973716814658
29.832,26.573,25.175,23.605,22.841,22.503,22.3858,0.3578105659216998,7721,7071,8.208267,2462102.269095874,0.1110794299292531,1.5345753885829063,0.0863338895328646,-3.84216706912344,2.8257676553209428
30.323,26.993,25.582,23.925,23.12,22.762,22.6308,0.3297259747906977,7784,6510,6.41843,2461616.033429587,1.8758779775059944,2.590384183217614,0.0059759059731155,0.3447873649780292,0.6802960258158293
31.687,28.393,26.982,24.942,23.897,23.393,23.1888,0.2336970126635446,7232,4658,7.201239,2462092.604470374,3.857195054708901,0.8414267193526593,0.00197607185772,-0.8729019041040117,0.4975776708840662
16.044,15.062,15.221,15.412,15.556,15.587,16.2428,1.7565202498158268,7509,3179,12.61494,2462098.760331639,3.091091008616909,1.2574457050610903,0.0101896881150019,0.5187932716589554,1.6179170742813538
28.404,25.569,24.3,23.326,22.844,22.633,22.5828,0.2723661681384445,7686,6069,11.19207,2461884.247926367,1.253958863699207,0.0017676303998012,0.0042888996930361,0.4184481622266947,0.7992585541571067
18.349,17.184,16.862,16.806,16.826,16.832,17.2238,1.3401492290617625,7584,7133,5.313491,2462043.1138722487,1.4573955784407588,2.1869137155609213,0.0387600434793132,0.3358649856301618,0.2044968810786566
28.946,26.071,24.788,23.754,23.245,23.022,22.9688,0.2466909178647098,7602,7332,2.138352,2462573.2360149766,2.942644853622427,0.8731426372340129,0.0087598176130627,-0.1521687582347199,0.2364480066997288
30.452,27.163,25.757,24.15,23.368,23.022,22.8988,0.3452654812372508,7405,5264,8.858818,2462206.730096521,2.369167196726762,1.1933545398164678,0.0037734919140046,-0.839643679545292,0.4568014307834459
27.066,24.539,23.372,22.488,22.057,21.847,21.8188,0.3759699727084929,7951,7843,3.937088,2461661.5748464847,0.2045175392485746,0.9971828128528052,0.0997499169128276,0.7356299876644298,0.2757244981690406
30.136,26.796,25.383,23.715,22.904,22.543,22.4108,0.3316295036164739,5350,2259,2.269109,2462697.886498042,15.60565641117483,1.8150863477716237,0.0029733689064712,-0.4761859096649202,2.5947092629461976
28.365,25.58,24.327,23.388,22.924,22.717,22.6718,0.2928553490294936,7799,4645,5.173009,2463106.942454607,3.764557049154644,2.9214235276776037,0.0032752461099709,0.5222390175026917,1.5471776234294272
30.326,26.987,25.574,23.908,23.098,22.737,22.6048,0.3304860716630579,7731,3112,11.75893,2462564.7254159194,1.190341998521781,1.722065190788542,0.0051875792148827,4.357764680307609,2.4715029571544576
30.048,26.848,25.463,23.965,23.234,22.912,22.8038,0.3968744683551372,7834,7622,4.776455,2461841.4099289197,1.0357502387213058,0.4300700798405489,0.0173938482566054,-0.1540080280087265,0.2121142015608589
29.447,26.562,25.275,24.23,23.714,23.489,23.4348,0.2399679054838882,7396,6419,1.172174,2462625.8198424177,13.474966081251042,2.8364693541514847,0.0034891794788396,0.4758728221343669,0.0032039539192543
27.31,24.797,23.634,22.751,22.321,22.111,22.0838,0.3807616155724682,6569,3404,5.100881,2461546.608889324,3.272836453980933,2.972431701299848,0.005897544400457,3.089184961377315,0.2162730592284767
29.581,26.693,25.405,24.355,23.838,23.612,23.5578,0.2385905074527466,7266,5824,6.456895,2462633.706007627,2.936894730882137,0.0994326361915469,0.0029412536495582,-0.6243832197894232,0.2022951393141391
30.988,27.678,26.269,24.637,23.844,23.492,23.3648,0.3377949564084023,7273,5882,5.122376,2462119.737995067,3.8911171196375056,1.8462701601368663,0.0039580441320994,0.4671652762602319,0.3698477562208033
28.217,25.525,24.302,23.392,22.943,22.737,22.6978,0.3203709734676505,7441,3770,5.954695,2462184.090653154,0.5415889337884935,2.3937543125777987,0.0226766746204907,14.741373290653293,1.532658387097497
29.666,26.779,25.492,24.444,23.928,23.702,23.6478,0.2385905074527468,7527,3955,5.934751,2461951.531333267,6.717476920131818,0.4100439290480523,0.001350545982942,0.730273119780764,0.8217105168846232
29.808,26.571,25.177,23.634,22.882,22.55,22.4358,0.3820789933236365,7929,3215,4.819087,2461865.072033371,0.6187211562367934,1.1596487612966366,0.0274512310928985,11.506918562398184,19.51249085355581
27.123,24.631,23.481,22.671,22.275,22.075,22.0418,0.4127177629451932,7884,6088,4.469988,2462389.296640159,3.578356687493217,0.6019351823376379,0.0055590857791963,-0.1005677924025945,0.8485083433324527
27.382,24.734,23.525,22.622,22.177,21.97,21.9338,0.350875594000728,6845,5994,2.563518,2462032.236470204,1.8460216936315408,0.3392013181131639,0.0183989632828781,-1.32514395520955,0.8982106966124648
29.473,26.283,24.9,23.41,22.682,22.362,22.2548,0.4272215593621391,7915,7399,12.15367,2462285.0309857293,0.2321437954991786,0.1000738938404188,0.0324955982428401,0.5876152358890948,0.9776426183066776
30.652,27.415,26.022,24.479,23.727,23.395,23.2808,0.3712386296236882,7522,6846,3.253563,2463053.8951548864,2.6833494512014613,0.4154023228038888,0.0096021877373729,0.2013752815553961,0.5109483708304888
26.093,23.619,22.51,21.956,21.681,21.528,21.4758,0.5083386846840536,7215,3701,10.82957,2462234.080421131,3.0750866259147385,2.8743415924353983,0.0035936441821978,1.409596182051228,0.3102622893979346
24.087,21.84,20.953,20.656,20.527,20.441,20.4998,0.7033203132595943,7936,6116,8.762551,2463257.379588987,1.7844072111427929,0.4751434911458503,0.0096275058086313,-0.0471209310370623,0.8746587052254381
32.309,28.883,27.459,25.689,24.829,24.443,24.2958,0.2643340809188214,7928,7561,2.929596,2462074.2098068027,2.360584957320061,1.1784765240618618,0.0081893412026811,0.2850098730744254,0.1527446841082046
26.613,24.143,23.011,22.368,22.047,21.875,21.8218,0.4722295511714108,6853,1315,12.14558,2461678.732427788,7.377084381048192,2.4547969510170384,0.0013063400296665,2.13686629076998,1.3075080977628224
30.442,27.156,25.753,24.147,23.364,23.016,22.8918,0.3636245199132514,7276,7087,2.501822,2462065.350188455,2.3874057083375506,0.6561748346272986,0.0142123093277844,-0.2215729602639549,0.0338080409797194
30.326,27.409,26.111,24.982,24.426,24.184,24.1238,0.2289038835238719,7767,5008,4.570593,2462916.903930029,6.765366963444157,2.2622929815466897,0.0016189102140235,-0.5521129903811569,0.6301942960774584
30.089,26.944,25.573,24.142,23.442,23.135,23.0368,0.4366698036478703,7361,6536,8.396703,2462881.475901786,1.3523484515666335,1.4619395942765976,0.0088737207765174,0.5514285727768491,0.0123359739029851
30.526,27.615,26.319,25.241,24.709,24.478,24.4218,0.2236933950008615,7939,2254,13.45293,2463081.1261637337,2.662511757564587,1.346555972078681,0.0013361824342788,2.9687416504284885,1.2967798057646365
31.64,28.337,26.929,25.307,24.517,24.167,24.0408,0.3397450679734176,7783,7557,8.727948,2462928.337223513,0.6779334264635826,2.1509130924649718,0.01253123135951,-0.2229888484229835,0.0808504136022198
30.734,27.548,26.166,24.685,23.961,23.643,23.5378,0.4056515697106662,7428,6476,4.577977,2462519.3201046046,2.30736383668264,2.712326714195651,0.0087816958945107,-0.6552888696950205,0.1972037467085989
28.705,25.962,24.721,23.774,23.306,23.094,23.0508,0.3188990025518816,7973,7044,5.03713,2462435.898599123,1.663867174465059,0.9159933796681632,0.0081061829165198,-0.4091572067869816,0.5935136423467826
28.933,26.279,25.069,24.167,23.723,23.516,23.4798,0.3335440216340872,7834,7353,14.53376,2462830.310277219,0.6077890076155643,2.710230732256466,0.0081870149615525,-0.2782453058973377,0.2044249221764633
30.497,27.617,26.331,25.292,24.779,24.555,24.5008,0.2427466028692821,7991,7221,9.159459,2461616.3508449383,1.0420084261569045,1.037010701106197,0.0054062707569252,-0.3422889389873623,0.3789768093311905
29.988,26.919,25.569,24.224,23.561,23.271,23.1828,0.4376764315067084,7513,6374,10.264,2462519.4245172464,0.971687128737325,2.5558662020597605,0.0099216406785183,-0.8670048046056982,0.0838980664260888
28.557,26.008,24.833,23.946,23.513,23.304,23.2738,0.3703848044689506,7148,6736,7.451059,2462073.667329059,1.2860798664331206,0.1217164350209281,0.0091847955017324,0.2033180053422191,0.2550183983036891
23.544,21.613,20.903,20.69,20.61,20.559,20.7258,0.8001163790379983,7063,3310,5.223096,2461920.1260614973,8.360519967749497,2.2677875862663384,0.0044064563650285,-1.2242896234354317,0.5514091547079043
31.206,27.998,26.612,25.105,24.37,24.046,23.9368,0.3923314838827978,7761,7357,9.463111,2462708.6325467764,0.7585088806828922,2.8584244134369534,0.0119626580624225,0.3555449024946336,0.0567562871487216
30.725,27.696,26.359,25.075,24.445,24.17,24.0918,0.3308667769235981,7562,4164,5.450409,2462951.975695945,6.874435371262617,1.82680403491619,0.00198352271044,1.0411918150736412,0.15014589553896
29.09,26.425,25.211,24.306,23.86,23.654,23.6168,0.3297259747906978,5680,3593,2.855769,2461940.2420724668,9.3420295737861,0.0443112661318968,0.0036959605616334,-0.8986171157619618,1.0736017050803357
31.591,28.233,26.818,25.129,24.309,23.943,23.8068,0.3225916789654582,7928,7834,5.122265,2461725.256480166,0.874634164269268,0.6695317840940792,0.0154272264709138,0.1141153221466719,0.0469356514520599
27.621,25.096,23.93,23.068,22.647,22.441,22.4098,0.400085821519729,7712,7463,6.205837,2462610.583651105,0.6489052997277746,0.4070847669843039,0.0218822144735842,-0.3661766434563958,0.1410365517582379
29.252,26.552,25.327,24.414,23.964,23.758,23.7188,0.3188990025518815,7975,7780,6.303657,2461999.4118628777,0.5177653057872748,1.1994216053038689,0.0208105599095882,0.3098161445313126,0.1664822403406638
