u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,m_planet,m_star,t0,te,u0,rho,piEE,piEN,s,q,alpha
28.258,25.751,24.599,23.689,23.249,23.033,22.9988,0.3781404710477008,3365,2302,8.948152,7.485508658316862 jupiterMass,71.80263623083387 solMass,2462171.433987474,365.6664236441999,1.5297833438735793,5.833597639767364e-05,0.008422814722365083,0.012794957236742049,0.21372607100988905,9.9517563402334e-05,0.9568770787631343
31.498,28.218,26.813,25.217,24.441,24.097,23.9748,0.3816393617472886,7874,6947,5.201961,10.540149318372062 jupiterMass,103.53902292520806 solMass,2461889.3404497397,265.43289706239955,0.8756413642682265,5.9624222275027625e-05,0.0011766284540772882,0.004325690805480869,0.2017851425850333,9.717655701427378e-05,0.40647541168639534
30.519,27.268,25.871,24.31,23.55,23.214,23.0968,0.4146227815831173,7861,7791,7.477608,2.717656986224312 jupiterMass,84.27209244172218 solMass,2462503.4530811505,43.26180083641339,0.2661296244657039,0.0002769458696919517,0.0012524022205271542,0.00031115482019314415,0.21236757412105592,3.078432745395784e-05,0.621313973998644
29.91,26.74,25.363,23.901,23.187,22.873,22.7708,0.4832291904615906,7109,6847,7.789291,9.20508838786384 jupiterMass,105.8573470531617 solMass,2461562.5881531695,101.0141044450336,0.348966588182271,0.00014674101397901153,-0.0024488374028058665,0.0004963563125535811,1.5796816433409997,8.300911125063343e-05,0.04722088008155291
30.717,27.726,26.402,25.168,24.562,24.298,24.2258,0.3034961322919948,7874,3579,5.439905,3.5003611991024055 jupiterMass,27.037464759393245 solMass,2462756.5684650624,388.9795117054272,0.3797062334429916,3.0940442751614246e-05,0.015179752177612393,0.021486168052774365,0.20035921385359323,0.00012358498280842862,0.3067818495681794
30.955,28.031,26.731,25.635,25.096,24.861,24.8038,0.2183499822055512,7755,6416,4.934172,3.4971775561029985 jupiterMass,79.7848738537953 solMass,2462996.581043506,309.54763292864834,0.2981120997314176,3.1312403357175623e-05,-0.0027336085478284456,0.005826075415189024,0.3490747003734225,4.184233638496946e-05,2.396142207289634
27.819,25.347,24.216,23.427,23.042,22.845,22.7998,0.430678469332503,7832,6188,5.86548,8.660354524366266 jupiterMass,22.500830255131152 solMass,2463108.4768605405,155.2816336209513,2.238877192078847,0.00010255188519948675,-0.012746661810746424,0.004751141469626533,0.3778412662111315,0.000367414197580773,1.4085447868736112
29.928,27.041,25.754,24.706,24.189,23.963,23.9078,0.2541868978067999,1238,842,10.58594,9.763223788577358 jupiterMass,92.19941824413087 solMass,2461976.910591864,582.7644234301016,0.15834479154225412,5.6532328362495906e-05,0.019997936261094095,0.010294542025350326,0.21593969169307536,0.00010108433774332813,0.029577567808910556
30.845,27.591,26.192,24.628,23.866,23.529,23.4118,0.4075239722825528,7721,7287,2.70511,8.79830916029288 jupiterMass,23.79844481995315 solMass,2461662.8579805405,165.1219765422084,0.6096351690963956,0.00020071351468051166,0.0026363917308142716,0.005730264436703811,0.7671938686283978,0.0003529144554039649,0.35129266327572584
29.76,26.901,25.624,24.615,24.117,23.898,23.8458,0.275202998106558,7838,7740,8.517275,4.090412052744519 jupiterMass,73.51809617952517 solMass,2461964.9563410073,42.17480779064379,2.7173021592649427,0.0001660278469361818,0.0009328374736415194,0.0013519453305527525,3.261783926650016,5.311187262757226e-05,2.4819030348714715
