u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
22.972,20.924,20.14,19.889,19.784,19.716,19.8258,0.730555409446013,7930,7810,4.336135,2462061.777544371,98.6812478977482,1.6657821986109984,0.000365703706204,-0.0016534408049908,3.906342517569845e-05
31.996,28.672,27.257,25.288,24.301,23.835,23.6508,0.244992709531134,7852,3648,14.01199,2461875.3157708813,296.4568683325312,0.078190447445458,1.2758462768007222e-05,-0.0028609474113528,0.0125838320624125
29.859,26.965,25.675,24.634,24.121,23.897,23.8438,0.2180987421516621,7974,4424,7.982074,2462203.0695700054,281.4051335408328,2.8468434912960205,2.068311658433424e-05,0.0161542415457673,0.0026093360040699
30.327,27.048,25.645,24.048,23.269,22.924,22.8008,0.3436791304480418,7818,7508,6.626833,2462869.219354944,68.866546007677,0.4475755381960236,0.000163617586772,-0.0001701073919397,0.0042234337017702
26.443,23.973,22.829,22.245,21.951,21.79,21.7488,0.4646791228212645,7662,4825,3.82819,2462051.7182654496,563.6171625993135,0.4914156327838356,4.774414664867406e-05,-0.0003704231817143,0.012985413158292
29.805,26.926,25.641,24.619,24.115,23.895,23.8428,0.225763204500911,7635,7594,14.002,2461532.686235997,14.75796486060118,1.209611752401094,0.0002430605017818,-0.0003944004969125,0.0011860510979597
13.197,13.02,13.381,13.682,13.903,14.028,14.7878,2.8389200422776844,7431,7265,7.913022,2462716.849626339,47.57456162426077,2.9051927815623158,0.0017237550326246,-0.0027076841089934,0.0012524298080927
24.9,22.581,21.623,21.284,21.129,21.028,21.0368,0.6311799008764466,7950,7143,8.762715,2461757.196290932,84.77332359159696,2.777052682634029,0.0001815410951427,0.0051694266532405,0.0047012066501696
28.218,25.672,24.485,23.649,23.235,23.035,23.0178,0.3602907902763457,7840,7772,4.045781,2461834.4804113656,91.83049183648473,1.340866415205833,0.0002101041512084,0.0002629535522962,0.0010651599898072
27.688,25.188,24.021,23.298,22.938,22.756,22.7288,0.4103487935075868,7766,3907,5.654245,2461592.5452245725,769.7359723439467,1.7181135193500108,2.0621781685285627e-05,-0.0079392163306902,0.007133928959264
30.63,27.489,26.118,24.693,23.995,23.689,23.5918,0.4047185969900509,7454,5914,4.594427,2462778.2921620514,415.0938895594424,0.431647507588362,4.835850793086049e-05,-0.0007154072452877,0.0066522026634854
31.764,28.491,27.088,25.501,24.729,24.388,24.2668,0.3320115260597854,7784,7712,3.000882,2462620.600988616,108.38331294525835,1.508776354536549,0.0002227541526649,0.000539527678323,0.0012341398305108
29.703,26.919,25.664,24.735,24.275,24.069,24.0258,0.2717397433348308,7977,7734,11.92805,2462424.513007209,49.38779127894296,1.4886843560252483,9.822257824227948e-05,0.0011622255145431,0.0021478107107477
30.575,27.651,26.351,25.211,24.649,24.405,24.3438,0.2625144179050795,7885,5909,12.21315,2462388.2207531114,52.51378119963647,2.953655438197952,8.817334113078429e-05,-0.0233024753421521,0.0063508750956656
29.231,26.533,25.302,24.415,23.975,23.774,23.7398,0.2996768264138152,7532,3953,3.593275,2462414.986364776,402.1870751265447,1.5214029252397063,4.6763940558110704e-05,0.0295808799845992,0.0069247315364139
30.801,27.903,26.612,25.532,24.999,24.767,24.7098,0.2249847910632741,7865,6762,1.740205,2463023.9649870456,393.5279520629328,2.3142213923982555,7.095209970823739e-05,-0.007593789120456,0.0080431446524774
29.792,26.688,25.326,23.942,23.264,22.967,22.8768,0.448387152985572,7406,7126,5.04935,2462514.996983352,179.77192324321322,1.6842968934574496,0.0001132919179641,-0.0002471160147608,0.0021204699441855
21.252,19.993,19.579,19.48,19.473,19.468,19.8098,1.0378943812628336,7749,5001,8.333809,2463093.296875664,104.028097814183,2.1326702685579626,0.0002624219242886,-0.000347960023016,0.0298731333939454
