u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,theta_E,theta_s
20.17,17.949,17.143,16.882,16.766,16.698,16.7778,10.072868419636691,6687,3737,5.614407,2462316.003054033,6.653581059261011,0.3793820093707658,0.06849349210694224,0.0008417008908402314,0.0007898253179816867,102.27491327633795,7.005165965231055
19.92,17.618,16.783,16.51,16.385,16.312,16.3708,12.335397839752437,6652,3204,8.376503,2462127.1335686143,3.557933686707813,0.31651024447256904,0.10568835504009914,-0.001334331559076535,0.0014664823245426812,81.59628254759494,8.62377687984246
20.183,17.955,17.146,16.884,16.767,16.698,16.7758,10.06127827440743,7919,7484,3.832824,2462822.1817057803,2.323702467867812,0.49298081580219766,0.2423093861041046,9.325094724938513e-05,0.0002861978531462731,24.384237064210758,5.908529513645862
20.092,17.458,16.494,16.156,15.987,15.888,15.8508,17.62597544905315,7541,7116,3.301229,2461688.642060444,1.844578634548336,0.4456091932549219,0.6519859101871739,-0.0004373715675367625,0.000185420668771044,16.67180419206398,10.869781430625176
20.312,18.101,17.3,17.043,16.929,16.862,16.9468,10.632935045464768,7977,7749,7.388385,2463292.087996804,0.5204537552185688,1.5346720374518592,0.5888012459924113,0.0003353180973981249,0.00010153967711558028,10.527892452431338,6.198836193665675
15.684,13.447,12.638,12.379,12.264,12.197,12.2768,10.084471916197934,7618,4204,6.494872,2462425.843065877,3.629215658903863,1.0524014501629098,0.09539280865451207,-0.0011742782885921569,0.0011617356564160967,64.53467806975017,6.156144196688214
14.441,12.205,11.064,10.291,9.898,9.621,9.3028,80.93812900516635,7999,7045,3.682779,2462752.0671929074,3.668029208226816,2.164593064765148,1.2723184843271451,-0.00015566192459224443,0.0004304533180665581,36.984369444063915,47.055896874866576
16.728,14.49,13.682,13.423,13.308,13.241,13.3228,10.805706341332568,7905,7605,4.170017,2463045.969010471,1.8393438885155065,0.6187565126303238,0.3027173712439503,-0.00015075941619344896,0.00018368938244541424,20.999576410556514,6.356936568240138
16.554,14.619,13.89,13.655,13.554,13.494,13.6028,10.107719024854678,7503,2275,10.7648,2463247.3947348245,2.7444454880270133,1.3417159074344218,0.07745410785190707,-0.001681834002880644,0.0033926004337404953,80.88543953323256,6.264909557255902
16.308,14.075,13.268,13.01,12.895,12.828,12.9098,11.05740357572932,7205,6801,9.54049,2462569.375116576,0.8194488633908708,1.9937604896669052,0.3334367419683556,-7.302337987766663e-05,0.00037820241818264493,21.404363276364048,7.137001154777946
17.195,14.987,14.188,13.933,13.821,13.755,13.8438,10.166071523589036,7626,5729,7.992934,2461881.3575376365,2.823450701127661,0.24428773052123243,0.10033598992411939,0.0005090794202213848,0.0004844414524712109,61.786872296693005,6.199446996203841
17.355,15.135,14.332,14.075,13.961,13.894,13.9788,10.026587793175484,7936,6978,2.921438,2462736.334179076,2.236273409611825,1.0186939214049138,0.32848590852955,-0.0003502452466612985,0.0009015212456304095,17.88674638529651,5.87554413701177
16.829,14.44,13.587,13.313,13.187,13.113,13.1698,16.279953528990543,2304,1568,7.872891,2461984.0204139226,4.43790563798409,0.08279773802794255,0.3435145996369115,-0.0019612707759064725,0.0008301941173294601,95.6581720907165,32.85997868774126
17.475,15.178,14.346,14.076,13.954,13.882,13.9468,11.875534368317512,7087,4927,5.214312,2461535.7412891295,5.319028826017296,1.9369963884138364,0.10262382231818612,-0.0006610100835307998,0.000476146925395503,75.93449920834469,7.79268855457761
17.612,15.35,14.532,14.269,14.151,14.083,14.1578,11.198327406842903,6158,3223,6.588874,2461671.7052308065,6.348277209431029,1.2617286378476318,0.07384705949503051,-0.0010894326931941433,0.0006932702284723685,114.51881902809764,8.456878042068558
17.749,15.531,14.729,14.472,14.358,14.291,14.3768,10.049701465147717,7662,4473,8.240005,2462849.8456688873,2.7059493312699865,1.1583041202450466,0.09991960159110506,0.0015073938539591,0.0002260656357172579,61.04595761645815,6.099687763783985
17.292,13.848,12.575,11.987,11.677,11.491,11.2448,54.46947142380564,7379,6539,6.578931,2463135.520198421,0.5419968391052797,1.3826835127692576,3.5163361148140853,0.001761968184462849,0.0002745817808917203,9.762518293474981,34.32829564687925
16.972,15.159,14.473,14.252,14.158,14.101,14.2228,10.307495665980356,7660,7410,7.171545,2461863.648443016,0.49287173442303656,2.147130759565189,0.6466429791825007,-0.0004293218651455225,0.00015108657132274298,9.677349274860658,6.257789965685508
17.611,15.347,14.529,14.266,14.147,14.078,14.1528,11.211227382117444,7830,7777,10.32048,2462180.546968797,0.20065620866344402,2.0072563595732396,1.1744261588332052,5.426364866526904e-05,0.00014360051851902068,5.669728647192063,6.65867763674836
17.718,15.461,14.645,14.383,14.265,14.197,14.2738,11.070141213016148,7917,4977,7.957627,2463257.1636068705,1.388727787932872,0.3989273209416687,0.21492088869178824,-0.0017133210028801187,0.001773730822944699,30.2559281065158,6.50263095684723
18.047,15.83,15.027,14.77,14.656,14.59,14.6758,10.00352728117362,7891,7819,11.36147,2462450.2406450068,0.2776329406378785,1.806674972526344,0.6826567899964188,0.0001345791399375776,1.2127349165568443e-05,8.636052911893328,5.895460159072324
17.199,15.321,14.603,14.368,14.265,14.203,14.3018,11.65878143835885,6782,5409,6.719754,2462334.051606304,0.8677937369943662,2.350379449914092,0.500740023552617,-0.0021669381105034946,0.0008945365589173958,15.96539475795439,7.99451214712491
17.996,15.717,14.893,14.627,14.506,14.437,14.5068,11.485586075622347,6006,5558,3.156417,2462607.5689320434,4.133092224916394,0.8929851026570687,0.24899187695284228,-0.0003307035971503756,0.00017838310877871634,35.71735129717708,8.893330339268157
18.357,16.137,15.334,15.076,14.962,14.895,14.9798,10.026587793175484,3582,2381,12.58273,2462400.376964726,1.757015657556478,2.462053324895472,0.21506210184924981,-0.0020025733776344694,0.0011841324818072407,60.52855201863277,13.017397619018817
17.546,15.739,15.055,14.834,14.74,14.683,14.8048,10.3670014878502,7733,3734,10.50608,2463297.2645971607,2.861029887329279,1.0249655350062885,0.07575806413620936,-0.0011872702237424352,0.001192692076759271,82.29489083825433,6.23450161820682
18.085,16.101,15.349,15.105,14.998,14.934,15.0278,10.084471916197934,7743,3007,8.308851,2461941.0838705343,5.465010502514207,2.3668973879368305,0.04871904265083707,0.0015704647076345093,0.0004589972684373257,124.32021349438924,6.056761783594319
18.622,16.365,15.546,15.281,15.162,15.093,15.1658,10.166071523589032,7966,7488,6.390613,2463293.216524994,0.9724854456648432,1.4960667349023127,0.34879804803428033,-0.00018862095652677412,0.00043154123570243096,17.015135198840632,5.934845944394989
18.496,16.286,15.487,15.231,15.118,15.053,15.1408,10.189506738767864,6208,4964,7.562363,2463019.3263374707,1.3639239265308936,2.546697272510885,0.27029661097009267,-0.001098692408336651,0.0009144949296677039,28.239528642880078,7.633048887563345
18.553,16.334,15.531,15.274,15.159,15.093,15.1778,10.038137976512768,7875,6014,7.898196,2462009.6596470126,2.6629116001198816,0.8780866840492165,0.1029448814670415,0.0005217641366964721,0.0004398063959313644,57.58301916063094,5.927877082005532
18.517,15.982,15.055,14.737,14.583,14.492,14.4838,14.813345793864745,7739,4039,4.992202,2463146.468284031,2.7587227162666674,2.693686185202898,0.2360776803171359,0.002583445341444483,0.001783542822194608,37.705957731942206,8.901535035492891
18.512,15.871,14.906,14.569,14.402,14.303,14.2678,17.464379534817507,7888,7518,7.867971,2462438.45472533,1.0231077744234944,1.2211650616277487,0.46718505289957946,-0.00014567482363400522,0.00024274262827409998,22.039102803664875,10.296339409189445
18.387,16.379,15.627,15.386,15.281,15.218,15.3208,10.08447191619795,7885,3918,11.37222,2462161.351408905,2.7669119882589412,2.1052922133316123,0.06903950698306296,-0.0011070386040512826,0.0009980962509571305,86.14902628642875,5.947686301885972
18.176,15.257,14.204,13.821,13.624,13.508,13.4128,28.389200422776803,7711,7574,4.145569,2461632.1750072725,0.12006572001345928,2.5308354606186705,12.563947008809969,0.0017202397029117392,6.208296978214754e-05,1.362739840795281,17.121391146546046
18.333,14.938,13.703,13.178,12.9,12.736,12.5188,46.95189884704588,7725,4156,3.350015,2463277.070957466,10.70048337041888,1.264681448872389,0.2879992392954891,-0.00028280927845362314,0.0010968202200057659,98.14313428652649,28.26514801659466
18.374,15.681,14.706,14.365,14.195,14.095,14.0538,21.288897004618857,7546,2685,10.21409,2461665.4810986966,1.7371613087411282,0.45044980708190485,0.27007435512325056,0.0012314597819669288,0.00478273150832899,48.57911554277801,13.11997330267365
18.737,16.499,15.69,15.431,15.315,15.248,15.3288,10.780853906395272,7500,7214,11.63465,2461578.138804555,0.7190296926040887,0.7070485579770334,0.2918626794170442,0.00016785761406538197,0.0001583927638402488,22.90392556620441,6.68480108492096
17.716,15.318,14.405,14.09,13.934,13.843,13.8268,23.128803204362523,7799,7747,8.359445,2462697.7790242285,0.30093350940743513,1.16699516111665,2.0024102603080163,-4.6611865553378426e-05,0.00011594173202903208,6.88743907063227,13.791478662280365
18.119,15.944,15.158,14.909,14.8,14.736,14.8348,10.669723396720844,7975,4107,8.510097,2461781.0602029497,2.946720768142341,1.2295709107519905,0.09062244823242414,0.0017122142778010952,0.0001642740388916735,68.65675446627195,6.221843177425985
18.868,16.649,15.847,15.59,15.476,15.41,15.4958,10.390899894433636,7983,7732,2.323139,2462783.461380562,1.6471108604793436,1.7627638483243653,0.5777977164044161,0.0002021194684777519,0.0003313818636913377,10.476296994669736,6.053180479894621
18.308,14.812,13.507,12.878,12.548,12.347,12.0778,65.71328239703729,7207,6219,1.356488,2462596.530593241,12.258640224190295,1.7653300758087087,0.9313806250207459,-0.00023374244465106832,0.00042403099786691973,45.526894895089505,42.40286782264227
18.638,15.749,14.699,14.315,14.117,14.001,13.9058,24.81150800754996,7944,7919,4.191001,2463308.857774822,0.492285007542383,0.7948699524984935,2.5713806249811406,-2.0444177219060542e-05,6.731763243887595e-05,5.648643282395989,14.52481189378292
18.904,16.631,15.809,15.544,15.425,15.355,15.4268,11.341047276785996,7925,7469,4.610211,2461720.439500567,1.2303801947090425,0.2508406436439864,0.4285293494228042,0.00039089032109229383,0.00030541633891375755,15.529944716850837,6.655037106084204
