u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,s,q,alpha
29.95,27.078,25.795,24.785,24.287,24.069,24.0178,0.2275899921605641,6017,5511,4.53839,2462125.2331891726,127.6897482153308,1.9495446290755372,0.0001108669553629,0.0055511457134759,0.0078540095737499,0.3855712142699816,0.1670051420861782,2.260155912383588
30.59,27.371,25.981,24.459,23.717,23.389,23.2778,0.3569876244564637,7926,7212,10.03425,2461630.7100783125,121.5488878727558,0.2646670756768576,6.272634784711822e-05,0.0035313845103486,0.0012334937318511,0.6770459254017801,0.3442868048057489,2.223278631822533
29.363,26.538,25.269,24.302,23.824,23.613,23.5658,0.2649434339074422,7974,7561,5.551681,2462044.87790263,59.11383442523844,2.7686349094786644,0.0001719689783075,0.0074577953859205,0.0015822541476654,2.2048471685402657,0.3302671536698702,1.5665037325281954
31.964,28.685,27.281,25.687,24.912,24.568,24.4468,0.3214794087071949,7465,7066,4.477672,2462159.1882871008,75.27679359454098,0.9433220358442748,0.0002170185089619,0.0059537865352833,0.0056338759850522,0.6257293906277929,0.7259443854584978,1.535568275752688
25.056,22.814,21.907,21.595,21.455,21.362,21.3978,0.6563767071874037,7814,7569,1.899874,2462719.830160203,60.67141262536048,2.6196718528736618,0.0012378204792466,-0.00357600209537,0.0126295897509153,0.6290522264216087,0.5862281075553434,0.083658590790267
22.09,20.644,20.138,19.999,19.967,19.946,20.2318,0.9018891470959908,6726,5257,8.439821,2461960.9827480325,51.61208906793798,2.822636549690028,0.0005228756770653,-0.031066337376318,0.015762397919938,2.647856647883885,0.529207674842135,0.1035580291648124
19.234,18.233,18.098,18.127,18.195,18.223,18.7198,1.45764967746429,7601,1286,8.688998,2461599.571447289,859.6907777178271,0.3764185113359219,4.360710736194464e-05,-0.0097716623641259,0.0300399414074226,0.7118333225832756,0.3190835426795579,1.1683101741205542
26.239,23.776,22.657,22.138,21.879,21.732,21.6898,0.511273355936956,7593,3128,5.957056,2461993.3196326564,520.2163129658525,2.214222054666111,3.690718548276258e-05,0.0011025473093729,0.022129803409562,0.2876290500099038,0.0691854558860859,0.5308364355023356
29.143,26.368,25.115,24.191,23.734,23.53,23.4878,0.2825876389511032,7881,6950,6.537365,2462303.679025478,88.09369120226742,1.2151017018982635,0.0001057574834533,0.0072225834124731,0.0080029174247549,2.30387183803661,0.3109696583845805,1.3649457660383149
30.086,26.979,25.617,24.232,23.552,23.255,23.1638,0.4321685518676157,7864,7083,5.028847,2463006.629781686,233.7332642772338,1.9205456226743047,7.941591150463762e-05,0.0041843705680267,0.0012144307589896,0.5310247577874601,0.7134673765461351,2.323654967417678
28.082,25.58,24.41,23.698,23.343,23.162,23.1358,0.4094050174720271,7935,7808,10.72398,2463294.306521451,27.71660523893359,0.6093647651959957,0.0002948472041626,-0.0011712183746604,0.002230047551977,0.2964838231837407,0.7182325009533289,2.4831163031756627
31.479,28.293,26.911,25.43,24.706,24.388,24.2828,0.3627882067248962,7415,7241,4.334914,2463033.7943881587,48.820393249436655,2.398169322501918,0.0003926874864779,3.060899782154511e-05,0.0055929573427236,5.009939037770935,0.4452952560167622,2.504322108755476
31.84,28.619,27.228,25.706,24.963,24.636,24.5238,0.3448682083946525,7813,7370,6.349385,2462059.457844254,152.7957326322756,0.2392779059647912,7.728216244237088e-05,-0.0028764227218562,0.000340005812769,0.4454503223567588,0.0653330002824356,0.9542467963519125
