u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,s,q,alpha
22.972,20.924,20.14,19.889,19.784,19.716,19.8258,0.730555409446013,7930,7810,4.336135,2463259.12902764,50.39809285253309,0.4358534930507739,0.0007160607881461,0.0015636896919306,0.0028358600832351,1.3864878264572973,0.8500000313464459,0.1295516784065998
31.996,28.672,27.257,25.288,24.301,23.835,23.6508,0.244992709531134,7852,3648,14.01199,2462397.9832961205,295.886029818387,0.1088904793355768,1.278307704916718e-05,-0.0083829058343802,0.0098441833498535,0.6354811677851501,0.6219935349841601,2.2396997031763046
29.859,26.965,25.675,24.634,24.121,23.897,23.8438,0.2180987421516621,7974,4424,7.982074,2462252.0456031794,216.564893770201,2.397587046259111,2.68757095535124e-05,-0.0208547054734163,0.0041465771086915,0.8790176667303952,0.3868079488076298,2.91434614733865
30.327,27.048,25.645,24.048,23.269,22.924,22.8008,0.3436791304480418,7818,7508,6.626833,2463192.835372593,50.48261379172432,0.999312017007433,0.0002232011621582,-0.0012768890071281,0.0056229675140732,0.8307731478588154,0.1535886537489453,1.8296414065026072
26.443,23.973,22.829,22.245,21.951,21.79,21.7488,0.4646791228212645,7662,4825,3.82819,2462714.8807322523,460.8322341078823,2.576727402358037,5.839309508577391e-05,0.0053936704078174,0.0149446354841912,0.6017939709252991,0.3111004730756177,0.2037394503200796
29.805,26.926,25.641,24.619,24.115,23.895,23.8428,0.225763204500911,7635,7594,14.002,2461909.891380776,18.366313522053996,0.515489894017114,0.0001953074763745,-0.0002439820522829,0.0009742582413919,2.316216056897587,0.9661947696000786,2.889078608994305
13.197,13.02,13.381,13.682,13.903,14.028,14.7878,2.8389200422776844,7431,7265,7.913022,2461541.937781835,49.85959071791847,0.0854695522713242,0.001644756582313,-0.00214096437764,0.0018759863881895,0.761405235300472,0.3405217410454476,1.07664490280228
24.9,22.581,21.623,21.284,21.129,21.028,21.0368,0.6311799008764466,7950,7143,8.762715,2461952.016898848,93.48373867208996,0.2085383636417457,0.0001646258720748,0.0063118856473306,0.000556607832448,0.5974477006223214,0.3874905771676583,0.1320489856983797
28.218,25.672,24.485,23.649,23.235,23.035,23.0178,0.3602907902763457,7840,7772,4.045781,2462205.2120229336,93.40966149292755,2.0993246777549674,0.0002065521620996,0.001054322094247,0.0002275078758845,1.2168596537176526,0.9279874797706604,0.7281852668120443
27.688,25.188,24.021,23.298,22.938,22.756,22.7288,0.4103487935075868,7766,3907,5.654245,2462357.7443863456,333.06880383022235,0.8654790102296098,4.765780221518181e-05,-0.0095514779441376,0.0227426509890487,0.0909088899369114,0.2153739458810517,0.8071494629197471
30.63,27.489,26.118,24.693,23.995,23.689,23.5918,0.4047185969900509,7454,5914,4.594427,2462992.62041335,357.1639111092009,0.8161853643662818,5.620198605164987e-05,0.0038821966670742,0.0067372520259299,0.2913035234159824,0.5305690370413734,0.5146987250275168
31.764,28.491,27.088,25.501,24.729,24.388,24.2668,0.3320115260597854,7784,7712,3.000882,2462749.34665664,92.05448297157628,0.642108431530034,0.0002622667822228,0.001476800099111,0.0005778804733756,3.6085832065604615,0.360929060187018,2.4261772083209325
29.703,26.919,25.664,24.735,24.275,24.069,24.0258,0.2717397433348308,7977,7734,11.92805,2461575.684886152,57.90007286770409,0.3298780116307556,8.378221222956638e-05,0.0016404731967903,0.001283757986332,0.7728732304106584,0.4337027989828913,0.3811095024126751
30.575,27.651,26.351,25.211,24.649,24.405,24.3438,0.2625144179050795,7885,5909,12.21315,2463178.597797756,86.7070717451,1.9035965065617253,5.340182121932381e-05,0.0099747590702173,0.0106993907979162,1.2727333409002404,0.4687781719442521,0.8739472595395404
29.231,26.533,25.302,24.415,23.975,23.774,23.7398,0.2996768264138152,7532,3953,3.593275,2462310.830175272,964.5921259831764,0.2476029023346533,1.949824383574345e-05,-0.0118971999915381,0.0043490906253629,0.0937341222049684,0.2511603434152774,2.8766583515625475
30.801,27.903,26.612,25.532,24.999,24.767,24.7098,0.2249847910632741,7865,6762,1.740205,2462832.824955695,664.4925345190878,1.7406706978388906,4.201948561085845e-05,0.0025661693334965,0.0060273655952005,0.0676853073594982,0.7488841458728732,1.1208942451089714
29.792,26.688,25.326,23.942,23.264,22.967,22.8768,0.448387152985572,7406,7126,5.04935,2462770.2675393354,108.1424524645965,0.7123928979461991,0.000188332199947,0.0035010402871768,0.0005805327526706,2.2449897093885003,0.3179683090080051,0.8862469991153228
21.252,19.993,19.579,19.48,19.473,19.468,19.8098,1.0378943812628336,7749,5001,8.333809,2462268.3798106173,238.9770592835458,0.2337522941517964,0.0001142337833193,0.0118322919804038,0.0053965240587499,0.1338072097485796,0.4375775257948441,0.5415584539845606
31.02,27.766,26.368,24.802,24.038,23.7,23.5818,0.3549385418923742,6823,3957,10.24872,2463009.3763380456,197.709232229144,2.340449468072963,4.360818663716076e-05,-0.0175901202197695,0.0075323172120916,0.2086426532143688,0.2158352120107799,1.3085339458097138
30.713,27.833,26.547,25.525,25.02,24.8,24.7478,0.2252439635393431,7861,5228,6.324341,2461665.369185128,273.58317971189024,1.078499361507946,2.8129208309988533e-05,-0.0092687142943321,0.0098490896946077,1.0441585671649587,0.8222705332027969,1.537932291013559
26.332,23.9,22.841,22.415,22.21,22.085,22.0498,0.5573822840121714,7823,7611,4.611088,2463196.918402904,53.36782932346372,0.9334139551860244,0.00049179453371,-0.0025491312371545,0.0046293606719929,2.8450217933076933,0.5140254149748361,1.7763549300550876
26.76,24.299,23.198,22.712,22.473,22.334,22.2898,0.5171936223763322,7791,3446,3.113192,2462064.547173034,1133.7838321952074,2.776140063001201,3.194556745759142e-05,0.0004613471422064,0.0167405802363708,0.4707058816193342,0.1965490456389038,2.6216818633356924
17.455,16.592,16.82,17.045,17.201,17.243,17.930799999999998,1.7444284494684452,7748,6642,5.103585,2461953.695710683,242.4986798960938,0.3340386879439103,0.000309005090272,-0.0063322833687033,0.0003628414854176,0.6056499165607316,0.7068937934114692,1.8932145374400076
30.902,27.776,26.409,25.002,24.313,24.011,23.9168,0.4179777471652248,7856,7715,3.395893,2463119.592442001,78.74869881082992,0.0825110394209166,0.0003379411811893,-0.001033390277461,0.0030046794851149,1.2920278437633737,0.9802892273715836,2.9465225570893154
27.682,25.151,23.974,23.234,22.863,22.679,22.6478,0.4223311946116059,7434,5825,4.688069,2462624.735443576,176.94314955554037,0.5154775507495133,0.0001163294491391,-0.001354579979415,0.0163044576815108,1.2307736132058642,0.4919816171920423,0.9793647197412584
29.302,26.647,25.427,24.56,24.129,23.929,23.8998,0.3141616439595366,7098,3810,4.558455,2463035.4485291685,613.8198151483901,1.573777985281216,2.6868622758454835e-05,0.015336950269165,0.0040822180054684,0.0487195680968879,0.4447008363241731,1.4183785257087933
