u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,theta_E,theta_s
18.69,16.276,15.352,15.028,14.868,14.774,14.7518,15.891070737017529,4300,2007,3.62177,2461823.8344965787,8.146813642737417,0.05733305246174525,0.21274671953189753,-0.0007218563087529145,0.0032088533502036796,80.78271114813715,17.186256791659027
19.032,16.781,15.966,15.704,15.587,15.518,15.5948,10.47497899732288,7897,6768,5.072568,2462552.2004113127,2.3123011020463267,2.7104140990461376,0.19209036198380425,-0.0006393986321347075,0.00015447120458583224,32.11308576756997,6.168614269509468
18.878,16.494,15.628,15.342,15.209,15.13,15.1698,13.141748779424358,7944,7572,8.183439,2462730.230253382,0.9978353400583173,2.794889829424486,0.344116906940555,-0.0001533915151661888,0.00023019868605571913,22.356535626041058,7.693261889539574
19.051,16.754,15.922,15.652,15.529,15.458,15.5228,11.47237041498687,4872,2730,5.840832,2462048.065204276,7.787254555653784,1.878387679256403,0.0879373979704348,-0.0005987003676778503,0.0011463156196315973,124.52853005012567,10.95071490569115
19.165,16.905,16.087,15.824,15.705,15.636,15.7098,10.43886210915014,7410,5831,5.925552,2463041.637456855,3.5673624505359305,1.7244666044223784,0.11319981535607038,-0.000444458181948803,0.00044852964503873697,57.87430993428633,6.551361198421202
18.641,15.537,14.418,13.989,13.765,13.633,13.4938,34.052826124088845,7675,1576,10.3404,2462625.7341935304,5.789106544997396,0.11888400181199987,0.12589622589751273,0.000820202420696731,0.00296521314248494,163.89234036383596,20.633427105317534
18.969,16.449,15.534,15.225,15.076,14.988,14.9918,16.075080663757635,7705,6225,3.367261,2461545.3482068875,5.3122844973304675,0.7119892869365275,0.19811129093938454,9.150160244815003e-05,0.0006233802419482959,48.974259846038294,9.70235384089951
19.243,16.988,16.172,15.91,15.792,15.723,15.7988,10.450887214168942,7874,7110,1.345779,2462281.705699877,6.751484613376154,2.120610498002284,0.24812557866782112,-0.00037899165744551027,0.00039662710807433007,24.876129258055432,6.17240396717052
18.893,16.822,16.046,15.796,15.685,15.62,15.7078,10.73132038210122,7624,6630,5.057857,2462049.643730937,3.0779220903564015,0.7048274549668716,0.15357938357480502,4.6273381015759364e-05,0.00045905075081728445,42.622011745828225,6.545862290642398
19.133,16.816,15.976,15.702,15.576,15.503,15.5608,11.820971244167511,7833,7240,3.340173,2462665.090014999,3.1265956724531945,0.8319279134818426,0.24545459500746836,0.00012206904745783065,0.0003447366914874452,28.59238999875429,7.018133507439822
18.919,16.149,15.145,14.788,14.608,14.502,14.4418,22.73281202734336,6894,3437,0.9973692,2463096.674688688,35.90111129189458,0.2570410225015757,0.15642452797504142,-0.0010956874050847556,0.0010071482292530955,98.03329951624329,15.334812602664213
19.378,17.113,16.293,16.028,15.909,15.839,15.9118,10.414853392533926,5493,134,61.02894,2461626.7156274267,3.0732828398172853,1.020824804144052,0.01717085891779929,0.009203130507577578,0.010785354083639533,513.5090870205029,8.817392086236973
19.067,16.994,16.218,15.966,15.854,15.789,15.8758,10.43886210915014,7879,6350,3.119405,2461943.6371783726,0.7541578111956453,0.08774907615368754,0.9566099168726676,0.004169689810708048,0.0022642692148211593,6.440858718775502,6.161389323556429
19.364,17.105,16.287,16.023,15.905,15.836,15.9098,10.43886210915014,7928,7895,6.967159,2461998.380094043,0.28279216160213183,2.53907059107441,1.1351499801750462,8.897645574634658e-05,4.044735359755369e-05,5.394272289762483,6.123308082782684
19.327,17.074,16.258,15.996,15.879,15.81,15.8868,10.523329303545117,7932,7336,8.610229,2461601.4935914683,1.3108607573091855,1.0783581464071155,0.19965767370578646,0.0002173968579646303,0.0002502005663029666,30.901605222574982,6.169742612513903
19.272,16.996,16.172,15.907,15.786,15.716,15.7878,11.07014121301616,7888,7274,11.61355,2462758.8521748492,0.30777324938312145,2.931852533848189,0.6669253280511503,-0.0010892338440511237,9.660492021614556e-05,9.786009638256948,6.526537688306234
19.499,17.225,16.4,16.133,16.012,15.942,16.0108,10.45088721416895,7810,2684,6.083248,2462463.2395498273,1.7429826903489447,2.4301601858305406,0.21436819282767527,0.0052399144861570305,0.0065956999221849005,29.029420849007085,6.222984486235688
19.318,16.569,15.564,15.204,15.022,14.915,14.8508,19.77666972891097,7940,7630,12.29059,2462261.1555762207,0.5379848355607287,1.9003837708232236,0.6398478409474375,0.0002825221855410987,8.820499208151491e-06,18.103082929758624,11.583218527098467
19.213,16.749,15.853,15.552,15.409,15.325,15.3428,14.830410109590826,7851,6475,5.905039,2461790.1387342107,1.1618380609558174,1.421769498311818,0.4676776649156398,-0.0014317270571836316,0.00016355169949229536,18.783570326156003,8.784656308915341
19.88,17.503,16.629,16.336,16.198,16.117,16.1478,10.59627353749579,7515,7045,4.92806,2462829.6895966413,2.211188604707949,0.8562046182205616,0.21979065207417672,-0.0002970974900196704,1.6605995741144277e-05,29.83400442249707,6.557235286004503
19.212,17.235,16.484,16.239,16.131,16.067,16.1588,10.414853392533926,7628,5054,0.6758823,2463166.4782285867,16.32071604620012,1.0382864811564025,0.21024177295965102,0.0010921483146494077,0.0019221585665404354,30.200911975229687,6.3494932786706455
18.992,17.145,16.442,16.215,16.117,16.058,16.1728,10.414853392533926,7698,3358,5.141747,2463262.9160859697,7.792254355286664,0.1822556421981909,0.05735724015408817,-0.0006735157067193542,0.0013743944138333124,109.69418331151851,6.2917556157053385
