u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
29.95,27.078,25.795,24.785,24.287,24.069,24.0178,0.2275899921605641,6017,5511,4.53839,2462798.483310362,2.8556676821761657,2.5721870301912038,0.0049573603063328,-0.4144587959732015,0.1147541538412139
30.59,27.371,25.981,24.459,23.717,23.389,23.2778,0.3569876244564637,7926,7212,10.03425,2461904.760450342,0.9873995221802836,1.5726098957714272,0.0077216138451247,-0.1263402772652068,0.4427982014074359
29.363,26.538,25.269,24.302,23.824,23.613,23.5658,0.2649434339074422,7974,7561,5.551681,2462748.334139763,1.2144060460488657,0.5959140044139228,0.0083709610496608,0.0174393048736689,0.370694649643643
31.964,28.685,27.281,25.687,24.912,24.568,24.4468,0.3214794087071949,7465,7066,4.477672,2461646.047829986,1.1232611185755583,0.0086705968117195,0.0145437754722954,0.5129150351556256,0.1966529441514265
25.056,22.814,21.907,21.595,21.455,21.362,21.3978,0.6563767071874037,7814,7569,1.899874,2462742.60886962,2.676498831227608,0.1659977052778241,0.0280591630290566,0.2563564571068533,0.1510441858627158
22.09,20.644,20.138,19.999,19.967,19.946,20.2318,0.9018891470959908,6726,5257,8.439821,2462510.665135649,0.6874332771427308,1.9340796114902008,0.0392572005363558,0.0462888608013326,2.6150823411915094
19.234,18.233,18.098,18.127,18.195,18.223,18.7198,1.45764967746429,7601,1286,8.688998,2462580.7911239523,3.8346820338704575,0.7814304432580257,0.0097762024884698,-5.983888287042193,3.787755134156448
26.239,23.776,22.657,22.138,21.879,21.732,21.6898,0.511273355936956,7593,3128,5.957056,2461840.400653704,8.410709159562739,2.522871865413764,0.0022827706427061,1.0178989833666927,0.9176327658496068
29.143,26.368,25.115,24.191,23.734,23.53,23.4878,0.2825876389511032,7881,6950,6.537365,2462250.5877576,1.8722397577092276,1.5411451123253377,0.0049761613336682,0.2354426604937786,0.4492822383358999
30.086,26.979,25.617,24.232,23.552,23.255,23.1638,0.4321685518676157,7864,7083,5.028847,2462860.134360265,1.609756377986339,1.940246075097115,0.0115310244987197,-0.3138964795227186,0.5492664957036728
28.082,25.58,24.41,23.698,23.343,23.162,23.1358,0.4094050174720271,7935,7808,10.72398,2461832.3805464483,0.3478571083012475,2.8323900144213465,0.0234928750011372,-0.1933783860591705,0.0537200037669969
31.479,28.293,26.911,25.43,24.706,24.388,24.2828,0.3627882067248962,7415,7241,4.334914,2463133.302849978,1.4697971204492528,1.596719508250655,0.0130434039142272,0.0606541693895278,0.1755965744310783
31.84,28.619,27.228,25.706,24.963,24.636,24.5238,0.3448682083946525,7813,7370,6.349385,2461873.7747309697,0.9414093937982696,0.5315738559665136,0.0125433044407446,-0.2116412454385553,0.4197741498158172
29.892,27.15,25.905,25.0,24.551,24.348,24.3098,0.2819377054169803,7936,6923,4.584906,2462122.9041763074,2.9555140407969307,0.0928855046628984,0.004453227215652,-0.2607637267817967,0.4230755049163419
20.426,19.36,19.088,19.05,19.08,19.093,19.5138,1.2579204018111254,7572,4412,7.867259,2462516.0505078286,2.77465363001672,2.5861893724040184,0.0129269820948579,1.243879880483598,0.978624759231054
30.575,27.433,26.062,24.634,23.935,23.629,23.5308,0.4042529156050983,7853,7305,5.592781,2461750.004791009,1.18015216983945,0.171637944491354,0.0132476411770234,-0.2537780692573781,0.4637272267277891
31.756,28.475,27.073,25.468,24.683,24.334,24.2088,0.3385736542044376,7716,4209,8.358203,2463102.928325653,0.4716148719655497,1.7612439044940442,0.0189080765200223,1.8589120235937315,9.831667626935683
31.709,28.531,27.151,25.68,24.962,24.646,24.5418,0.3682588230823504,6565,981,6.745977,2462879.0915591666,4.024270977715234,2.4644453435309552,0.0035097256818229,11.12696671821718,3.5031824055343788
29.95,27.233,25.995,25.104,24.661,24.459,24.4238,0.2908393469871039,6079,4125,3.355308,2462189.230908705,6.361705445728357,0.1884574300812171,0.003807166620948,-1.1507030566177812,0.6736281540145914
30.602,27.472,26.104,24.69,23.996,23.692,23.5968,0.4203907590329343,7489,4197,2.231363,2461950.144890112,12.66066473361655,2.3013199267693616,0.0033751214912719,1.241397956144973,0.5409255833531098
30.306,27.435,26.152,25.138,24.637,24.418,24.3658,0.2383159780420071,7960,7577,5.010854,2462454.63727456,1.368033201506259,2.916080990979321,0.0074185413617272,0.3370228395285211,0.0299746077743196
31.318,28.114,26.727,25.22,24.483,24.158,24.0478,0.3751052657666269,7583,5548,9.211203,2462038.921714613,2.632831822168856,2.45405266071188,0.0034646506393686,-0.7268474351069111,0.0492428368756215
25.951,23.54,22.496,22.087,21.89,21.769,21.7408,0.5683988111088485,6706,5859,10.05652,2462759.08437879,1.6093664659239428,0.9388938303471168,0.0088955695236307,0.0600465287110494,0.4827813530049604
31.155,28.183,26.865,25.658,25.064,24.806,24.7368,0.3123583793563914,7951,7333,5.287621,2463046.713494524,0.9339058854541656,1.4837297714083806,0.0135130938271279,-0.0281602318764683,0.7834864523124042
28.343,25.855,24.692,24.032,23.7,23.528,23.4968,0.4291935244825642,7955,6697,8.992003,2461604.3625022084,1.4682261593392585,1.222462032136612,0.0069414530740413,-0.3131348025464114,0.5733450416037849
31.696,28.448,27.051,25.495,24.736,24.401,24.2848,0.3436791304480415,7785,4702,5.498839,2462647.174133495,3.5570763086949144,0.5807363274279441,0.0038336916030938,-1.3339883440203804,0.8330678403742368
27.418,24.94,23.783,23.162,22.85,22.683,22.6468,0.455148547231927,7206,6884,5.264074,2463310.430875855,0.3767744913201591,1.4322622676497458,0.0540931460963461,-0.3442260284335453,1.1447496433093571
31.151,27.986,26.609,25.154,24.442,24.13,24.0288,0.3759699727084922,7896,4888,5.171778,2462766.4588549607,4.20477921660532,2.7308296146938424,0.0037192019922036,-0.7527167001721757,1.0709592990380947
31.595,28.467,27.099,25.689,24.999,24.696,24.6018,0.4019325337652232,7374,7071,4.881953,2461818.759443524,1.7783892693645893,2.4806957797410543,0.0106639087519332,0.2310455727868587,0.0799019320725866
19.165,18.148,18.089,18.159,18.247,18.273,18.8058,1.545799494227717,7945,7068,5.031641,2461868.916695699,1.9378921667948057,0.5625933306872762,0.0338927509771513,-0.0339872854165294,0.5840176113398885
17.094,16.585,16.892,17.161,17.346,17.43,18.1608,2.070871545851676,7639,6960,3.039174,2463234.2840870423,0.4034850998073306,0.8974793262673063,0.3755090430146323,-3.740595354622985,0.6911880778096839
30.842,27.888,26.576,25.411,24.834,24.582,24.5148,0.3476587472191467,7977,3524,6.362479,2462610.429288357,3.625214127656423,2.496021344265057,0.0032095220153465,-2.2284573384794544,1.1516752571576472
31.81,28.692,27.327,25.93,25.245,24.945,24.8518,0.4075239722825526,5844,4016,2.615911,2461755.353140417,9.143069531597371,0.971359621530351,0.0049523893719158,-0.7447701100434889,0.9274251634515128
