u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,s,q,alpha
28.258,25.751,24.599,23.689,23.249,23.033,22.9988,0.3781404710477008,3365,2302,8.948152,2462958.8405869044,422.58114499458566,1.9599817935135355,5.047908102810192e-05,0.0053322397995678,0.0121354956562481,1.0643872075420209,0.772377772304063,1.1860209141096556
31.498,28.218,26.813,25.217,24.441,24.097,23.9748,0.3816393617472886,7874,6947,5.201961,2461686.0277400166,83.27858789208659,1.212575932698447,0.0001900396062678,-0.0052029401165614,0.0133071935661741,3.133111192735234,0.7985260201120414,1.089901186178842
30.519,27.268,25.871,24.31,23.55,23.214,23.0968,0.4146227815831173,7861,7791,7.477608,2462958.1192726907,19.34084591715701,2.870158562113504,0.0006194753377592,-0.0008178075528713,0.0027682778900632,0.5434938443873975,0.5535288192367271,0.5528927859082116
29.91,26.74,25.363,23.901,23.187,22.873,22.7708,0.4832291904615906,7109,6847,7.789291,2462630.1942268023,73.1735428718599,0.2911348983445131,0.0002025720162054,0.0004484299718048,0.0034200240143275,0.7943407526015707,0.9866842637603094,0.7320280881569327
30.717,27.726,26.402,25.168,24.562,24.298,24.2258,0.3034961322919948,7874,3579,5.439905,2462932.9451046945,394.9878629321018,0.2634032162365337,3.046979272763497e-05,0.0172257962468714,0.0193508977020182,1.186363512209502,0.214419275139151,0.7132216054067934
30.955,28.031,26.731,25.635,25.096,24.861,24.8038,0.2183499822055512,7755,6416,4.934172,2462687.587835418,97.9681308348526,1.5884960980484677,9.893707533177273e-05,0.0162390034313366,0.0122381166753359,2.290973217260069,0.3726355142415921,2.369314417445554
27.819,25.347,24.216,23.427,23.042,22.845,22.7998,0.430678469332503,7832,6188,5.86548,2463206.081710542,223.90591751566964,1.245373847369946,7.112105138342368e-05,-0.001475329119171,0.0093180159304863,1.1259574820562548,0.4457650300307715,2.117259883331259
29.928,27.041,25.754,24.706,24.189,23.963,23.9078,0.2541868978067999,1238,842,10.58594,2461690.856979365,632.2171303019062,1.1753780278462955,5.211030857009313e-05,-0.0117985517981501,0.017048203683705,1.4953089286365004,0.5500353800847149,2.724090825635238
30.845,27.591,26.192,24.628,23.866,23.529,23.4118,0.4075239722825528,7721,7287,2.70511,2461680.597520047,212.92483091550704,2.5102967922676958,0.0001556521713333,0.0037628863383459,0.0031253697606471,0.8168579397481163,0.4224802347240727,0.6213005660388355
29.76,26.901,25.624,24.615,24.117,23.898,23.8458,0.275202998106558,7838,7740,8.517275,2462398.3263637223,44.95687088543673,1.657726328445959,0.0001557535565647,-7.69954960636985e-05,0.0015389711685175,0.800242532468974,0.2400908004646288,0.5412764406333769
26.768,24.292,23.181,22.544,22.227,22.056,22.0008,0.504258422510444,7480,7169,5.174383,2461995.3706209934,128.44672918926804,2.673529119881638,0.0001722886856193,0.0028179892627079,0.0014890120380093,0.0223911623717939,0.1525854237805004,2.396387346849137
30.852,27.694,26.318,24.871,24.164,23.853,23.7528,0.4793504736799818,3828,3307,5.555562,2462165.119735674,335.4712916204673,1.8870288483710969,0.0001141260242418,-0.0033223360786905,0.0073495932470019,0.9060225398880812,0.6606055533293358,2.720086573707968
32.056,28.752,27.344,25.721,24.932,24.581,24.4548,0.370384804468951,7890,7650,3.155319,2462728.9817665494,192.97223724171948,0.8066932107976961,0.000130955839528,-0.0021753417585238,0.0009782997957581,1.3286990928552602,0.3701260797528802,2.276140557863028
