u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
28.258,25.751,24.599,23.689,23.249,23.033,22.9988,0.3781404710477008,3365,2302,8.948152,2462187.1809934657,477.67821859215536,0.4694316374488579,4.465664756915105e-05,-0.0029045190580152,0.0113609848281873
31.498,28.218,26.813,25.217,24.441,24.097,23.9748,0.3816393617472886,7874,6947,5.201961,2461929.956550939,259.3660241908497,0.0851519218932238,6.1018902159319056e-05,0.0044534403898004,0.0011018438412074
30.519,27.268,25.871,24.31,23.55,23.214,23.0968,0.4146227815831173,7861,7791,7.477608,2462185.5279131625,40.42869007248963,1.870705073749536,0.0002963533331304,0.0009614573731731,0.0009912154038668
29.91,26.74,25.363,23.901,23.187,22.873,22.7708,0.4832291904615906,7109,6847,7.789291,2463127.834965396,104.51836369024508,1.3898512490587922,0.0001418211268249,0.0007660344459239,0.0022901408293517
30.717,27.726,26.402,25.168,24.562,24.298,24.2258,0.3034961322919948,7874,3579,5.439905,2462538.114621188,163.45584994521607,0.5073694600404235,7.362965790154563e-05,0.0169881154507614,0.0602553597835199
30.955,28.031,26.731,25.635,25.096,24.861,24.8038,0.2183499822055512,7755,6416,4.934172,2463158.001519986,284.22621394315047,1.677602339202784,3.4101992937426445e-05,0.0022755777917226,0.0066291479705475
27.819,25.347,24.216,23.427,23.042,22.845,22.7998,0.430678469332503,7832,6188,5.86548,2462171.189538928,306.9858769987931,1.498718310768441,5.1873475159077655e-05,-0.0065062134472704,0.0022397266565017
29.928,27.041,25.754,24.706,24.189,23.963,23.9078,0.2541868978067999,1238,842,10.58594,2462666.669964086,562.582293376713,2.766059690535298,5.856037442200594e-05,0.0124775733556615,0.0196762122484852
30.845,27.591,26.192,24.628,23.866,23.529,23.4118,0.4075239722825528,7721,7287,2.70511,2462749.4684865074,306.5838280746541,2.774069286087861,0.0001081016323362,0.0030403364249898,0.0015157331085256
29.76,26.901,25.624,24.615,24.117,23.898,23.8458,0.275202998106558,7838,7740,8.517275,2461876.20549538,54.53927030435491,0.1321509679884941,0.0001283880861139,0.0006229847310559,0.0011068914821512
26.768,24.292,23.181,22.544,22.227,22.056,22.0008,0.504258422510444,7480,7169,5.174383,2462261.31406433,126.19032284008088,0.0194706556724623,0.0001753693757655,0.0022957985911827,0.0022921725211545
30.852,27.694,26.318,24.871,24.164,23.853,23.7528,0.4793504736799818,3828,3307,5.555562,2463327.6953834365,417.5642951192337,0.0976863752668458,9.16888852984934e-05,-0.0002195632052324,0.006476211447491
32.056,28.752,27.344,25.721,24.932,24.581,24.4548,0.370384804468951,7890,7650,3.155319,2462741.3101137737,93.80038689783572,1.7221175406445113,0.0002694108432741,-0.0009963448728616,0.0048047728886537
30.659,27.79,26.509,25.484,24.978,24.756,24.7038,0.2521466258082346,7240,5807,3.529914,2461694.5934043285,558.2123121933794,0.0461451496308269,3.0021879301744307e-05,0.0019575547354179,0.006007131608551
22.596,21.018,20.472,20.329,20.295,20.274,20.5538,0.9411376787058192,5438,4840,4.281395,2463124.077392881,339.5088991410593,2.7721112544349,0.0002022387226495,-0.0006933575231534,0.005666876430145
