u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
16.838,16.218,16.508,16.766,16.937,17.007,17.7288,2.307560843313178,7986,7824,10.9391,2462865.813202394,0.1613673485054447,2.337343091513416,0.2780439281298397,0.5354086962543327,0.0338144102873156
16.852,13.703,12.301,11.277,10.797,10.429,10.0508,259.21084084846234,7661,7445,6.042604,2462170.348277979,1.0118246104592428,0.2320967073524441,9.399941312156052,-0.0888814163804509,0.2080467830105516
30.582,27.864,26.616,25.761,25.335,25.139,25.1088,0.2783896986353202,7981,7535,5.636329,2462753.3339519016,0.2677555197912605,0.181283965151891,0.0392597832762297,0.3505188355049976,1.760381594537906
12.933,12.382,12.685,12.951,13.128,13.207,13.9368,2.5772298979140063,7544,4965,7.587925,2462047.2020455324,2.072890917432742,0.2919345599437576,0.036892562253653,-0.9402072694786138,1.2932477622551046
23.96,21.664,20.708,20.369,20.213,20.11,20.1138,0.610454305118254,7957,7506,5.808263,2462413.43733826,1.485346679172551,0.0073964993331924,0.0151048534488147,-0.1362740399118825,0.2891950243273176
24.548,22.182,21.163,20.776,20.592,20.477,20.4578,0.568398811108848,7980,7245,5.776571,2462588.9539342797,1.9387161954379148,0.0157366553300335,0.0108032078416924,-0.3502701909751533,0.2218600206697427
16.363,15.521,15.758,15.987,16.143,16.186,16.8778,1.8670380154292987,7907,7899,6.055031,2461633.8307787734,0.0820579722165408,1.9933958964210643,0.8072184624393206,0.0786875613054559,0.051711484136648
14.267,13.803,14.116,14.387,14.569,14.658,15.3938,3.2037097346765018,7842,7675,2.354028,2463227.770245484,2.0703353650289587,0.2815252085012767,0.1423838768658837,0.2028209347418594,0.0458794524019005
31.367,28.397,27.08,25.91,25.335,25.084,25.0178,0.2156021864948114,7988,7957,4.785412,2463138.2677624305,0.2660449705919263,0.2502440399143274,0.0360103657968818,0.1299476920115561,0.0518857803940029
29.277,26.649,25.426,24.611,24.203,24.011,23.9918,0.3116399750193809,7147,7092,3.899943,2462561.9019319904,0.8723989279210806,0.1626126141700978,0.0217692171680007,-0.0036499394541953,0.1164323692879199
21.483,20.281,19.886,19.791,19.784,19.78,20.1248,1.02483314031274,7906,7208,16.3416,2462575.515650981,0.0717678096675067,1.591289987948212,0.1877409015208033,3.7635763696270046,0.6218671958339793
29.388,26.759,25.535,24.718,24.31,24.118,24.0988,0.3105654653587114,7666,7131,3.175221,2462816.4438606305,1.391722866455946,0.0946104069569427,0.0155720016391563,-0.7377807400727995,0.331675184875106
26.977,24.552,23.476,23.047,22.838,22.711,22.6738,0.5329091300774963,7512,7271,4.559031,2463294.5839328063,0.8455777448999768,0.2780287387240765,0.0312577928104657,0.3802985476388352,0.1736128269290228
24.342,22.463,21.76,21.537,21.45,21.394,21.5448,0.7322395135938843,7584,7485,5.896813,2462139.4101842903,0.6737273011672057,0.0851492821956713,0.0412800438908622,-0.0965902573968548,0.1279776537221703
19.058,18.046,18.137,18.288,18.415,18.445,19.0638,1.5836279598543543,7880,7803,6.687999,2462551.4309578906,0.2076774005841764,1.9380210492052687,0.245769689349817,0.189839100581889,0.2690865552312265
17.336,16.629,16.904,17.153,17.317,17.376,18.0878,2.11910834078363,7283,7077,2.967681,2462958.3125478383,0.2434933491402179,2.5634049561344545,0.6839515645777617,1.650106302999898,1.1654798121554588
23.913,22.213,21.591,21.402,21.335,21.293,21.4968,0.7855126092971523,7493,7422,3.296387,2462218.261330205,0.6900826088928516,0.2765012373783636,0.0782789458870418,-0.0780812312235644,0.1895368296447788
20.167,19.144,18.986,18.999,19.055,19.075,19.5418,1.4326930722149616,7922,7561,10.24665,2461797.6918386607,0.5681602366310335,0.1224374482475501,0.0527657846700781,-0.358845227316216,0.1191867084867542
18.037,17.266,17.525,17.764,17.924,17.975,18.6788,1.989084168922059,6923,5668,9.304554,2463330.5102236136,1.564981231386502,0.0888241713078421,0.0335151332949435,0.410235983583369,0.6894184069462638
