u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
30.418,27.601,26.283,25.54,25.171,24.992,24.9708,0.2158505506275854,6203,5568,1.87217,2463276.242394412,0.4517947811519813,0.1232485921746997,0.0698798081443488,1.6362771285845488,7.768745651885028
30.865,27.626,26.219,24.981,24.383,24.124,24.0308,0.3955060769916917,7642,6553,9.738557,2461981.1597842006,1.6928966189071704,0.0270118272962124,0.0053322179838032,-0.1138444937077665,0.4681327659813514
31.252,27.988,26.576,25.311,24.701,24.438,24.3398,0.3807616155724684,7829,7812,1.510049,2463042.4761817963,0.3785572512532981,0.4604175612565392,0.1445143833774781,0.0528064969570237,0.1695699473194739
17.917,16.927,16.964,17.085,17.2,17.231,17.8208,1.382461867131729,7957,7912,3.227812,2461818.340575031,0.5847884233617363,0.7202502710353068,0.1563448644434441,0.0491561395455257,0.1292822671824103
32.416,28.775,27.301,25.538,24.724,24.369,24.2118,0.2996768264138147,6284,367,43.03013,2461596.033286674,2.3627991518938525,0.000417043169858,0.0007967174621423,-2.1022999129422626,8.974052607740882
19.497,18.517,18.369,18.384,18.44,18.463,18.9338,1.3006281844008003,7693,7630,5.876452,2463235.715594634,0.3235539418153144,0.0229545551867735,0.1510366540730574,-0.1715358241696801,0.1143943208789596
15.153,14.95,15.305,15.603,15.822,15.943,16.698800000000002,2.355879975996213,7667,7604,6.962131,2462491.2266797726,0.2100860146730904,2.52217871329115,0.3568413553182049,-0.0008845422755519,0.2698494493002373
30.089,26.979,25.612,24.453,23.887,23.64,23.5618,0.4301829177379895,7815,7417,3.095981,2462088.0312675927,1.3687936945386732,0.1216571504157221,0.0220635154808793,0.1467886055561733,0.573313242352293
30.745,27.588,26.206,24.991,24.4,24.142,24.0568,0.4509757202689275,7941,7705,6.054374,2462802.207918816,0.8645356037539906,0.0756844177827501,0.0184294617786142,0.2673151745785064,0.0314157184544734
15.912,15.416,15.723,15.992,16.179,16.264,16.9948,1.8778165435190104,7777,4897,5.610582,2462997.6421851907,4.7490441186145,0.1285036208158047,0.015392662940837,1.0337799838928956,0.0769003094322494
27.511,25.102,24.003,23.543,23.318,23.185,23.1558,0.4832291904615902,7803,7242,3.688029,2463064.921704325,0.1440170859494711,0.6091423264586932,0.1980478004211341,-2.44803844869988,6.372903666617786
30.012,26.823,25.434,24.135,23.505,23.231,23.1378,0.4199070447871761,7778,7389,4.99563,2462282.1100463,1.801730147052132,0.0811471466220737,0.0101880725193766,0.1993175549104143,0.1889824808492314
31.491,28.246,26.843,25.481,24.822,24.537,24.4348,0.375537370354923,7790,7462,8.048078,2462993.2614149614,0.0325736901958836,0.4112343872658315,0.3123513452749878,1.186654198440642,7.771548879357314
31.939,28.672,27.265,25.878,25.209,24.919,24.8138,0.3648826058986065,7904,7842,6.148677,2462861.0155688324,0.1579006399896936,0.1545031908763871,0.0807657955925923,0.0978194045749915,0.3633710273102514
10.961,11.048,11.467,11.806,12.062,12.22,13.0118,3.3316023585529595,7604,7229,5.412568,2462613.743668437,0.7798654213607433,0.1237500898720245,0.1763091446597872,0.5638204915864606,0.1748402762787667
30.212,26.989,25.593,24.231,23.571,23.285,23.1858,0.3825191313360142,7939,7761,2.720523,2462545.6618665624,1.315646842947373,0.1867461808863511,0.0228655917413503,0.2149319375914414,0.2017778901102135
32.285,28.764,27.314,25.594,24.782,24.425,24.2768,0.3181655551989608,7840,7739,8.41511,2461668.828901654,0.2573782633197717,0.2908504465988615,0.0318267469153044,-0.145068768929725,0.2403348258578275
29.546,26.89,25.646,24.865,24.475,24.288,24.2718,0.2881729158265748,7675,7534,5.486137,2463203.6610098365,0.2732469011163129,0.3124165941452145,0.0425441350587693,0.4818709880062942,0.3475543061971785
30.955,27.694,26.292,24.861,24.171,23.87,23.7628,0.362370771707557,7937,7299,8.861806,2461964.491690139,0.4599397804580744,0.0616420495351683,0.019026564799565,-0.8009821900002941,0.5765204342457715
21.528,20.334,19.934,19.833,19.822,19.817,20.1548,0.9742112958791116,7830,5500,3.410006,2462759.677500351,3.275036660764333,0.0183217072882482,0.0189237370910108,1.523342427890513,0.9003085441563153
31.733,28.807,27.5,26.501,26.009,25.791,25.7348,0.2391405153755519,7656,7295,8.936805,2463151.8422336937,0.9280589043550238,0.0034594362330342,0.0063970571149111,0.2752018800391755,0.072732338758527
23.64,22.032,21.436,21.253,21.191,21.151,21.3638,0.8168704029211121,7538,7159,2.745677,2462062.386347893,2.578739026783007,0.2567155147573126,0.0259972257230137,-0.2249602021808051,0.2839923208269008
19.364,17.268,16.442,16.165,16.046,15.967,16.0398,0.6533609301576982,7899,7651,7.993168,2461618.5817811918,0.1821288005987965,0.7358418515655007,0.0965095508261531,-0.8637504937255731,0.5603038439620958
31.056,27.517,26.069,24.272,23.42,23.041,22.8868,0.293868584359273,7853,7603,9.751517,2462344.1734193508,0.6505765985639743,0.030740644448958,0.0100192164642079,-0.0805721906616029,0.2272042218177148
17.812,16.825,16.79,16.871,16.967,16.999,17.5498,1.4244695199323356,7761,7328,3.702359,2462639.824099163,0.0410873900504655,2.447479883162641,2.049440010402505,18.107864331062448,2.5063237062800288
20.484,19.243,18.821,18.712,18.696,18.687,19.0138,0.9575317005575618,7804,7590,5.954996,2462938.808998601,0.9961441207596068,0.1644136782076457,0.0351333098492267,-0.0112394293086223,0.2221704439454765
32.247,28.69,27.239,25.422,24.561,24.177,24.0188,0.2905046984908136,7927,2742,5.010719,2461816.1334971823,9.55700824684763,0.003303644664293,0.0012998975030759,-0.1130756562860535,1.815935149191397
29.509,26.567,25.257,24.208,23.691,23.464,23.4048,0.2848742277366737,7891,3480,5.615584,2463055.905528237,4.063184558093681,0.0217391455663024,0.0026874875196522,0.0416140814534127,2.5709737042913443
31.269,28.357,27.055,26.095,25.623,25.414,25.3628,0.210937192237083,7767,7381,8.830403,2462420.485479544,0.2079917166598718,0.2149626184983532,0.0251165571334626,1.3349218058778616,0.104500140983303
15.908,15.472,15.788,16.063,16.257,16.35,17.0868,1.9867954688784693,7900,5919,6.967281,2462172.819332055,2.8964036310134667,0.1354752774536506,0.0211685190416068,-0.5791762946713078,0.502516524352567
