u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,m_planet,m_star,t0,te,u0,rho,piEE,piEN,s,q,alpha
27.94,25.112,23.791,23.052,22.687,22.509,22.4888,0.2047166475288669,7708,3337,1.752341,0.549385995482032 jupiterMass,58.22659005244498 solMass,2461740.687465243,1871.0726638030148,2.543373372437856,1.3759067289464777e-05,-0.004002047089786462,0.01850271195274297,0.5747499798741171,9.006893638083202e-06,0.08056740880094528
32.152,28.801,27.358,25.353,24.371,23.905,23.7048,0.2565388602143918,5443,3490,3.36806,10.64553018551561 jupiterMass,68.38907962229482 solMass,2462676.8788514114,820.6732166411963,0.5118733071451005,2.8963534757897683e-05,0.011864311464246019,0.0066186459137250134,0.9363542306015609,0.00014859333959111709,0.9924858665306061
29.916,26.583,25.143,23.976,23.416,23.174,23.0758,0.3777053712534893,7715,4581,6.920123,9.77294829781251 jupiterMass,44.89053529582336 solMass,2462458.963266679,300.54899583284964,0.9976276089486413,3.9982960815440486e-05,0.0058813552732679495,0.014419383677764769,0.638608439721963,0.00020782109263108175,0.6630022260232044
19.718,18.786,18.695,18.736,18.808,18.839,19.3448,1.236383386855867,6055,2758,9.62659,7.68681177726562 jupiterMass,20.17235252039844 solMass,2462700.9404962934,216.12013833148092,0.6924854212776204,0.00016670864324062654,-0.03295526996008834,0.010737347517472653,1.7642811543003503,0.00036375460882736573,0.9620077166293105
28.293,25.58,24.286,23.587,23.239,23.064,23.0568,0.2320882537441964,7359,6834,6.34443,2.247921215341602 jupiterMass,1.208548896185417 solMass,2462502.5782793504,18.46982060653714,1.1730611608751977,0.0004571575394579983,-0.008160329655918237,0.031498846203047035,10.707425035038684,0.0017755612845747795,1.132549391458668
29.043,26.111,24.774,23.972,23.577,23.389,23.3508,0.2353169229669843,7353,7332,9.804669,1.0766474121250613 jupiterMass,24.140793172729293 solMass,2463303.0014564353,10.30916300505963,2.439534242278173,0.0005377978572053506,-0.0008523990399596922,0.0011201044908876778,5.1165829941224965,4.2573638913968756e-05,2.818096733844541
29.051,26.223,24.904,24.156,23.785,23.605,23.5828,0.2131342086742481,6326,3573,1.706159,4.782490134509439 jupiterMass,55.63615814238996 solMass,2462766.6356935864,1590.3916302823616,1.692124505782754,2.1090516048274262e-05,0.015342281174676033,0.005780093262307864,0.7935454687360408,8.205702296578055e-05,1.6500781623296115
30.418,27.601,26.283,25.54,25.171,24.992,24.9708,0.2158505506275854,6203,5568,1.87217,8.748301220529395 jupiterMass,33.09590961607986 solMass,2461968.240275403,434.34839256919105,1.943489832491342,7.26866569961791e-05,-0.007886128998394885,0.0024505033167255613,0.8545517428771363,0.00025232960806995753,2.524365115764269
31.947,28.15,26.643,24.738,23.883,23.507,23.3248,0.2911743809835831,7516,6965,3.480841,6.05930578652858 jupiterMass,90.4421513301403 solMass,2462771.6883534947,292.1744207541902,1.1057952068922239,6.470335910865416e-05,0.0036970803337899034,0.0007880568897961728,0.9572742503305852,6.39544535441578e-05,0.5910273848868056
20.543,19.505,19.164,19.079,19.078,19.08,19.4408,0.9008514063294036,7772,1832,10.36338,2.959952524295291 jupiterMass,87.28864598798087 solMass,2462657.3940971848,606.9511955395318,2.0288117375394803,3.130055157294566e-05,0.007772047787527972,0.02294437520367198,0.7880452136597952,3.237023075033487e-05,0.9911835699978232
