u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,s,q,alpha
27.94,25.112,23.791,23.052,22.687,22.509,22.4888,0.2047166475288669,7708,3337,1.752341,2462616.141876985,2430.1513298247432,0.1564215690231133,1.0593667303262304e-05,0.0111888919349812,0.0093408598403348,0.5043538161228814,0.2032123760054526,1.2606679844361215
32.152,28.801,27.358,25.353,24.371,23.905,23.7048,0.2565388602143918,5443,3490,3.36806,2463108.880479536,675.9660228082604,1.3725381543633035,3.516389349913419e-05,-0.0026973738869423,0.0162718696519838,0.547932631025223,0.1979880168732244,1.7286264755867085
29.916,26.583,25.143,23.976,23.416,23.174,23.0758,0.3777053712534893,7715,4581,6.920123,2463064.689576103,476.709804907891,1.295582595939064,2.520786986084057e-05,0.0095909898350079,0.0020992751611355,0.3864261220652811,0.4153651052684307,0.1769742488352964
19.718,18.786,18.695,18.736,18.808,18.839,19.3448,1.236383386855867,6055,2758,9.62659,2462913.981138714,171.19772582817046,0.2900379384669427,0.0002104531170839,-0.0297859820923082,0.0320518062770783,1.823351048494769,0.9712996669399792,0.7549176324403909
28.293,25.58,24.286,23.587,23.239,23.064,23.0568,0.2320882537441964,7359,6834,6.34443,2462447.8684542263,160.21228588668174,0.2732202952759254,5.270268566473941e-05,-0.0009357126043885,0.0036325962744505,0.7503208588434709,0.1747833327530477,1.0883616166459793
29.043,26.111,24.774,23.972,23.577,23.389,23.3508,0.2353169229669843,7353,7332,9.804669,2462587.518305726,22.863938403657805,0.2483829934055792,0.0002424886594697,-3.089221882898838e-05,0.000633903894853,1.3987116628512928,0.7499715945366545,1.861422872749428
29.051,26.223,24.904,24.156,23.785,23.605,23.5828,0.2131342086742481,6326,3573,1.706159,2462039.419639612,2169.5166380585924,0.9770701060163774,1.546066972389143e-05,-0.01060875827644,0.0056479707144807,0.0647840938183116,0.0239864772700243,1.427492757702472
30.418,27.601,26.283,25.54,25.171,24.992,24.9708,0.2158505506275854,6203,5568,1.87217,2462719.943576821,737.9702817267573,0.6908973267403629,4.278130625212388e-05,-0.0047992615578194,0.0007689692737456,1.0943027553107656,0.640217222204663,0.8844749135620483
31.947,28.15,26.643,24.738,23.883,23.507,23.3248,0.2911743809835831,7516,6965,3.480841,2462140.2488875147,225.3331953118484,0.504938550427338,8.38965002127556e-05,0.0026418153482945,0.0041285618629313,0.649644568352482,0.4699074909510317,0.310323981094075
20.543,19.505,19.164,19.079,19.078,19.08,19.4408,0.9008514063294036,7772,1832,10.36338,2462783.305191861,385.82129226897297,0.3800482042589869,4.924017305141848e-05,-0.0376111269403419,0.0061417171041827,0.5345878132159858,0.3237628159657041,2.776374779167836
