u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN,s,q,alpha
30.156,27.276,25.99,24.968,24.464,24.244,24.1918,0.2289038835238722,7824,6459,5.961816,2462109.762635394,295.5138339675543,0.9168406767376236,2.820686047636666e-05,-0.0029703095492835,0.0047471043156033,0.5241911808970698,0.2365635068189361,3.0039639516243626
31.796,28.568,27.176,25.644,24.897,24.568,24.4558,0.3573988583275141,7856,7731,6.501677,2461762.211827568,34.993374222487795,0.5188022062859587,0.0003396466149946,0.0021242747999062,0.0025307049984261,4.749367004264071,0.7657073335428385,1.7947640026200784
17.237,16.487,16.752,16.997,17.162,17.216,17.9228,1.8350722204533647,7927,6294,10.61566,2462275.7825383926,95.11501689492076,0.6618828945214361,0.0003894350431733,-0.0112550520032314,0.0036749011659056,1.205504096935461,0.1845681395491069,0.4893742342016665
31.712,28.416,27.01,25.392,24.604,24.253,24.1268,0.3421000682786426,7928,6949,11.00274,2462509.292540273,96.241726272386,1.2388313669111646,6.92168897653516e-05,-0.0061272885622874,0.0001634016696834,0.7644627282102847,0.971842906477074,0.4740697515397469
31.138,28.004,26.634,25.216,24.521,24.217,24.1208,0.4184592389459038,7889,4283,6.028533,2461608.9964423683,210.00655911290332,0.055810911512471,7.116615774458382e-05,0.0297083152359098,0.0080872729099744,1.4789979214664954,0.801077506201983,1.9730329463658476
28.674,26.147,24.968,24.171,23.776,23.583,23.5618,0.3798858881578302,7796,2943,4.059637,2462791.57436153,941.3828246064488,1.560406650855847,2.165781670549789e-05,-0.0176551926063856,0.0098469023836774,0.8872537664679685,0.3543627953992375,2.82160041839671
31.817,28.599,27.21,25.691,24.95,24.624,24.5128,0.3632061226088153,7917,7440,4.517968,2463289.190926203,79.45407517778581,0.614431234485835,0.0002170800956776,-0.0078526439679633,0.0024959931824939,1.891027413841457,0.6453268752008917,1.657981132027932
21.276,20.088,19.719,19.639,19.643,19.644,20.0118,1.1082893523494812,7895,7689,8.273539,2462154.6504931846,78.85867142707797,2.9838227158154957,0.00036546607411,-0.000210299507939,0.0018880663734088,1.2365614585266196,0.3975584905797781,0.937680766481431
18.049,17.042,17.097,17.229,17.347,17.377,17.9748,1.616788311718752,7443,4715,7.013225,2462488.135419322,231.30783149675227,0.0900964388714873,0.0002274489039715,-0.0114356458245797,0.0132498613401825,0.8068468734110548,0.6332878564162894,2.6844101556081936
31.215,28.325,27.036,26.0,25.49,25.267,25.2138,0.2203703497157452,7694,7479,2.713901,2462598.636747984,102.80289721510884,2.41509228640511,0.0001743766939635,-0.0048910945795551,5.5097060151291565e-05,2.557510173869346,0.9537034614750864,1.7939337495953385
30.581,27.765,26.5,25.554,25.087,24.88,24.8328,0.2619106514982379,7972,1549,4.163381,2462930.9185231794,1575.1970076749772,2.7253449498604456,8.509257237225537e-06,0.024826410200859,0.0149275789012219,0.1142197561812667,0.1696726655967185,2.6239684037809496
