u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,m_planet,m_star,t0,te,u0,rho,piEE,piEN,s,q,alpha
30.802,28.0,26.74,25.796,25.329,25.122,25.0748,0.2806423193277209,7835,3924,13.20024,5.979656774525842 jupiterMass,32.892879483564 solMass,2462553.408468453,161.53695889161008,2.413046266436968,2.853298749268261e-05,-0.013746879271598577,0.016906371595158065,0.5344580736312882,0.00017353743325908093,2.831181903168668
20.144,19.121,19.006,19.051,19.129,19.156,19.6718,1.5351582853585075,7887,7605,9.244699,4.43310399922582 jupiterMass,63.262232562494944 solMass,2461557.251667529,61.49194448146729,2.372084403299433,0.0005815902725978528,0.0021634791962003453,0.002108172874490637,0.1792580718660532,6.689323700466679e-05,0.6194828792536182
30.524,27.729,26.47,25.506,25.028,24.816,24.7688,0.2945460214098367,7899,7385,8.420053,2.6816954450964117 jupiterMass,101.20694295044515 solMass,2462388.926228959,116.90181886319618,2.7914693505080788,6.434751346400885e-05,-0.0032605756506800944,0.0002427574339357606,0.6007673595353565,2.5294025632256065e-05,2.409743689084711
27.813,24.514,23.111,21.49,20.702,20.353,20.2298,0.3569876244564643,7378,3380,9.841475,8.313628547815087 jupiterMass,40.610537698235525 solMass,2462213.0633908315,270.2716676974415,1.3764919201897408,3.089872868023084e-05,-0.021112214987103566,0.0062394483886890305,0.7675662478476896,0.0001954207534526653,0.28643161144886575
24.613,22.075,20.904,20.028,19.601,19.394,19.3698,0.3691077473438424,4787,3953,5.150851,3.582425143052323 jupiterMass,106.0622484618027 solMass,2462220.9402803173,437.5236449331571,2.2176049812710343,5.8116042644838274e-05,0.0008946568074863814,0.007086831589277195,0.6976201273800634,3.2242974618967054e-05,1.9165180493870402
29.717,26.632,25.236,23.181,22.108,21.578,21.3658,0.2466909178647102,6694,1672,8.879237,7.694477101159798 jupiterMass,60.70332326667843 solMass,2463058.3095884654,612.6880607806157,0.5419475060008124,1.1506392998220141e-05,0.017160443027250987,0.02475977888369107,0.66159205646255,0.00012100002238605707,1.0716490706318031
13.546,12.875,13.161,13.418,13.59,13.655,14.3738,1.9982653642918724,7916,5084,7.717345,3.7913712224448783 jupiterMass,12.733358748799924 solMass,2462091.693306919,127.86787238636022,1.8125020675949277,0.00043451506330812297,0.0036059683704406627,0.02579528236618876,1.6009076693461746,0.0002842314568514149,0.45625718228399237
27.974,24.992,23.672,22.447,21.846,21.584,21.5148,0.303496132291995,7952,7445,7.830667,5.702602546416318 jupiterMass,42.330966220068284 solMass,2461965.712368675,80.14877621626196,0.3483200165002366,0.00010329230142404042,-0.0049543270666550605,0.0005412978411944792,0.578154875603669,0.00012859785626265883,1.6005628319444074
30.273,26.842,25.419,23.64,22.777,22.389,22.2408,0.2848742277366738,7190,4051,8.09609,6.2923062680890025 jupiterMass,68.69422739288493 solMass,2462076.526808066,350.3152687436313,2.731209456677391,2.3728850070832563e-05,-0.01387272088568745,0.0004151353547757102,0.22326480181389652,8.743965118834633e-05,1.0484113970034863
25.315,22.836,21.692,20.959,20.597,20.411,20.3728,0.434663488144918,7685,7563,6.447042,12.52890123760428 jupiterMass,44.168065889454084 solMass,2461930.7530870046,49.234395243288034,1.443384934060048,0.0003026683419929354,0.0004490947638412606,0.00237324830917017,2.9902774404264947,0.0002707842564200633,1.1416957004767883
