u,g,r,i,z,Y,W149,radius,D_S,D_L,mu_rel,t0,te,u0,rho,piEE,piEN
20.045,18.583,18.065,17.924,17.89,17.866,18.1358,1.0331256897477346,7891,6750,2.465142,2462348.6450392706,2.2247682982387627,0.0011747508979763,0.0405490986498613,-0.8468366759415787,1.1481111808933049
26.399,23.92,22.779,22.04,21.676,21.488,21.4468,0.4402031651201729,3266,3068,6.240765,2462901.7764294394,1.919470031754742,0.0793608843476104,0.0191119337441328,-0.6022634281750073,0.0172575528072446
16.204,13.873,13.047,12.791,12.678,12.612,12.7038,18.79979704685985,7506,7374,8.045175,2462632.4543194287,0.3373689982861755,2.427303500370626,1.5674393655475924,-0.2140905918891951,0.2390857273719921
14.448,13.579,13.816,14.043,14.182,14.22,14.9148,3.891823721558428,7686,3360,9.653369,2462539.9178198334,2.367401712203963,0.1389772792491556,0.0376347236922635,-1.6576777982324442,2.1023040772299235
26.288,23.817,22.684,22.021,21.691,21.515,21.4648,0.466286842488376,7759,7700,8.877585,2462728.746354826,0.3320595873278628,0.1685315086230997,0.0346276773187799,0.1194615914329817,0.0264685196335028
29.138,26.281,25.004,23.997,23.5,23.282,23.2308,0.2586146724580083,7928,7914,3.224781,2461972.959343202,0.0200077346824443,1.3613804494790198,0.8587726195482044,1.01697751320336,0.7492296554212815
19.38,18.202,17.862,17.799,17.816,17.822,18.2158,1.234960766960945,7945,7555,10.62343,2463314.955219432,0.6731890837094748,0.2126128679936275,0.0369185172064059,-0.2298913629004866,0.2393024620216444
16.347,15.357,15.52,15.711,15.851,15.879,16.5368,2.119108340783627,7806,7138,10.26282,2461781.2864353624,0.3132211488708633,0.3021360444811801,0.1434477166815025,-0.7079303016191906,1.163807789281548
30.946,27.902,26.559,25.254,24.613,24.334,24.2528,0.2151063152261555,7828,7642,7.651186,2463311.7128836038,0.2633489836616716,0.1043283178080429,0.0231648105848377,-0.0143079389500669,0.5634364356537142
30.264,27.329,26.025,24.906,24.355,24.116,24.0568,0.2156021864948112,4045,2827,5.727997,2461717.5009682765,1.2687040721516771,0.0423195043448265,0.0124582871070369,-3.5962980885267166,3.9655491694203073
27.262,24.777,23.631,22.855,22.475,22.281,22.2428,0.4252586545984403,7500,7458,5.161834,2462023.48105199,0.5564358000483425,0.0375961509256469,0.0335320122050888,-0.0817124320120123,0.0494017388024185
16.975,15.94,16.019,16.169,16.294,16.322,16.9398,1.899560634293172,7822,6541,7.658926,2462525.441566888,2.3085645276286955,0.139586817329161,0.0233298675689663,-0.4510121026731324,0.253169889049935
18.862,17.826,17.7,17.74,17.816,17.842,18.3538,1.6242510674902075,7517,7081,4.35874,2461915.6316538183,0.5494199442553664,0.0746344554847857,0.1532604308140262,0.6779026496901877,1.049398695587607
23.067,21.171,20.452,20.221,20.13,20.071,20.2138,0.8330156504224789,7863,7840,6.609992,2461522.331713147,0.2849596241493907,0.2903546987434536,0.0955360844970334,0.0292485781885599,0.0661726860969189
29.469,26.723,25.483,24.557,24.1,23.893,23.8508,0.3041957631326498,7939,7057,4.826283,2463043.664686948,2.104632059782986,0.0135837205481942,0.0064074497504857,0.3571246808185083,0.4392238043351164
15.634,14.307,13.91,13.773,13.707,13.658,13.8198,19.550288062523144,7656,6111,5.210122,2462226.328679714,1.5871224036484453,0.491384391254539,0.5245413589176476,-0.7039607528566133,1.2775174980966468
27.346,24.855,23.705,22.901,22.506,22.308,22.2728,0.4184592389459037,7804,7385,3.756104,2462407.197565918,1.7571457793294962,0.0354127157828934,0.0137999436735237,0.3746377552816152,0.1467052914830542
31.187,28.249,26.944,25.818,25.264,25.024,24.9638,0.2146115844297693,1899,1095,26.3699,2463266.505679023,0.8732569869161205,0.0485802427959525,0.0083361296419301,-3.1244182343185405,5.277203013401188
19.8,18.662,18.368,18.325,18.351,18.361,18.7688,1.4211933309497726,7791,7469,5.955108,2461749.3532832908,0.361430156836187,0.654011051930555,0.143956985597669,-0.936569701900594,0.0678387512657138
21.711,20.329,19.868,19.756,19.741,19.731,20.0548,1.035507290426998,7504,7383,6.226246,2462407.710253063,0.4763178767189948,0.4017763689544443,0.0790358256144733,0.0697873960603608,0.2597733827464534
17.833,16.814,16.939,17.112,17.245,17.273,17.9128,2.002871841699389,7521,7029,9.309792,2462134.662934256,0.8766675519921292,0.2778186751965492,0.0554229295078486,-0.3386112505399838,0.2425112340161207
17.834,15.412,14.552,14.281,14.159,14.087,14.1558,21.48588074330083,7671,7604,11.15196,2462757.1772337705,0.1504538253318697,2.9301012585654,2.83552549651618,-0.0231390733129212,0.2489710884202559
30.032,27.164,25.883,24.861,24.356,24.135,24.0818,0.2628168228426344,7248,6979,10.38551,2462197.187438037,0.7234108380880279,0.0623975134423526,0.0081980196099552,-0.0446690958995212,0.2546462072547132
29.665,26.963,25.737,24.823,24.372,24.166,24.1258,0.3177994643459804,7942,7728,13.83434,2461956.8178402493,0.4401869533549776,0.0101241929980041,0.0111612923211078,-0.1738688649187752,0.1162066192627569
30.014,27.26,26.016,25.087,24.628,24.421,24.3778,0.3017540869370751,7117,5773,5.832975,2461753.5597771406,2.105075996084583,0.0565189595748245,0.0058652309393248,-0.235881861374871,0.9440217029989412
31.721,28.778,27.471,26.336,25.777,25.535,25.4738,0.2146115844297692,7747,4915,3.956798,2462595.90210542,0.5171400552529293,0.1505316503663119,0.0229961092814314,-1.6808837271368111,13.169379810763816
20.938,19.784,19.461,19.405,19.426,19.434,19.8378,1.2724864335664907,7757,7582,3.062316,2462370.8377807084,0.6057304996963757,0.8178996281343752,0.1502161891403871,0.5781276632117742,0.0950982206256707
31.059,28.191,26.909,25.886,25.381,25.159,25.1058,0.2518564983201707,6207,4850,5.637255,2462686.963889116,2.067754334171424,0.0085886897445048,0.0059127785137338,-0.9331000893341946,1.0603784617392893
18.522,16.222,15.402,15.148,15.036,14.972,15.0658,16.63999382782728,6991,6454,6.367493,2462596.3106416576,1.3493883172604608,0.4422106085158807,0.4705385963879131,-0.0219427509404983,0.5054543930654668
16.048,15.087,15.292,15.501,15.624,15.651,16.3288,5.3046063503522936,7835,7756,6.162372,2463255.259976105,0.3797955298424852,2.040688675812864,0.491363865438891,0.1561754644285527,0.1294997512488565
27.805,25.328,24.223,23.685,23.418,23.268,23.2168,0.5171936223763332,6712,6662,6.167062,2462128.651482479,0.5739132361438879,0.3612802735285129,0.0369797076457447,-0.1114209741374049,0.030014803983221
16.437,15.134,14.775,14.648,14.582,14.531,14.6908,21.86015116768123,7667,6160,1.594373,2461616.934531135,10.828494022989876,0.7537308456429964,0.2805152789879062,-0.6687794745870739,0.0918345464804904
24.311,22.269,21.501,21.262,21.166,21.103,21.2328,0.7801051785300049,7828,7814,9.49175,2462504.4889030824,0.0536065371495681,0.5308117881917143,0.332678791407169,-0.1317261923708363,0.0981924588869058
16.75,15.878,16.11,16.336,16.481,16.519,17.2098,3.052482345845005,7655,7589,4.893183,2461511.820405313,0.5264429094239044,0.1401521507240301,0.262937205479508,-0.0422797897635036,0.1554399625172939
21.333,20.104,19.73,19.651,19.657,19.657,20.0248,1.2666398894784083,7094,6253,5.814666,2462621.038473417,0.7272317819362009,0.1277455074158945,0.0717217980542987,-0.4981725099665794,1.5599910775914982
20.941,19.767,19.435,19.376,19.394,19.4,19.7948,1.340149229061762,7927,7735,3.642871,2463247.2685904508,0.5582219859431008,0.4696353773035852,0.1412148563837063,0.4086098091586512,0.3864841522720855
27.762,25.282,24.19,23.7,23.458,23.318,23.2678,0.5409450621998684,7872,7806,4.570406,2462497.2789673023,0.2266752258345659,0.7047409618532909,0.112666824273336,0.3647161758147844,0.1018508790750691
28.369,25.421,24.114,22.962,22.396,22.15,22.0898,0.2153541081372751,7756,7569,7.549857,2461603.297653036,0.1889530562158231,0.0551002210109711,0.0330605085471569,0.8127031712547095,0.0683592969186749
25.477,22.992,21.848,21.04,20.645,20.446,20.4108,0.4165365933875493,7968,7282,4.089345,2462823.889908602,0.7736247293133995,0.028954969435686,0.0280676825544787,0.92281921489421,1.0057877750461224
24.597,22.115,21.036,20.573,20.347,20.213,20.1668,0.5593107426325312,6365,5100,8.353491,2462859.5573599767,0.4355892090142887,0.0520718908450043,0.0410200747508616,2.202412852375789,3.232782167606655
29.975,26.925,25.58,24.267,23.622,23.341,23.2598,0.2151063152261554,2896,1853,4.12321,2462332.7174201547,8.287479186112925,0.0148078090577807,0.0036921855141956,0.9113038130468312,1.8669664647521311
22.115,20.154,19.433,19.216,19.134,19.082,19.2428,0.7973576418802152,7895,7609,7.14834,2462845.2906374712,0.5025812823687112,0.0314459272928806,0.0477503249538458,0.3703413864782595,0.3116479978432957
29.013,26.049,24.736,23.559,22.98,22.729,22.6648,0.2151063152261554,7898,7125,4.546078,2462303.0327522247,2.145182635077465,0.0049840822905559,0.0047437488908918,-0.387619733893331,0.3382872411724553
28.806,25.943,24.664,23.646,23.144,22.923,22.8718,0.2544797098114586,1337,974,23.20577,2463122.9320394457,2.320748483395479,0.0080801529914807,0.006003223476115,-0.8472292014151446,1.690055468741251
27.146,24.603,23.432,22.539,22.103,21.893,21.8628,0.3716662800190651,7925,6580,2.226105,2462831.2818742828,7.255172245951,0.0029273106041088,0.0049322755732628,0.4502522376994548,0.3708300674485974
29.072,26.202,24.921,23.894,23.388,23.166,23.1138,0.2518564983201706,7069,6778,5.298689,2462666.609046217,1.431777951475963,0.0541046308757612,0.0079769688287069,-0.261813840717441,0.1302003787615705
31.575,28.354,26.964,25.441,24.698,24.37,24.2588,0.1952779291332841,7974,7703,4.596635,2462006.3886591285,0.8531264018930451,0.007199424705262,0.0106074341287217,-0.2100554596055737,0.3531880943734547
16.397,14.058,13.228,12.972,12.859,12.794,12.8848,18.182481772104985,7485,6884,8.70219,2462982.796051988,1.25165141130481,0.3091784134977802,0.3788228939318609,-0.3702698585896789,0.1260244711164812
30.162,27.182,25.862,24.659,24.068,23.811,23.7428,0.2156021864948115,3679,2839,2.119826,2462183.8985726545,13.76712602858358,0.0259159690000114,0.0034108819303265,-0.9572615212329296,0.3110822528516048
16.936,15.9,15.975,16.123,16.248,16.276,16.8928,1.8886572967304551,7947,7871,10.44642,2462234.631685883,0.1530382863704177,1.8449601738165344,0.2525045375974888,0.2770524159513322,0.0172602933395719
21.419,19.605,18.944,18.751,18.684,18.641,18.8388,0.8712708033034555,7637,7522,5.442223,2462628.944913662,0.3937027990787145,0.7983241616726853,0.0904424566295939,-0.1354197389746114,0.3132424076206798
27.357,24.736,23.536,22.625,22.178,21.969,21.9328,0.3686830408730795,7890,7386,7.673251,2462733.226066139,1.258262725164476,0.0326653305399975,0.0082207650777462,-0.0844431495961922,0.3160927292454101
22.17,20.309,19.612,19.398,19.318,19.266,19.4308,0.8553683189565369,7773,7549,4.773923,2463157.1258912976,0.6147149216455579,0.4504579463602002,0.0636945309600252,-0.2073864892885384,0.4274784609181308
15.051,14.164,14.395,14.619,14.755,14.79,15.4818,4.179777471652256,4602,3619,3.03904,2462399.359333445,6.709384862035575,0.6371066775063983,0.0756613771168015,0.0787451498683008,1.0543420451928782
28.692,25.911,24.659,23.695,23.219,23.006,22.9598,0.3070104518739263,7607,7340,7.477585,2463057.601601748,0.6689364157312168,0.1105495755164095,0.0137050417603712,0.3084289433687506,0.163695653704367
22.859,21.028,20.366,20.173,20.107,20.065,20.2638,0.83493594981932,7692,7560,8.776779,2461620.286678435,0.3888020953015388,0.3786179444880551,0.0540302455866079,0.2267760599119209,0.0871975693683726
17.264,16.261,16.407,16.59,16.727,16.755,17.404799999999998,2.073257097797753,7613,7357,6.257277,2462268.3827754413,0.5932287632307148,0.9126165465095512,0.1246167917012719,-0.3100822368463624,0.3257595319889401
19.748,18.635,18.359,18.327,18.362,18.376,18.8068,1.3729450665784888,7900,5742,2.457568,2462532.7158502126,1.77374042762671,0.6186041519773754,0.0677200511312241,1.2215202155933005,3.794395443431223
29.261,26.517,25.278,24.35,23.892,23.685,23.6418,0.3052482345845006,7594,7195,6.437036,2463057.434084802,1.4644770367607445,0.0504319441691216,0.0072427063885283,0.2806623729519867,0.0358226401152346
28.116,25.613,24.457,23.581,23.155,22.945,22.9148,0.3891823721558429,7969,7359,2.095295,2462043.9191432837,1.3073356246597023,0.0711100885546638,0.0302833473219029,-1.3467225457710488,0.3316734014862458
28.084,25.593,24.444,23.613,23.208,23.005,22.9698,0.4084634120611156,7827,7226,5.185462,2461711.403350925,1.4570998526718957,0.0350273309556194,0.0117318870378023,-0.296630191418253,0.4193805860357726
15.529,14.657,14.89,15.116,15.262,15.3,15.9918,3.102081193975862,6923,6239,6.290419,2462346.7665109057,2.1225936294166794,0.1134828165309987,0.0570031970950331,0.1309992596308248,0.4129204221052029
29.715,26.918,25.661,24.717,24.25,24.042,23.9958,0.2908393469871039,7932,7842,5.173992,2462535.235268515,0.2531865248638592,0.3398052414954315,0.0475434759784123,-0.4007881850671576,0.0460010432271833
29.895,27.068,25.802,24.841,24.366,24.156,24.1078,0.2796746870998863,7721,7487,9.755942,2463297.9125850084,0.5487354043759275,0.0148928358728062,0.0114930218627655,0.2565118811565452,0.102357928194962
17.026,16.088,16.287,16.497,16.641,16.673,17.3488,2.361310840223837,7934,7826,10.01414,2463008.140626757,0.4017886189850597,0.2661663362966827,0.1256424774061646,0.0361185704831587,0.1537092739451242
20.725,19.513,19.154,19.084,19.097,19.101,19.4848,1.2110251455510102,7816,6871,3.81784,2462464.424350011,0.7261197526495295,0.9437842946349853,0.094935676884688,-0.5147283134038279,2.260555751845453
21.384,20.07,19.645,19.547,19.543,19.538,19.8848,1.0930830523657922,7642,7498,14.00584,2462095.525596585,0.1501611385184687,0.3810398234933819,0.1155224072827173,-0.3644673222090726,0.240106909758717
